State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Total Votes 2020,Votes 2020 Donald Trump,Votes 2020  Joe Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,Mean Commute (minutes)
Florida,Marion,FloridaMarion,100,55,39,36.9,20.1,128709,9760,167211,181160,48.6,348371,204621,127825,74848,41964,878,28.5,22.6,28.7,10,10.2,6.4,25.4
Florida,Martin,FloridaMartin,95,52,36,24.9,34.1,67796,4384,78002,79579,51.9,157581,98911,61152,36878,55588,1532,36.9,21.1,25.8,9.5,6.8,8.4,26.3
Florida,Miami-Dade,FloridaMiami-Dade,90,58,39,27.3,29.8,1188173,103681,1318627,1396889,39.7,2715516,1158600,532734,617647,46338,365,31.7,21.1,27.4,9.4,10.3,4.9,31.3
Florida,Nassau,FloridaNassau,157,34,4,31.7,29.6,38991,2347,39956,40622,45,80578,58909,42563,15561,64294,2019,34.5,18.4,23.4,10.9,12.8,3.7,29.8
Florida,Okaloosa,FloridaOkaloosa,74,46,34,24.7,31.1,90729,5281,101745,98992,36.8,200737,116677,79771,34227,59955,1565,35.5,22.4,24.3,10,7.8,3.5,23.6
Florida,Orange,FloridaOrange,93,51,36,24.4,34.6,659050,78496,648446,672748,34.9,1321194,647059,245325,394857,51586,483,36.3,20.9,26.3,7.3,9.2,5.3,27.6
Florida,Osceola,FloridaOsceola,90,44,32,31.3,21.8,160638,25155,166820,171799,35.8,338619,172374,73467,97278,47343,1259,24.8,25.9,28.2,10,11.2,3.5,32.2
Florida,Palm Beach,FloridaPalm,92,54,38,24,36.7,662945,54434,701207,745070,44.6,1446277,772839,334642,433392,57256,535,36,21.9,25.8,9.1,7.2,6.4,25.3
Florida,Pasco,FloridaPasco,77,46,35,33.2,24,221185,17142,248572,262021,44.6,510593,301734,179545,118918,48289,813,36.1,18.8,27.5,9.1,8.5,7.5,31.6
Florida,Pinellas,FloridaPinellas,100,56,40,28,31.7,450266,34064,459766,498109,47.8,957875,561125,276191,277397,48968,679,37.7,18.4,28,7.2,8.6,6.7,24.4
Florida,Polk,FloridaPolk,87,54,37,34.7,20.2,287979,28647,327706,340965,40.3,668671,343979,194571,145022,45988,753,29.9,20.7,25.6,10.6,13.3,4.2,26
Florida,Putnam,FloridaPutnam,67,27,14,41.2,12.3,24378,2092,35841,36925,45,72766,36408,25514,10524,33619,1120,23.3,22.8,24,15.9,14,4.4,27.9
Florida,Santa Rosa,FloridaSanta,84,57,40,26.8,27.7,78348,4299,87175,83267,39.7,170442,106857,77349,27582,62731,1578,37.7,15.9,26,10.9,9.4,5.1,28.7
Florida,Sarasota,FloridaSarasota,90,55,38,28.9,35.4,171875,12589,196433,215711,55.5,412144,271063,148323,120050,55236,1026,34.2,21.8,26.7,9.6,7.7,6.6,23.6
Florida,Seminole,FloridaSeminole,84,49,36,21.1,39.6,220602,17167,219935,235151,39.2,455086,260699,125217,132486,60739,1116,44.8,15.6,26.9,5.8,6.9,7.1,27.1
Florida,Volusia,FloridaVolusia,77,50,38,31.8,23.7,230585,18975,257275,270359,46.5,527634,307891,173797,130451,43838,781,31.3,20.8,26.8,10.9,10.2,5.8,25.4
Florida,Wakulla,FloridaWakulla,161,54,35,36.2,18.3,14216,669,17490,14387,40.7,31877,18438,12873,5348,57866,4026,33.3,19.5,25.5,14.2,7.5,3.2,32.7
Georgia,Bibb,GeorgiaBibb,97,52,35,30.5,25.4,62371,5050,72065,81425,36.2,153490,70802,26585,43468,38183,1684,34.8,21.1,26.7,6.4,11,3,21.1
Georgia,Charlton,GeorgiaCharlton,139,34,20,40.1,8.8,4660,182,7522,5461,41.7,12983,4566,3419,1103,43257,6511,25,20.3,16.9,17.5,20.3,4.4,33.7
Georgia,Chatham,GeorgiaChatham,131,58,39,24.2,33.6,129918,10713,138403,148646,35.2,287049,133589,53288,78369,52215,1310,36.2,21.1,22.6,8.1,12,4.1,21.8
Georgia,Chattooga,GeorgiaChattooga,58,43,32,40.1,8.9,8947,820,12865,11952,39.5,24817,10050,8064,1854,35718,2489,23.1,15.2,18.9,12.3,30.5,1.7,25.2
Georgia,Clarke,GeorgiaClarke,99,54,36,19.9,44,54453,3753,59248,65354,27.7,124602,51218,14412,35969,34557,1564,40.7,21.3,19.9,5.7,12.4,4.2,19.4
Georgia,Clayton,GeorgiaClayton,90,54,28,33.6,19.5,125357,14433,130748,147918,32.4,278666,112344,15813,95476,44106,1280,23.2,21.3,26.9,9.4,19.2,3.5,30.4
Georgia,Cobb,GeorgiaCobb,90,49,35,18.5,47.4,389904,24453,360270,384787,36.5,745057,393744,165459,221844,72004,1128,45.7,14.8,23.9,7.3,8.3,7.6,31.4
Georgia,Coffee,GeorgiaCoffee,108,42,25,37.2,13,17835,1103,22088,20873,36.2,42961,15214,10578,4511,36572,1549,33.1,16.3,20.4,9.8,20.4,2.3,20
Georgia,Columbia,GeorgiaColumbia,51,44,31,23.8,36.4,71266,3145,71970,75325,36.6,147295,80579,50013,29236,74162,1661,42.9,17.2,22.6,8.2,9.1,3,25.2
Georgia,Dawson,GeorgiaDawson,74,43,31,29.1,30.6,11735,584,11774,12087,43.4,23861,16081,13398,2486,62284,5862,37.1,12.6,25,12.3,12.9,7.8,32.3
Georgia,DeKalb,GeorgiaDeKalb,106,57,38,20.9,44.2,364209,31474,351871,391316,35.6,743187,370675,58361,308112,55876,865,43.6,16.2,23.9,5.6,10.7,6.2,31.9
Georgia,Dougherty,GeorgiaDougherty,114,61,37,30.2,21.4,34469,3243,42144,48905,35.1,91049,35308,10449,24579,34541,1950,30.3,22.3,22.9,7.9,16.6,4.4,18.9
Georgia,Douglas,GeorgiaDouglas,77,44,32,30.4,28.2,66930,5367,67726,74114,36.4,141840,68806,25323,42653,59333,2092,34.3,15.6,26.2,9.2,14.7,4.8,32.7
Georgia,Floyd,GeorgiaFloyd,80,52,30,34.3,20.9,40522,2712,46810,50014,38.5,96824,38588,27120,10972,46096,2012,29,20.3,22,10.4,18.3,4.8,22.3
Georgia,Fulton,GeorgiaFulton,125,62,43,17.7,52.9,512593,44639,495087,526815,35.4,1021902,524532,137200,381057,61336,792,50.1,14.6,24,3.9,7.4,8.2,28.1
Georgia,Glynn,GeorgiaGlynn,96,44,31,26.7,29.9,35610,2605,39419,44555,41,83974,41984,25616,15879,47546,2169,33.3,23.1,23,9,11.6,3.5,19.3
Georgia,Gwinnett,GeorgiaGwinnett,101,55,37,22.3,36.9,450909,30544,441051,461247,35.1,902298,413865,166413,241827,64496,804,37.3,16.1,26.3,10.1,10.2,5.8,33.1
Georgia,Hall,GeorgiaHall,98,55,33,27.7,24.5,97133,4816,97518,98443,36.3,195961,90523,64170,25031,55622,1940,28.5,14.4,24.1,10.9,22.1,4,26.3
Georgia,Henry,GeorgiaHenry,95,50,32,31.7,28.5,106831,8521,105759,115548,36.9,221307,122742,48187,73276,64752,1733,33.5,15.8,26.9,9,14.7,6.5,33.6
Georgia,Houston,GeorgiaHouston,114,57,35,27,28.3,66769,3649,73756,77926,35.3,151682,74823,41534,32232,55965,2162,35.2,18,23.9,11.4,11.5,1.9,21.4
Georgia,Lowndes,GeorgiaLowndes,141,54,30,31.4,25.3,48484,3115,55959,58623,30.2,114582,46355,25691,20117,39911,1705,30.9,20,28.4,8.8,11.8,2.6,19.2
Georgia,Murray,GeorgiaMurray,61,46,35,37.4,10.1,14191,1159,19522,20035,38.2,39557,15389,12943,2302,41617,2282,17,14.6,23.6,13.2,31.7,0.7,27.3
Georgia,Muscogee,GeorgiaMuscogee,101,53,35,27.4,25.8,71209,6049,96279,100391,33.9,196670,80543,30049,49529,43239,1433,33.3,19.9,26.7,7,13,5.8,20
Georgia,Pike,GeorgiaPike,64,44,33,41.8,17.1,8273,432,8876,9206,40.7,18082,10720,9127,1505,52377,5466,33.2,14.1,22.6,14,16,3,33.7
Georgia,Richmond,GeorgiaRichmond,114,60,42,31.4,21.4,78649,6463,97272,104191,33.9,201463,87016,26781,59124,39430,1339,29.9,22.5,26,9,12.6,2.1,20.5
Georgia,Rockdale,GeorgiaRockdale,77,46,34,31.5,26.3,40657,3332,41944,47067,37.7,89011,44686,13012,31244,54175,1805,34.1,17.3,24.3,8.7,15.5,4.3,29.5
Georgia,Sumter,GeorgiaSumter,64,44,32,34.7,18.3,11601,924,14359,15993,35.5,30352,12150,5732,6318,34219,2587,31.2,17.8,20.6,9,21.4,3.3,20.3
Georgia,Walker,GeorgiaWalker,84,53,30,35.2,16.6,29106,1495,34082,34742,41.4,68824,29436,23174,5769,43581,2245,27.9,13.9,24.5,11.5,22.1,3.1,28.4
Georgia,Washington,GeorgiaWashington,112,54,32,44.7,12.3,6486,445,10361,10100,40.6,20461,9459,4663,4730,38097,3810,28.2,19.7,23.7,10,18.5,1.8,21.5
Hawaii,Hawaii,HawaiiHawaii,231,30,18,27.4,33,572796,75395,98276,99382,42.3,197658,87716,26851,58683,56395,1657,32,23.7,24.8,11.5,8,8.4,25.3
Hawaii,Hawaii,HawaiiHawaii,231,30,18,27.4,33,78986,10133,98276,99382,42.3,197658,87716,26851,58683,56395,1657,32,23.7,24.8,11.5,8,8.4,25.3
Hawaii,Honolulu,HawaiiHonolulu,92,40,26,25.9,35,396136,44779,497646,489992,37.6,987638,381627,136061,238601,80078,978,35.9,21.3,25.3,8.9,8.6,3.7,29.1
Hawaii,Kauai,HawaiiKauai,41,25,11,30,29.2,29618,5719,35375,36002,42.4,71377,33486,11579,21217,72330,3242,28.7,29.6,22.7,10.5,8.5,6.1,22.4
Hawaii,Maui,HawaiiMaui,56,23,15,31.3,27.2,68056,14764,82437,82844,41.1,165281,71025,22111,47301,72762,1654,29,28.4,23.6,10.4,8.6,5.6,21.2
Idaho,Ada,IdahoAda,185,72,40,22.4,38.5,243784,13893,223367,222685,36.7,446052,259389,130699,120539,60151,1294,43,16.6,25,6.9,8.4,6.9,20.4
Idaho,Bannock,IdahoBannock,161,61,41,26.4,27.8,40495,2065,42300,42765,33.3,85065,39553,23331,14682,47390,1605,35.5,18.2,25.2,9,12.2,4.3,17.6
Idaho,Benewah,IdahoBenewah,371,65,32,38.4,15.2,3830,310,4607,4479,46.1,9086,4972,3878,977,43472,3699,22.1,22.1,17.9,14.8,23.1,4.2,20.8
Idaho,Blaine,IdahoBlaine,167,43,15,25.6,35.4,11679,987,11251,10743,43.2,21994,13288,4031,8919,58835,5130,31.3,28.5,20.2,12.8,7.3,9.3,19.2
Idaho,Boise,IdahoBoise,198,68,35,30.6,27.1,3321,288,3780,3383,53,7163,4840,3495,1214,49964,9226,40.3,13.9,24.4,10.4,11.1,9.9,38.1
Idaho,Bonner,IdahoBonner,190,52,25,29.8,23.8,19527,1592,21366,21345,47.8,42711,27352,18369,8310,45607,2239,26.6,19.1,22,14.2,18.1,10.2,25.6
Idaho,Bonneville,IdahoBonneville,154,49,21,25.4,31.3,55789,2347,56237,56160,32.7,112397,53995,37805,14254,54150,1580,35.8,16.8,24,10.3,13.1,4.5,19.2
Idaho,Butte,IdahoButte,152,50,40,36,16.2,1343,50,1342,1260,48.1,2602,1415,1202,188,43207,7907,32.5,16.1,18.3,16.3,16.8,4.4,22.6
Idaho,Canyon,IdahoCanyon,156,73,33,32.1,18.7,99763,6218,104902,107328,33.4,212230,90438,61759,25881,46426,1548,26.5,19.2,23.6,14.4,16.3,6.6,24.6
Idaho,Caribou,IdahoCaribou,109,24,6,32.4,19,3962,148,3543,3375,36.9,6918,3416,2906,431,58750,5290,31.5,15.1,18.9,17.7,16.8,4.7,15.6
Idaho,Custer,IdahoCuster,126,59,5,28.6,24.4,2106,112,2165,1976,53.3,4141,2737,2089,603,37976,6917,32.3,19.4,17.7,23.9,6.8,5.4,19.2
Idaho,Franklin,IdahoFranklin,159,53,20,37.8,17.7,6807,253,6787,6492,33.4,13279,6664,5845,657,51583,5632,27.1,12.2,23.7,16.7,20.3,4.9,25
Idaho,Idaho,IdahoIdaho,191,60,36,27.4,27.6,844365,47786,8537,7800,50,16337,9602,7826,1561,40299,2941,27.1,17.2,22.4,17.3,16,8.6,17.4
Idaho,Idaho,IdahoIdaho,191,60,36,27.4,27.6,6260,449,8537,7800,50,16337,9602,7826,1561,40299,2941,27.1,17.2,22.4,17.3,16,8.6,17.4
Idaho,Jerome,IdahoJerome,37,19,10,30.6,16.1,11711,487,11801,11630,32.7,23431,7812,5734,1893,46421,3057,23,15,19.8,22.8,19.5,3.4,18
Idaho,Kootenai,IdahoKootenai,384,48,19,27.2,25.2,75654,5632,75890,77715,40.2,153605,89878,62837,24312,53189,1643,32,18.9,26.7,11.7,10.6,5.5,21.7
Idaho,Latah,IdahoLatah,333,41,16,19.7,45.4,18818,938,19894,19345,28.3,39239,20521,9463,10199,43310,2143,43.8,17.4,20.6,9.1,9.1,4.1,19.4
Idaho,Lemhi,IdahoLemhi,163,77,35,30.3,22.9,3408,243,3948,3850,52.3,7798,4738,3592,1032,36031,1713,30.7,16.6,26.6,14.5,11.6,7.1,16
Idaho,Nez Perce,IdahoNez,363,59,21,32.1,22.9,19780,1013,19758,20397,40.9,40155,20967,13738,6686,51804,2362,31.3,18.9,24.1,10.2,15.6,4.9,16
Idaho,Shoshone,IdahoShoshone,346,64,30,37,11.5,4946,498,6267,6259,47.4,12526,6049,4216,1693,39835,3011,26.1,23.7,19.9,17.5,12.8,5.7,19.4
Idaho,Twin Falls,IdahoTwin,160,48,18,27.2,20.6,39083,2167,41204,42462,34.7,83666,36680,25897,9391,49118,2416,29.6,18.3,22.8,13.1,16.2,3.5,17.4
Idaho,Valley,IdahoValley,192,63,30,26.7,30.4,5195,448,5486,4915,48.7,10401,7063,3947,2976,54015,4886,35,20.9,20.1,10.6,13.4,7,15.9
Illinois,Adams,IllinoisAdams,84,50,38,35.4,25,29287,1972,32481,33946,41.3,66427,33434,24131,8569,48454,1689,31.8,17.4,26.1,8.9,15.8,4.5,17
Illinois,Champaign,IllinoisChampaign,126,56,39,22,45,101732,6993,104513,104935,29.9,209448,93019,34774,55173,49586,1516,45.3,17.8,20.8,5.6,10.5,4.4,17.9
Illinois,Clark,IllinoisClark,97,45,31,40,19.9,6752,579,7824,8012,43,15836,8340,6215,1990,52068,3824,25.5,17.3,21.1,11.8,24.2,4.9,22.4
Illinois,Cook,IllinoisCook,164,84,53,23.1,38.8,2258453,281454,2534640,2689079,36.6,5223719,2123897,517811,1572859,59426,380,39.3,17.9,23.6,6,13.1,4.5,32.9
Illinois,DuPage,IllinoisDuPage,154,59,41,18.2,49.4,445824,38391,457178,474565,39.1,931743,467186,187957,269638,84442,675,45.5,13,25.6,5.4,10.5,6,29.3
Illinois,Effingham,IllinoisEffingham,84,48,37,35.8,22.7,17988,1277,16971,17203,39.1,34174,19041,14983,3700,54655,2216,30.6,16.4,23,11.4,18.6,3.4,17.3
Illinois,Hamilton,IllinoisHamilton,118,56,40,34.9,17,3944,281,4018,4203,44.1,8221,4316,3429,821,47293,7758,30.2,18.6,21.6,14.4,15.3,4.2,27.7
Illinois,Jersey,IllinoisJersey,112,55,39,38.8,20.3,9883,795,10841,11228,42.7,22069,11942,8699,2956,56320,2678,33,18.3,23,10.2,15.5,4,28.6
Illinois,Jo Daviess,IllinoisJo,87,44,32,35.9,25,9560,866,10956,10878,49.7,21834,12477,7161,5097,55532,1868,28,18.8,24,10.7,18.6,6.4,21.5
Illinois,Kane,IllinoisKane,161,64,39,22.7,33.1,237738,23911,264211,266628,37,530839,231734,96739,130069,74862,1202,34.6,16.7,24.9,7.6,16.3,5,29
Illinois,Lake,IllinoisLake,185,74,39,20.8,45.3,335133,29411,351343,352276,38.2,703619,323706,120938,196479,82613,942,42.3,15.3,24.8,5.9,11.6,6.5,30
Illinois,Macon,IllinoisMacon,90,56,41,35.4,22.1,42512,4665,51062,55450,41.3,106512,48934,28373,19633,49052,1793,32,20.2,23.3,8.4,16.1,3.2,17.9
Illinois,Macoupin,IllinoisMacoupin,93,45,31,39.8,18.4,20596,1523,22602,23117,43.6,45719,23919,16058,7313,53890,2348,31,17.3,23.9,11.2,16.7,5.2,27.6
Illinois,Madison,IllinoisMadison,112,70,47,29.8,26.8,121270,10182,129718,135952,40.1,265670,135686,75272,56845,56536,1150,34.9,17.8,24.5,8.8,14,3.8,24.8
Illinois,McHenry,IllinoisMcHenry,147,58,40,26.5,34.4,145249,13157,153382,154407,40.2,307789,162766,81479,77208,82230,1657,36.6,15.6,26.7,8.4,12.7,5.9,33.6
Illinois,McLean,IllinoisMcLean,136,58,41,24.6,44.8,79341,5762,84245,88974,32.9,173219,87013,40365,43719,64573,1837,43.4,16.9,25.1,5.8,8.8,3.6,18
Illinois,Monroe,IllinoisMonroe,43,7,1,27.6,35,17363,1023,16691,17245,42.6,33936,21024,14046,6489,74410,4039,41.1,14.8,24.6,10.1,9.4,5.9,28.4
Illinois,Peoria,IllinoisPeoria,115,57,40,27.6,30.6,75016,8668,89387,95076,37.2,184463,82264,37612,42600,53063,1092,38.4,18.8,24.4,7.5,10.9,2.8,18.9
Illinois,Randolph,IllinoisRandolph,103,54,38,37.3,13.3,12786,978,18019,14527,42,32546,14896,11065,3590,49717,1994,24.7,19.3,20,12.5,23.5,2.7,25.2
Illinois,Rock Island,IllinoisRock,102,56,38,29.5,23.5,62443,6472,71596,73679,40.1,145275,66750,28585,36647,51426,957,29.5,19.5,23,8.5,19.5,2.7,19.1
Illinois,Sangamon,IllinoisSangamon,97,54,39,27.2,34.5,88916,7953,94876,102785,40,197661,104395,53303,48756,58687,1256,41.2,18.2,25.1,6.5,9,3.9,19.6
Illinois,Tazewell,IllinoisTazewell,26,9,1,31.7,26.3,56948,5029,65987,67865,40.9,133852,68358,42194,24486,60874,1682,35.1,16.4,25.5,8.3,14.8,2.8,21.2
Illinois,Wabash,IllinoisWabash,74,17,1,30.7,18.2,5242,476,5666,5907,43.6,11573,5592,4228,1248,49716,3423,27.9,17.7,16.8,13.2,24.4,3.4,20.3
Illinois,Will,IllinoisWill,155,60,42,26.9,34.3,311763,32572,341816,346881,37.6,688697,330593,149695,174226,80782,1137,36.6,16,24.9,8.6,14,4.2,32.9
Illinois,Winnebago,IllinoisWinnebago,101,61,39,31.7,22.9,120253,15506,139748,146426,39.6,286174,121966,60592,58791,51110,701,30.8,17.8,23.9,7.2,20.3,3.5,21.9
Indiana,Allen,IndianaAllen,120,58,39,28.2,28.5,170783,14203,180669,189347,35.8,370016,168964,91885,72825,51091,655,33.7,16.5,24.3,7.6,17.9,4,21.3
Indiana,Bartholomew,IndianaBartholomew,97,52,37,30.8,33.5,40975,2827,41150,40743,37.7,81893,36299,22409,12934,57331,2560,40.7,14.4,18.9,6.4,19.5,2.7,19.6
Indiana,Boone,IndianaBoone,101,48,32,19.5,49.3,34064,1522,31750,32571,38,64321,38500,22351,15244,75591,2282,48.2,12.4,20.8,7.1,11.6,5.4,24.9
Indiana,Brown,IndianaBrown,80,44,33,32.9,28.9,7062,506,7441,7593,49.2,15034,8886,5725,2996,59292,5009,33.3,15.2,24.5,11.5,15.4,4.5,33.3
Indiana,Carroll,IndianaCarroll,100,44,31,40.8,16.7,9076,583,10034,9960,42.8,19994,9514,7086,2224,56188,2345,26.3,14.7,19.6,13.1,26.3,4.1,28.4
Indiana,Clark,IndianaClark,91,58,42,34.6,21.2,56726,4412,56359,59343,38.9,115702,58040,33656,23088,52834,1041,31.1,16.9,25.5,7.6,18.8,3.3,24
Indiana,Daviess,IndianaDaviess,19,4,0,34,13.2,15891,632,16634,16303,34.7,32937,11971,9576,2169,48355,2821,25,15.4,19.3,17.4,22.9,2.3,25.5
Indiana,Delaware,IndianaDelaware,97,50,35,35.1,23.7,48633,3833,55743,59873,35.4,115616,48089,26724,20328,41208,1503,32.4,21.6,24.1,8,13.9,3.4,20.6
Indiana,Dubois,IndianaDubois,67,54,33,38.3,23.7,21569,1026,21048,21370,40.4,42418,21805,15032,6292,57307,3230,31.6,14.9,21,9.7,22.7,4.3,19.1
Indiana,Elkhart,IndianaElkhart,158,54,36,34.7,19.8,102155,8339,100713,102891,35.5,203604,73225,46311,25413,52449,1232,25.5,14.2,21.6,7.3,31.5,3.5,19.4
Indiana,Floyd,IndianaFloyd,143,44,32,30.9,29.6,38422,2671,37135,39674,39.9,76809,41742,23385,17507,59451,1921,36.7,14.5,25.1,8.1,15.6,3.9,22.6
Indiana,Gibson,IndianaGibson,114,26,3,40.9,18,18332,1205,16848,16748,40.3,33596,16165,11817,4027,51149,1981,26.7,15.6,18.9,12.5,26.3,2.3,21.5
Indiana,Greene,IndianaGreene,90,50,34,41.1,14.9,12442,822,16033,16262,42.9,32295,14782,11103,3389,49648,1966,29.3,18.7,22.4,12.2,17.4,0.7,28.7
Indiana,Hamilton,IndianaHamilton,97,54,38,14.9,59.3,174455,8524,154532,161563,36.9,316095,193823,101563,88367,90582,1988,53.3,11.1,24.7,5,6,7.9,25.5
Indiana,Hendricks,IndianaHendricks,87,45,32,27.5,37,84885,4501,80391,80549,37.7,160940,88430,53688,32453,74245,1577,40.4,14.5,24.4,7.8,13,4.3,27
Indiana,Henry,IndianaHenry,63,51,29,43.7,16.4,20424,1442,25391,23092,42.2,48483,21020,15043,5543,46131,1368,28.9,17.9,23.5,9.3,20.5,3.9,26.8
Indiana,Howard,IndianaHoward,108,53,38,35.9,21.6,32921,4010,39852,42535,41.7,82387,40619,26400,13270,47958,1663,28.7,18.7,20.9,8,23.7,3.2,19.9
Indiana,Knox,IndianaKnox,105,48,33,35.8,16.9,17148,1080,18949,18460,38,37409,16027,11654,4067,44837,1750,27.1,21.1,19.3,10.4,22.1,1.5,18.4
Indiana,LaPorte,IndianaLaPorte,154,61,37,39.6,18,42924,4520,57068,53484,40.4,110552,49469,25991,22419,49921,1962,26.6,19.5,22.7,10.2,21,3.7,22.1
Indiana,Lake,IndianaLake,136,65,44,35.1,22.6,201989,23196,235515,251334,38.7,486849,220233,91733,124801,52559,814,30,19.1,23.5,9.5,17.8,2.6,28.3
Indiana,Madison,IndianaMadison,97,55,39,39.4,18.4,54137,4621,64707,64798,40.3,129505,51633,31153,19459,45432,1143,29.2,20.8,24,8.7,17.3,3.7,25.9
Indiana,Marion,IndianaMarion,144,68,48,28,30.9,456145,38918,455007,489516,34.4,944523,390405,133968,247265,44869,575,34.9,17.7,25,7.5,14.9,3.2,23.3
Indiana,Monroe,IndianaMonroe,69,51,31,22.2,45.7,64390,3765,72416,72987,29.3,145403,63020,22062,39855,45689,1794,43.3,19.9,21.6,5.4,9.7,4.1,18.7
Indiana,Perry,IndianaPerry,105,45,34,44.7,16.1,8495,594,10222,8919,42.2,19141,8734,5343,3202,49689,3628,23.7,18.3,18.5,11.9,27.6,2.2,23.5
Indiana,Porter,IndianaPorter,151,67,41,35,28.4,77220,6767,83212,84829,39.5,168041,86089,44899,39537,65979,1797,35.7,16,22,11.1,15.2,4.4,27.2
Indiana,Posey,IndianaPosey,112,45,31,38.2,21.9,12202,632,12787,12802,42.3,25589,13264,9206,3811,60992,2225,31.7,17.6,19.4,10.9,20.3,3.5,23.6
Indiana,Shelby,IndianaShelby,115,46,32,42.4,18.7,21443,1643,21941,22458,41,44399,20017,14568,5023,57216,2445,28.7,17.1,19.9,11.4,22.9,2.5,23.5
Indiana,Spencer,IndianaSpencer,63,53,32,46,15.2,9754,579,10363,10163,43.6,20526,10781,7354,3208,55280,2922,28.6,14.4,20.8,12,24.3,5.3,26.8
Indiana,Sullivan,IndianaSullivan,53,51,29,44.2,12.1,7352,551,11174,9618,41,20792,9004,6687,2153,45031,3877,26.2,18.7,18,16.5,20.6,0.9,22.8
Indiana,Tippecanoe,IndianaTippecanoe,69,56,39,25.4,38.7,88211,5936,96866,92428,28,189294,71395,34571,34993,50486,996,39.2,17.7,20.6,6.7,15.8,3.2,17.7
Indiana,Vanderburgh,IndianaVanderburgh,101,57,39,32.5,27,85014,6559,87676,93637,38.1,181313,77563,41838,34404,44815,1408,33.2,18.1,23.6,7.7,17.4,2.4,19.6
Indiana,Vigo,IndianaVigo,112,57,40,32,25.1,42198,3616,54705,52988,36.2,107693,43593,24512,18080,42030,1275,32.5,21,22.1,7.3,17.1,2.9,19.9
Indiana,Wabash,IndianaWabash,97,49,35,42.6,18.1,13615,884,15365,16266,42.2,31631,14598,10762,3494,49052,1738,30.3,18.2,20,10.3,21.2,2.8,19.6
Indiana,Warrick,IndianaWarrick,112,47,33,31.3,30.3,29930,1724,30409,31519,40.9,61928,33884,21324,11919,66080,2162,39.3,14.4,21.6,10.1,14.6,2.6,23.6
Indiana,Whitley,IndianaWhitley,76,56,39,39.2,20.7,16139,1016,16702,16947,40.8,33649,17581,12856,4233,57041,2694,27,13.8,22.6,10.3,26.4,2.7,22.9
Iowa,Black Hawk,IowaBlack,91,53,32,30.5,29.1,63173,4145,65309,67700,34.9,133009,66549,29623,35621,50916,994,31.8,18.4,24.3,7.4,18.2,3.2,15.7
Iowa,Bremer,IowaBremer,87,45,35,32.9,30.7,12967,533,12274,12508,39.7,24782,14534,8287,5954,65440,2649,37.1,15.4,22.8,9.1,15.5,5.5,20.2
Iowa,Cerro Gordo,IowaCerro,60,37,18,30.6,23.6,21893,1203,20850,22134,44.5,42984,23794,12435,10941,50569,2060,32.1,16.8,22.5,9.7,19,3.4,16.3
Iowa,Clinton,IowaClinton,87,56,37,38.8,17.9,20509,1480,23126,24092,42.2,47218,24669,13349,10806,50295,2832,28.6,16.4,22.8,10.6,21.5,4.5,19.5
Iowa,Harrison,IowaHarrison,87,49,37,37.2,19.5,6776,284,6989,7154,44.1,14143,8144,5569,2440,57558,2479,31.4,13.5,23,13.2,18.9,4.7,26.4
Iowa,Johnson,IowaJohnson,105,58,35,16.3,52.8,80056,4032,72765,74236,30,147001,83570,22925,59177,59965,1839,47,17.8,20.8,5.2,9.2,4.2,18.9
Iowa,Lee,IowaLee,73,52,30,40.8,16.4,14666,1027,17371,17170,43.2,34541,16721,9763,6539,48266,2235,24.9,20,20.1,11.1,23.9,3.1,17.5
Iowa,Linn,IowaLinn,105,60,40,27,33.1,111300,7553,109540,112581,37.5,222121,126716,53098,70451,62702,1489,38.6,15.2,24.4,8.7,13,3.2,18.8
Iowa,Montgomery,IowaMontgomery,76,51,35,35.2,18.5,4621,226,4869,5286,44,10155,5320,3659,1583,43674,4866,30.4,17,22.3,10.6,19.6,4.9,19
Iowa,Muscatine,IowaMuscatine,124,54,30,35.3,21.5,19796,1257,21476,21474,38.1,42950,20629,10823,9372,56398,2540,29.2,14.9,21.1,9.5,25.3,4.6,17.2
Iowa,Palo Alto,IowaPalo,87,51,36,29.2,25.5,4330,210,4512,4543,41.8,9055,4950,3370,1519,50470,2584,33.3,19.6,20.1,10.3,16.7,2.7,15.3
Iowa,Polk,IowaPolk,186,54,36,24.5,36.7,248931,15876,233599,240675,35.3,474274,257991,106800,146250,63530,972,39.1,16.6,25.7,7.8,10.9,3.7,19.4
Iowa,Pottawattamie,IowaPottawattamie,77,52,31,32.7,21.5,44771,2478,45923,47580,39.5,93503,45733,26241,18570,56291,2064,30.5,17,25.4,10.7,16.4,3.2,20.5
Iowa,Scott,IowaScott,155,63,44,29.6,31.8,80541,5862,84515,87773,38.3,172288,92639,43661,46890,57681,1423,36.4,17.6,23.3,7.9,14.9,4.4,19.1
Iowa,Van Buren,IowaVan,87,49,36,38.9,14.4,3497,170,3698,3525,44.3,7223,3788,2859,875,47197,3094,29.4,14.1,19.3,13.1,24.1,5.3,22.3
Iowa,Woodbury,IowaWoodbury,79,50,29,32.2,23.1,51606,2861,50496,51902,35.7,102398,45172,25736,18704,51350,1565,30,17.2,22.3,10.4,20.1,4,17.8
