State,Area name,First Word of Each County,Abbreviation,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
California,Ventura ,Ventura,CaliforniaVentura,19.2,33.8
California,Yolo ,Yolo,CaliforniaYolo,18.1,41.4
California,Yuba ,Yuba,CaliforniaYuba,23.6,17.1
Colorado,Colorado,Colorado,ColoradoColorado,21.4,40.9
Colorado,Adams ,Adams,ColoradoAdams,28.6,24.3
Colorado,Alamosa ,Alamosa,ColoradoAlamosa,28.5,25
Colorado,Arapahoe ,Arapahoe,ColoradoArapahoe,20.8,42.8
Colorado,Archuleta ,Archuleta,ColoradoArchuleta,21,37.2
Colorado,Baca ,Baca,ColoradoBaca,28,21.4
Colorado,Bent ,Bent,ColoradoBent,48.7,11.4
Colorado,Boulder ,Boulder,ColoradoBoulder,11.7,62.1
Colorado,Broomfield ,Broomfield,ColoradoBroomfield,14.5,55.7
Colorado,Chaffee ,Chaffee,ColoradoChaffee,27,33.8
Colorado,Cheyenne ,Cheyenne,ColoradoCheyenne,36.8,19.2
Colorado,Clear Creek ,Clear,ColoradoClear,21.9,48.1
Colorado,Conejos ,Conejos,ColoradoConejos,33.9,21
Colorado,Costilla ,Costilla,ColoradoCostilla,24.5,19.3
Colorado,Crowley ,Crowley,ColoradoCrowley,42.6,9
Colorado,Custer ,Custer,ColoradoCuster,20.8,32.5
Colorado,Delta ,Delta,ColoradoDelta,38.3,21.7
Colorado,Denver ,Denver,ColoradoDenver,16.8,49.4
Colorado,Dolores ,Dolores,ColoradoDolores,36.2,24.1
Colorado,Douglas ,Douglas,ColoradoDouglas,12,58
Colorado,Eagle ,Eagle,ColoradoEagle,15.2,47.2
Colorado,Elbert ,Elbert,ColoradoElbert,24.1,35.8
Colorado,El Paso ,El,ColoradoEl,20.4,38.5
Colorado,Fremont ,Fremont,ColoradoFremont,39.3,18.5
Colorado,Garfield ,Garfield,ColoradoGarfield,27,31
Colorado,Gilpin ,Gilpin,ColoradoGilpin,21.4,39.6
Colorado,Grand ,Grand,ColoradoGrand,26.8,38
Colorado,Gunnison ,Gunnison,ColoradoGunnison,15.9,56.2
Colorado,Hinsdale ,Hinsdale,ColoradoHinsdale,22.8,45.7
Colorado,Huerfano ,Huerfano,ColoradoHuerfano,29.6,21.1
Colorado,Jackson ,Jackson,ColoradoJackson,28.1,20
Colorado,Jefferson ,Jefferson,ColoradoJefferson,20.3,45.2
Colorado,Kiowa ,Kiowa,ColoradoKiowa,35.6,21.4
Colorado,Kit Carson ,Kit,ColoradoKit,37.6,18.7
Colorado,Lake ,Lake,ColoradoLake,25.8,32.3
Colorado,La Plata ,La,ColoradoLa,20,44.2
Colorado,Larimer ,Larimer,ColoradoLarimer,19,47.3
Colorado,Las Animas ,Las,ColoradoLas,29.5,19.5
Colorado,Lincoln ,Lincoln,ColoradoLincoln,54.5,12.6
Colorado,Logan ,Logan,ColoradoLogan,33.7,20.2
Colorado,Mesa ,Mesa,ColoradoMesa,27.6,28.2
Colorado,Mineral ,Mineral,ColoradoMineral,15.8,46.5
Colorado,Moffat ,Moffat,ColoradoMoffat,38.8,17.6
Colorado,Montezuma ,Montezuma,ColoradoMontezuma,29.3,29.6
Colorado,Montrose ,Montrose,ColoradoMontrose,31.4,25.2
Colorado,Morgan ,Morgan,ColoradoMorgan,31.3,17.5
Colorado,Otero ,Otero,ColoradoOtero,31.9,18.6
Colorado,Ouray ,Ouray,ColoradoOuray,15.9,47.8
Colorado,Park ,Park,ColoradoPark,30.9,29.8
Colorado,Phillips ,Phillips,ColoradoPhillips,33.1,23.8
Colorado,Pitkin ,Pitkin,ColoradoPitkin,17,60.8
Colorado,Prowers ,Prowers,ColoradoProwers,26.1,18.3
Colorado,Pueblo ,Pueblo,ColoradoPueblo,29.1,21.8
Colorado,Rio Blanco ,Rio,ColoradoRio,31.5,22.7
Colorado,Rio Grande ,Rio,ColoradoRio,32.1,24.5
Colorado,Routt ,Routt,ColoradoRoutt,20.2,49.8
Colorado,Saguache ,Saguache,ColoradoSaguache,30.5,22.1
Colorado,San Juan ,San,ColoradoSan,25.8,35.7
Colorado,San Miguel ,San,ColoradoSan,15.3,59.4
Colorado,Sedgwick ,Sedgwick,ColoradoSedgwick,29.1,19.5
Colorado,Summit ,Summit,ColoradoSummit,18,52.4
Colorado,Teller ,Teller,ColoradoTeller,23.2,37.7
Colorado,Washington ,Washington,ColoradoWashington,34.5,15.4
Colorado,Weld ,Weld,ColoradoWeld,27.3,27.5
Colorado,Yuma ,Yuma,ColoradoYuma,34.4,21.8
Connecticut,Connecticut,Connecticut,ConnecticutConnecticut,26.9,39.3
Connecticut,Fairfield ,Fairfield,ConnecticutFairfield,21.5,47.9
Connecticut,Hartford ,Hartford,ConnecticutHartford,26.6,38.1
Connecticut,Litchfield ,Litchfield,ConnecticutLitchfield,29.9,35.4
Connecticut,Middlesex ,Middlesex,ConnecticutMiddlesex,25.8,42.2
Connecticut,New Haven ,New,ConnecticutNew,30.7,35
Connecticut,New London ,New,ConnecticutNew,29.5,33.3
Connecticut,Tolland ,Tolland,ConnecticutTolland,27,41.8
Connecticut,Windham ,Windham,ConnecticutWindham,33.2,24.3
Delaware,Delaware,Delaware,DelawareDelaware,31.3,32
Delaware,Kent ,Kent,DelawareKent,32.9,23.7
Delaware,New Castle ,New,DelawareNew,30.8,36.2
Delaware,Sussex ,Sussex,DelawareSussex,31.2,28.3
DC,District of Columbia,District,DCDistrict,16.8,58.5
DC,District of Columbia,District,DCDistrict,16.8,58.5
Florida,Florida,Florida,FloridaFlorida,28.6,29.9
Florida,Alachua ,Alachua,FloridaAlachua,21.2,43.3
Florida,Baker ,Baker,FloridaBaker,42.6,13.2
Florida,Bay ,Bay,FloridaBay,31,23.7
Florida,Bradford ,Bradford,FloridaBradford,40.4,9.9
