State,Area name,First Word of Each County,Abbreviation,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
Idaho,Idaho,Idaho,IdahoIdaho,27.4,27.6
Idaho,Ada ,Ada,IdahoAda,22.4,38.5
Idaho,Adams ,Adams,IdahoAdams,34.9,21.2
Idaho,Bannock ,Bannock,IdahoBannock,26.4,27.8
Idaho,Bear Lake ,Bear,IdahoBear,38.4,18.9
Idaho,Benewah ,Benewah,IdahoBenewah,38.4,15.2
Idaho,Bingham ,Bingham,IdahoBingham,31.3,21.2
Idaho,Blaine ,Blaine,IdahoBlaine,25.6,35.4
Idaho,Boise ,Boise,IdahoBoise,30.6,27.1
Idaho,Bonner ,Bonner,IdahoBonner,29.8,23.8
Idaho,Bonneville ,Bonneville,IdahoBonneville,25.4,31.3
Idaho,Boundary ,Boundary,IdahoBoundary,42.7,19.8
Idaho,Butte ,Butte,IdahoButte,36,16.2
Idaho,Camas ,Camas,IdahoCamas,43.2,16.3
Idaho,Canyon ,Canyon,IdahoCanyon,32.1,18.7
Idaho,Caribou ,Caribou,IdahoCaribou,32.4,19
Idaho,Cassia ,Cassia,IdahoCassia,29.8,18.6
Idaho,Clark ,Clark,IdahoClark,28,12.2
Idaho,Clearwater ,Clearwater,IdahoClearwater,35.5,17.9
Idaho,Custer ,Custer,IdahoCuster,28.6,24.4
Idaho,Elmore ,Elmore,IdahoElmore,26.8,18.7
Idaho,Franklin ,Franklin,IdahoFranklin,37.8,17.7
Idaho,Fremont ,Fremont,IdahoFremont,30.2,21.7
Idaho,Gem ,Gem,IdahoGem,37,17.5
Idaho,Gooding ,Gooding,IdahoGooding,35,17.2
Idaho,Idaho ,Idaho,IdahoIdaho,36.1,19.8
Idaho,Jefferson ,Jefferson,IdahoJefferson,25.5,24.7
Idaho,Jerome ,Jerome,IdahoJerome,30.6,16.1
Idaho,Kootenai ,Kootenai,IdahoKootenai,27.2,25.2
Idaho,Latah ,Latah,IdahoLatah,19.7,45.4
Idaho,Lemhi ,Lemhi,IdahoLemhi,30.3,22.9
Idaho,Lewis ,Lewis,IdahoLewis,29.6,17.9
Idaho,Lincoln ,Lincoln,IdahoLincoln,33.3,10.3
Idaho,Madison ,Madison,IdahoMadison,15.2,36.4
Idaho,Minidoka ,Minidoka,IdahoMinidoka,32.1,14.1
Idaho,Nez Perce ,Nez,IdahoNez,32.1,22.9
Idaho,Oneida ,Oneida,IdahoOneida,34.9,17.1
Idaho,Owyhee ,Owyhee,IdahoOwyhee,33.4,12
Idaho,Payette ,Payette,IdahoPayette,34.7,15.7
Idaho,Power ,Power,IdahoPower,32.7,15.1
Idaho,Shoshone ,Shoshone,IdahoShoshone,37,11.5
Idaho,Teton ,Teton,IdahoTeton,16.6,41
Idaho,Twin Falls ,Twin,IdahoTwin,27.2,20.6
Idaho,Valley ,Valley,IdahoValley,26.7,30.4
Idaho,Washington ,Washington,IdahoWashington,33.8,16.3
Illinois,Illinois,Illinois,IllinoisIllinois,26,34.7
Illinois,Adams ,Adams,IllinoisAdams,35.4,25
Illinois,Alexander ,Alexander,IllinoisAlexander,40.7,12.9
Illinois,Bond ,Bond,IllinoisBond,33.1,22.9
Illinois,Boone ,Boone,IllinoisBoone,34.8,23.5
Illinois,Brown ,Brown,IllinoisBrown,37.5,14.1
Illinois,Bureau ,Bureau,IllinoisBureau,36.6,20.6
Illinois,Calhoun ,Calhoun,IllinoisCalhoun,43.4,14.2
Illinois,Carroll ,Carroll,IllinoisCarroll,38.1,19.5
Illinois,Cass ,Cass,IllinoisCass,43.1,15.1
Illinois,Champaign ,Champaign,IllinoisChampaign,22,45
Illinois,Christian ,Christian,IllinoisChristian,41.8,17.1
Illinois,Clark ,Clark,IllinoisClark,40,19.9
Illinois,Clay ,Clay,IllinoisClay,38.6,15
Illinois,Clinton ,Clinton,IllinoisClinton,31.9,22.3
Illinois,Coles ,Coles,IllinoisColes,30.5,26
Illinois,Cook ,Cook,IllinoisCook,23.1,38.8
Illinois,Crawford ,Crawford,IllinoisCrawford,28.6,17.1
Illinois,Cumberland ,Cumberland,IllinoisCumberland,40.1,15.4
Illinois,DeKalb ,DeKalb,IllinoisDeKalb,24.9,32.3
Illinois,De Witt ,De,IllinoisDe,37.8,21.3
Illinois,Douglas ,Douglas,IllinoisDouglas,33.4,18.9
Illinois,DuPage ,DuPage,IllinoisDuPage,18.2,49.4
Illinois,Edgar ,Edgar,IllinoisEdgar,37.3,17.2
Illinois,Edwards ,Edwards,IllinoisEdwards,34.5,13.9
Illinois,Effingham ,Effingham,IllinoisEffingham,35.8,22.7
Illinois,Fayette ,Fayette,IllinoisFayette,40.2,11.3
Illinois,Ford ,Ford,IllinoisFord,35.5,21.4
Illinois,Franklin ,Franklin,IllinoisFranklin,33,16.7
Illinois,Fulton ,Fulton,IllinoisFulton,34.5,17.6
Illinois,Gallatin ,Gallatin,IllinoisGallatin,39.8,10.9
Illinois,Greene ,Greene,IllinoisGreene,47.6,12.8
Illinois,Grundy ,Grundy,IllinoisGrundy,33.8,22.9
Illinois,Hamilton ,Hamilton,IllinoisHamilton,34.9,17
Illinois,Hancock ,Hancock,IllinoisHancock,36.6,21
Illinois,Hardin ,Hardin,IllinoisHardin,32.3,10.8
Illinois,Henderson ,Henderson,IllinoisHenderson,41.7,18.3
Illinois,Henry ,Henry,IllinoisHenry,33.7,23.3
Illinois,Iroquois ,Iroquois,IllinoisIroquois,39.8,15.9
Illinois,Jackson ,Jackson,IllinoisJackson,24.1,34.1
Illinois,Jasper ,Jasper,IllinoisJasper,39.1,16.6
Illinois,Jefferson ,Jefferson,IllinoisJefferson,30.6,17.9
Illinois,Jersey ,Jersey,IllinoisJersey,38.8,20.3
Illinois,Jo Daviess ,Jo,IllinoisJo,35.9,25
Illinois,Johnson ,Johnson,IllinoisJohnson,31.6,16
Illinois,Kane ,Kane,IllinoisKane,22.7,33.1
Illinois,Kankakee ,Kankakee,IllinoisKankakee,34.4,20.8
Illinois,Kendall ,Kendall,IllinoisKendall,22.9,36.2
Illinois,Knox ,Knox,IllinoisKnox,36.6,18.9
Illinois,Lake ,Lake,IllinoisLake,20.8,45.3
Illinois,La Salle ,La,IllinoisLa,35.6,17.8
Illinois,Lawrence ,Lawrence,IllinoisLawrence,34.7,14.9
Illinois,Lee ,Lee,IllinoisLee,33.8,18.2
Illinois,Livingston ,Livingston,IllinoisLivingston,44.7,14.8
Illinois,Logan ,Logan,IllinoisLogan,35.3,19.9
Illinois,McDonough ,McDonough,IllinoisMcDonough,31.2,32.2
Illinois,McHenry ,McHenry,IllinoisMcHenry,26.5,34.4
Illinois,McLean ,McLean,IllinoisMcLean,24.6,44.8
Illinois,Macon ,Macon,IllinoisMacon,35.4,22.1
Illinois,Macoupin ,Macoupin,IllinoisMacoupin,39.8,18.4
Illinois,Madison ,Madison,IllinoisMadison,29.8,26.8
Illinois,Marion ,Marion,IllinoisMarion,35.2,15.2
Illinois,Marshall ,Marshall,IllinoisMarshall,39.4,18.9
Illinois,Mason ,Mason,IllinoisMason,42.8,16
Illinois,Massac ,Massac,IllinoisMassac,33.6,13.9
Illinois,Menard ,Menard,IllinoisMenard,35.8,24
Illinois,Mercer ,Mercer,IllinoisMercer,39.6,17.4
Illinois,Monroe ,Monroe,IllinoisMonroe,27.6,35
Illinois,Montgomery ,Montgomery,IllinoisMontgomery,39.3,16.7
Illinois,Morgan ,Morgan,IllinoisMorgan,40.2,19.3
Illinois,Moultrie ,Moultrie,IllinoisMoultrie,33.4,18.6
Illinois,Ogle ,Ogle,IllinoisOgle,33.4,21.4
Illinois,Peoria ,Peoria,IllinoisPeoria,27.6,30.6
Illinois,Perry ,Perry,IllinoisPerry,36.6,12.5
Illinois,Piatt ,Piatt,IllinoisPiatt,33.9,28.6
Illinois,Pike ,Pike,IllinoisPike,38.7,17.8
Illinois,Pope ,Pope,IllinoisPope,36,13.1
Illinois,Pulaski ,Pulaski,IllinoisPulaski,36.3,12.5
Illinois,Putnam ,Putnam,IllinoisPutnam,38.1,16.6
Illinois,Randolph ,Randolph,IllinoisRandolph,37.3,13.3
Illinois,Richland ,Richland,IllinoisRichland,29.9,21
Illinois,Rock Island ,Rock,IllinoisRock,29.5,23.5
Illinois,St. Clair ,St.,IllinoisSt.,28.1,28
Illinois,Saline ,Saline,IllinoisSaline,27.5,19.2
Illinois,Sangamon ,Sangamon,IllinoisSangamon,27.2,34.5
Illinois,Schuyler ,Schuyler,IllinoisSchuyler,35.6,20.4
Illinois,Scott ,Scott,IllinoisScott,47.7,15.8
Illinois,Shelby ,Shelby,IllinoisShelby,44.4,16.8
Illinois,Stark ,Stark,IllinoisStark,41.6,17
Illinois,Stephenson ,Stephenson,IllinoisStephenson,35,19.6
Illinois,Tazewell ,Tazewell,IllinoisTazewell,31.7,26.3
Illinois,Union ,Union,IllinoisUnion,35.4,21.7
Illinois,Vermilion ,Vermilion,IllinoisVermilion,41.2,14.7
Illinois,Wabash ,Wabash,IllinoisWabash,30.7,18.2
Illinois,Warren ,Warren,IllinoisWarren,32,22.8
Illinois,Washington ,Washington,IllinoisWashington,33.4,20.9
Illinois,Wayne ,Wayne,IllinoisWayne,34.9,15.4
Illinois,White ,White,IllinoisWhite,37.4,15.5
Illinois,Whiteside ,Whiteside,IllinoisWhiteside,37.7,18.2
Illinois,Will ,Will,IllinoisWill,26.9,34.3
Illinois,Williamson ,Williamson,IllinoisWilliamson,31.1,24.3
Illinois,Winnebago ,Winnebago,IllinoisWinnebago,31.7,22.9
Illinois,Woodford ,Woodford,IllinoisWoodford,31.3,33.2
Indiana,Indiana,Indiana,IndianaIndiana,33.4,26.5
Indiana,Adams ,Adams,IndianaAdams,40.6,15.5
Indiana,Allen ,Allen,IndianaAllen,28.2,28.5
Indiana,Bartholomew ,Bartholomew,IndianaBartholomew,30.8,33.5
Indiana,Benton ,Benton,IndianaBenton,42.8,16.1
Indiana,Blackford ,Blackford,IndianaBlackford,49.6,13.5
Indiana,Boone ,Boone,IndianaBoone,19.5,49.3
Indiana,Brown ,Brown,IndianaBrown,32.9,28.9
Indiana,Carroll ,Carroll,IndianaCarroll,40.8,16.7
Indiana,Cass ,Cass,IndianaCass,39.9,13.3
Indiana,Clark ,Clark,IndianaClark,34.6,21.2
Indiana,Clay ,Clay,IndianaClay,43.8,17
Indiana,Clinton ,Clinton,IndianaClinton,43.2,16.3
Indiana,Crawford ,Crawford,IndianaCrawford,45.9,10.3
Indiana,Daviess ,Daviess,IndianaDaviess,34,13.2
Indiana,Dearborn ,Dearborn,IndianaDearborn,38.9,22.9
Indiana,Decatur ,Decatur,IndianaDecatur,44,20.6
Indiana,DeKalb ,DeKalb,IndianaDeKalb,42.2,18
Indiana,Delaware ,Delaware,IndianaDelaware,35.1,23.7
Indiana,Dubois ,Dubois,IndianaDubois,38.3,23.7
Indiana,Elkhart ,Elkhart,IndianaElkhart,34.7,19.8
Indiana,Fayette ,Fayette,IndianaFayette,42.1,13.3
Indiana,Floyd ,Floyd,IndianaFloyd,30.9,29.6
Indiana,Fountain ,Fountain,IndianaFountain,43.7,14.9
Indiana,Franklin ,Franklin,IndianaFranklin,42.5,21.1
Indiana,Fulton ,Fulton,IndianaFulton,40.6,15.8
Indiana,Gibson ,Gibson,IndianaGibson,40.9,18
Indiana,Grant ,Grant,IndianaGrant,40.5,17.9
Indiana,Greene ,Greene,IndianaGreene,41.1,14.9
Indiana,Hamilton ,Hamilton,IndianaHamilton,14.9,59.3
Indiana,Hancock ,Hancock,IndianaHancock,32.7,30.8
Indiana,Harrison ,Harrison,IndianaHarrison,39.6,18.7
Indiana,Hendricks ,Hendricks,IndianaHendricks,27.5,37
Indiana,Henry ,Henry,IndianaHenry,43.7,16.4
Indiana,Howard ,Howard,IndianaHoward,35.9,21.6
Indiana,Huntington ,Huntington,IndianaHuntington,41.3,20.1
Indiana,Jackson ,Jackson,IndianaJackson,41.9,16.7
Indiana,Jasper ,Jasper,IndianaJasper,43.2,14.3
Indiana,Jay ,Jay,IndianaJay,48.9,11.4
Indiana,Jefferson ,Jefferson,IndianaJefferson,42.3,17.9
Indiana,Jennings ,Jennings,IndianaJennings,45.8,12
Indiana,Johnson ,Johnson,IndianaJohnson,31.1,32.7
Indiana,Knox ,Knox,IndianaKnox,35.8,16.9
Indiana,Kosciusko ,Kosciusko,IndianaKosciusko,34.8,23.3
Indiana,LaGrange ,LaGrange,IndianaLaGrange,30.5,10.5
Indiana,Lake ,Lake,IndianaLake,35.1,22.6
Indiana,LaPorte ,LaPorte,IndianaLaPorte,39.6,18
Indiana,Lawrence ,Lawrence,IndianaLawrence,42.3,15.8
Indiana,Madison ,Madison,IndianaMadison,39.4,18.4
Indiana,Marion ,Marion,IndianaMarion,28,30.9
Indiana,Marshall ,Marshall,IndianaMarshall,38.8,19.7
Indiana,Martin ,Martin,IndianaMartin,42.7,13.7
Indiana,Miami ,Miami,IndianaMiami,42,13
Indiana,Monroe ,Monroe,IndianaMonroe,22.2,45.7
Indiana,Montgomery ,Montgomery,IndianaMontgomery,41.3,18.2
Indiana,Morgan ,Morgan,IndianaMorgan,39.3,17.3
Indiana,Newton ,Newton,IndianaNewton,42.8,11.9
Indiana,Noble ,Noble,IndianaNoble,42,13.7
Indiana,Ohio ,Ohio,IndianaOhio,43.1,14.7
Indiana,Orange ,Orange,IndianaOrange,46.6,10.9
Indiana,Owen ,Owen,IndianaOwen,44.4,13.1
Indiana,Parke ,Parke,IndianaParke,40.5,12
Indiana,Perry ,Perry,IndianaPerry,44.7,16.1
Indiana,Pike ,Pike,IndianaPike,41.7,14.1
Indiana,Porter ,Porter,IndianaPorter,35,28.4
Indiana,Posey ,Posey,IndianaPosey,38.2,21.9
Indiana,Pulaski ,Pulaski,IndianaPulaski,46.1,12.8
Indiana,Putnam ,Putnam,IndianaPutnam,42.4,16.8
Indiana,Randolph ,Randolph,IndianaRandolph,43.4,14.3
Indiana,Ripley ,Ripley,IndianaRipley,43.6,18
Indiana,Rush ,Rush,IndianaRush,46.4,13.9
Indiana,St. Joseph ,St.,IndianaSt.,30.7,29.6
Indiana,Scott ,Scott,IndianaScott,43.5,12
Indiana,Shelby ,Shelby,IndianaShelby,42.4,18.7
Indiana,Spencer ,Spencer,IndianaSpencer,46,15.2
Indiana,Starke ,Starke,IndianaStarke,42.1,11.9
Indiana,Steuben ,Steuben,IndianaSteuben,39.6,21.8
Indiana,Sullivan ,Sullivan,IndianaSullivan,44.2,12.1
Indiana,Switzerland ,Switzerland,IndianaSwitzerland,46.4,10.9
Indiana,Tippecanoe ,Tippecanoe,IndianaTippecanoe,25.4,38.7
Indiana,Tipton ,Tipton,IndianaTipton,40.8,24.7
Indiana,Union ,Union,IndianaUnion,43.4,18.5
Indiana,Vanderburgh ,Vanderburgh,IndianaVanderburgh,32.5,27
Indiana,Vermillion ,Vermillion,IndianaVermillion,43.4,14.2
Indiana,Vigo ,Vigo,IndianaVigo,32,25.1
Indiana,Wabash ,Wabash,IndianaWabash,42.6,18.1
Indiana,Warren ,Warren,IndianaWarren,41.8,19.4
Indiana,Warrick ,Warrick,IndianaWarrick,31.3,30.3
Indiana,Washington ,Washington,IndianaWashington,43.1,13.4
Indiana,Wayne ,Wayne,IndianaWayne,37.3,18.2
Indiana,Wells ,Wells,IndianaWells,40.2,18.2
Indiana,White ,White,IndianaWhite,41.6,16.4
Indiana,Whitley ,Whitley,IndianaWhitley,39.2,20.7
Iowa,Iowa,Iowa,IowaIowa,31,28.6
Iowa,Adair ,Adair,IowaAdair,40.5,18.5
Iowa,Adams ,Adams,IowaAdams,39.1,15.6
Iowa,Allamakee ,Allamakee,IowaAllamakee,39.4,17.8
Iowa,Appanoose ,Appanoose,IowaAppanoose,36.5,16.3
Iowa,Audubon ,Audubon,IowaAudubon,37.1,17.1
Iowa,Benton ,Benton,IowaBenton,36.9,22.1
Iowa,Black Hawk ,Black,IowaBlack,30.5,29.1
Iowa,Boone ,Boone,IowaBoone,31.5,25.3
Iowa,Bremer ,Bremer,IowaBremer,32.9,30.7
Iowa,Buchanan ,Buchanan,IowaBuchanan,38.5,21.5
Iowa,Buena Vista ,Buena,IowaBuena,30.3,19.7
Iowa,Butler ,Butler,IowaButler,38,17.3
Iowa,Calhoun ,Calhoun,IowaCalhoun,38,18.7
Iowa,Carroll ,Carroll,IowaCarroll,36.7,22.4
Iowa,Cass ,Cass,IowaCass,37.9,20.1
Iowa,Cedar ,Cedar,IowaCedar,37.6,22.2
Iowa,Cerro Gordo ,Cerro,IowaCerro,30.6,23.6
Iowa,Cherokee ,Cherokee,IowaCherokee,35.8,22.2
Iowa,Chickasaw ,Chickasaw,IowaChickasaw,43.6,17.2
Iowa,Clarke ,Clarke,IowaClarke,38.9,16
Iowa,Clay ,Clay,IowaClay,34.4,22.7
Iowa,Clayton ,Clayton,IowaClayton,43.2,17.7
Iowa,Clinton ,Clinton,IowaClinton,38.8,17.9
Iowa,Crawford ,Crawford,IowaCrawford,37.4,14.3
Iowa,Dallas ,Dallas,IowaDallas,17.7,50.4
Iowa,Davis ,Davis,IowaDavis,32.5,19.5
Iowa,Decatur ,Decatur,IowaDecatur,37.5,25
Iowa,Delaware ,Delaware,IowaDelaware,42.8,16.6
Iowa,Des Moines ,Des,IowaDes,33.5,20.1
Iowa,Dickinson ,Dickinson,IowaDickinson,26.3,33.6
Iowa,Dubuque ,Dubuque,IowaDubuque,32.7,30.8
Iowa,Emmet ,Emmet,IowaEmmet,32.8,18.8
Iowa,Fayette ,Fayette,IowaFayette,39.6,18.3
Iowa,Floyd ,Floyd,IowaFloyd,35.4,19.8
Iowa,Franklin ,Franklin,IowaFranklin,35.9,18
Iowa,Fremont ,Fremont,IowaFremont,33.6,18.9
Iowa,Greene ,Greene,IowaGreene,39.7,18.7
Iowa,Grundy ,Grundy,IowaGrundy,31.6,27.9
Iowa,Guthrie ,Guthrie,IowaGuthrie,38.9,19.8
Iowa,Hamilton ,Hamilton,IowaHamilton,32.4,24.3
Iowa,Hancock ,Hancock,IowaHancock,36.3,23.8
Iowa,Hardin ,Hardin,IowaHardin,34.7,20.8
Iowa,Harrison ,Harrison,IowaHarrison,37.2,19.5
Iowa,Henry ,Henry,IowaHenry,36,19.6
Iowa,Howard ,Howard,IowaHoward,40,15.8
Iowa,Humboldt ,Humboldt,IowaHumboldt,37,21.2
Iowa,Ida ,Ida,IowaIda,38.8,18.6
Iowa,Iowa ,Iowa,IowaIowa,37.1,18.8
Iowa,Jackson ,Jackson,IowaJackson,42,19.2
Iowa,Jasper ,Jasper,IowaJasper,41.4,18.8
Iowa,Jefferson ,Jefferson,IowaJefferson,28,31.5
Iowa,Johnson ,Johnson,IowaJohnson,16.3,52.8
Iowa,Jones ,Jones,IowaJones,39.6,19.5
Iowa,Keokuk ,Keokuk,IowaKeokuk,40.4,18.3
Iowa,Kossuth ,Kossuth,IowaKossuth,37.4,17.5
Iowa,Lee ,Lee,IowaLee,40.8,16.4
Iowa,Linn ,Linn,IowaLinn,27,33.1
Iowa,Louisa ,Louisa,IowaLouisa,37.7,14.9
Iowa,Lucas ,Lucas,IowaLucas,41.3,17
Iowa,Lyon ,Lyon,IowaLyon,37.1,20.7
Iowa,Madison ,Madison,IowaMadison,36.6,24.5
Iowa,Mahaska ,Mahaska,IowaMahaska,39.6,22
Iowa,Marion ,Marion,IowaMarion,34.1,28.8
Iowa,Marshall ,Marshall,IowaMarshall,34.2,18.8
Iowa,Mills ,Mills,IowaMills,34.1,24.1
Iowa,Mitchell ,Mitchell,IowaMitchell,38.4,19
Iowa,Monona ,Monona,IowaMonona,38.3,15.3
Iowa,Monroe ,Monroe,IowaMonroe,39.1,17.4
Iowa,Montgomery ,Montgomery,IowaMontgomery,35.2,18.5
Iowa,Muscatine ,Muscatine,IowaMuscatine,35.3,21.5
Iowa,O'Brien ,O'Brien,IowaO'Brien,39.9,18.8
Iowa,Osceola ,Osceola,IowaOsceola,36.6,17.9
Iowa,Page ,Page,IowaPage,36.5,20.2
Iowa,Palo Alto ,Palo,IowaPalo,29.2,25.5
Iowa,Plymouth ,Plymouth,IowaPlymouth,33.9,23.2
Iowa,Pocahontas ,Pocahontas,IowaPocahontas,39.4,15
Iowa,Polk ,Polk,IowaPolk,24.5,36.7
Iowa,Pottawattamie ,Pottawattamie,IowaPottawattamie,32.7,21.5
Iowa,Poweshiek ,Poweshiek,IowaPoweshiek,37.9,26.1
Iowa,Ringgold ,Ringgold,IowaRinggold,36.9,21.4
Iowa,Sac ,Sac,IowaSac,36.9,20
Iowa,Scott ,Scott,IowaScott,29.6,31.8
Iowa,Shelby ,Shelby,IowaShelby,35.3,22.2
Iowa,Sioux ,Sioux,IowaSioux,30.2,29.1
Iowa,Story ,Story,IowaStory,17.4,51.6
Iowa,Tama ,Tama,IowaTama,40,15.8
Iowa,Taylor ,Taylor,IowaTaylor,38.5,14.5
Iowa,Union ,Union,IowaUnion,35.5,18
Iowa,Van Buren ,Van,IowaVan,38.9,14.4
Iowa,Wapello ,Wapello,IowaWapello,34.9,18.8
Iowa,Warren ,Warren,IowaWarren,30.8,31.9
Iowa,Washington ,Washington,IowaWashington,39.3,21.8
Iowa,Wayne ,Wayne,IowaWayne,44.4,12.7
Iowa,Webster ,Webster,IowaWebster,33.9,19.9
Iowa,Winnebago ,Winnebago,IowaWinnebago,34.1,21.8
Iowa,Winneshiek ,Winneshiek,IowaWinneshiek,33,30.6
Iowa,Woodbury ,Woodbury,IowaWoodbury,32.2,23.1
Iowa,Worth ,Worth,IowaWorth,36.4,17.5
Iowa,Wright ,Wright,IowaWright,36.9,17.2
Kansas,Kansas,Kansas,KansasKansas,25.9,33.4
Kansas,Allen ,Allen,KansasAllen,33.1,20.3
Kansas,Anderson ,Anderson,KansasAnderson,42,18.1
Kansas,Atchison ,Atchison,KansasAtchison,38.4,22
Kansas,Barber ,Barber,KansasBarber,33.7,20.7
Kansas,Barton ,Barton,KansasBarton,32,20.9
Kansas,Bourbon ,Bourbon,KansasBourbon,31.5,21.7
Kansas,Brown ,Brown,KansasBrown,37.4,21.2
Kansas,Butler ,Butler,KansasButler,25.9,29.8
Kansas,Chase ,Chase,KansasChase,29.1,25.5
Kansas,Chautauqua ,Chautauqua,KansasChautauqua,34.8,15.9
Kansas,Cherokee ,Cherokee,KansasCherokee,32.7,19.6
Kansas,Cheyenne ,Cheyenne,KansasCheyenne,30.9,28.9
Kansas,Clark ,Clark,KansasClark,27.2,26.1
Kansas,Clay ,Clay,KansasClay,35.2,26.7
Kansas,Cloud ,Cloud,KansasCloud,31.6,24
Kansas,Coffey ,Coffey,KansasCoffey,32.1,24.5
Kansas,Comanche ,Comanche,KansasComanche,34.9,16
Kansas,Cowley ,Cowley,KansasCowley,29.9,21.8
Kansas,Crawford ,Crawford,KansasCrawford,29.3,29.9
Kansas,Decatur ,Decatur,KansasDecatur,35.4,22.5
Kansas,Dickinson ,Dickinson,KansasDickinson,33.2,22.9
Kansas,Doniphan ,Doniphan,KansasDoniphan,36.8,21.1
Kansas,Douglas ,Douglas,KansasDouglas,18.4,49.6
Kansas,Edwards ,Edwards,KansasEdwards,28.2,18.1
Kansas,Elk ,Elk,KansasElk,42.6,15.6
Kansas,Ellis ,Ellis,KansasEllis,26.9,36.3
Kansas,Ellsworth ,Ellsworth,KansasEllsworth,34.3,19.5
Kansas,Finney ,Finney,KansasFinney,22.2,17.1
Kansas,Ford ,Ford,KansasFord,25.3,17.7
Kansas,Franklin ,Franklin,KansasFranklin,37.6,20.4
Kansas,Geary ,Geary,KansasGeary,25,23.2
Kansas,Gove ,Gove,KansasGove,36.3,19.7
Kansas,Graham ,Graham,KansasGraham,31.9,24.7
Kansas,Grant ,Grant,KansasGrant,25.9,14.9
Kansas,Gray ,Gray,KansasGray,22.5,20.2
Kansas,Greeley ,Greeley,KansasGreeley,26.9,27.2
Kansas,Greenwood ,Greenwood,KansasGreenwood,36.3,19.9
Kansas,Hamilton ,Hamilton,KansasHamilton,39.9,18.7
Kansas,Harper ,Harper,KansasHarper,39.1,16.2
Kansas,Harvey ,Harvey,KansasHarvey,23.7,33.2
Kansas,Haskell ,Haskell,KansasHaskell,19.3,17.1
Kansas,Hodgeman ,Hodgeman,KansasHodgeman,20.8,30.8
Kansas,Jackson ,Jackson,KansasJackson,39,20.2
Kansas,Jefferson ,Jefferson,KansasJefferson,39.7,23.2
Kansas,Jewell ,Jewell,KansasJewell,39.5,19.3
Kansas,Johnson ,Johnson,KansasJohnson,14.5,56
Kansas,Kearny ,Kearny,KansasKearny,32.4,14.7
Kansas,Kingman ,Kingman,KansasKingman,33,24.4
Kansas,Kiowa ,Kiowa,KansasKiowa,27.1,28.1
Kansas,Labette ,Labette,KansasLabette,31.8,18.7
Kansas,Lane ,Lane,KansasLane,31.9,23.1
Kansas,Leavenworth ,Leavenworth,KansasLeavenworth,28.3,31.5
Kansas,Lincoln ,Lincoln,KansasLincoln,31.1,22.8
Kansas,Linn ,Linn,KansasLinn,38.9,16.2
Kansas,Logan ,Logan,KansasLogan,28.1,16.6
Kansas,Lyon ,Lyon,KansasLyon,29.3,27.5
Kansas,McPherson ,McPherson,KansasMcPherson,27.9,28
Kansas,Marion ,Marion,KansasMarion,30.3,25
Kansas,Marshall ,Marshall,KansasMarshall,42.2,18.9
Kansas,Meade ,Meade,KansasMeade,26.4,20.3
Kansas,Miami ,Miami,KansasMiami,31.8,29.8
Kansas,Mitchell ,Mitchell,KansasMitchell,30.4,26.1
Kansas,Montgomery ,Montgomery,KansasMontgomery,29.2,19.5
Kansas,Morris ,Morris,KansasMorris,36.1,21.4
Kansas,Morton ,Morton,KansasMorton,28,17.3
Kansas,Nemaha ,Nemaha,KansasNemaha,39.8,25.4
Kansas,Neosho ,Neosho,KansasNeosho,32.5,18.1
Kansas,Ness ,Ness,KansasNess,31.1,19.4
Kansas,Norton ,Norton,KansasNorton,34.7,18.8
Kansas,Osage ,Osage,KansasOsage,39.1,19.2
Kansas,Osborne ,Osborne,KansasOsborne,34.6,23.6
Kansas,Ottawa ,Ottawa,KansasOttawa,35.4,24.5
Kansas,Pawnee ,Pawnee,KansasPawnee,33.1,19.6
Kansas,Phillips ,Phillips,KansasPhillips,36.6,21.8
Kansas,Pottawatomie ,Pottawatomie,KansasPottawatomie,29.1,33.8
Kansas,Pratt ,Pratt,KansasPratt,24.9,30.3
Kansas,Rawlins ,Rawlins,KansasRawlins,29.8,24.1
Kansas,Reno ,Reno,KansasReno,27.7,20.9
Kansas,Republic ,Republic,KansasRepublic,34.5,25.5
Kansas,Rice ,Rice,KansasRice,29.3,22.8
Kansas,Riley ,Riley,KansasRiley,19.1,45.6
Kansas,Rooks ,Rooks,KansasRooks,30.4,23.1
Kansas,Rush ,Rush,KansasRush,29.8,23.7
Kansas,Russell ,Russell,KansasRussell,27.2,23.1
Kansas,Saline ,Saline,KansasSaline,30.1,27.3
Kansas,Scott ,Scott,KansasScott,27,25.1
Kansas,Sedgwick ,Sedgwick,KansasSedgwick,26.3,30.9
Kansas,Seward ,Seward,KansasSeward,28.7,11
Kansas,Shawnee ,Shawnee,KansasShawnee,31.4,30.9
Kansas,Sheridan ,Sheridan,KansasSheridan,34.1,22
Kansas,Sherman ,Sherman,KansasSherman,30.3,21.8
Kansas,Smith ,Smith,KansasSmith,35.9,22.3
Kansas,Stafford ,Stafford,KansasStafford,29.3,25.2
Kansas,Stanton ,Stanton,KansasStanton,29.6,19
Kansas,Stevens ,Stevens,KansasStevens,25.8,13.7
Kansas,Sumner ,Sumner,KansasSumner,34.9,23.3
Kansas,Thomas ,Thomas,KansasThomas,26.4,22.6
Kansas,Trego ,Trego,KansasTrego,31.1,24.8
Kansas,Wabaunsee ,Wabaunsee,KansasWabaunsee,34.9,24.2
