,State,Area name,First Word of Each County,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
535,Illinois,Pike ,Pike,38.7,17.8
536,Illinois,Pope ,Pope,36.0,13.1
537,Illinois,Pulaski ,Pulaski,36.3,12.5
538,Illinois,Putnam ,Putnam,38.1,16.6
539,Illinois,Randolph ,Randolph,37.3,13.3
540,Illinois,Richland ,Richland,29.9,21.0
541,Illinois,Rock Island ,Rock,29.5,23.5
542,Illinois,St. Clair ,St.,28.1,28.0
543,Illinois,Saline ,Saline,27.5,19.2
544,Illinois,Sangamon ,Sangamon,27.2,34.5
545,Illinois,Schuyler ,Schuyler,35.6,20.4
546,Illinois,Scott ,Scott,47.7,15.8
547,Illinois,Shelby ,Shelby,44.4,16.8
548,Illinois,Stark ,Stark,41.6,17.0
549,Illinois,Stephenson ,Stephenson,35.0,19.6
550,Illinois,Tazewell ,Tazewell,31.7,26.3
551,Illinois,Union ,Union,35.4,21.7
552,Illinois,Vermilion ,Vermilion,41.2,14.7
553,Illinois,Wabash ,Wabash,30.7,18.2
554,Illinois,Warren ,Warren,32.0,22.8
555,Illinois,Washington ,Washington,33.4,20.9
556,Illinois,Wayne ,Wayne,34.9,15.4
557,Illinois,White ,White,37.4,15.5
558,Illinois,Whiteside ,Whiteside,37.7,18.2
559,Illinois,Will ,Will,26.9,34.3
560,Illinois,Williamson ,Williamson,31.1,24.3
561,Illinois,Winnebago ,Winnebago,31.7,22.9
562,Illinois,Woodford ,Woodford,31.3,33.2
563,IN,Indiana,Indiana,33.4,26.5
564,IN,Adams ,Adams,40.6,15.5
565,IN,Allen ,Allen,28.2,28.5
566,IN,Bartholomew ,Bartholomew,30.8,33.5
567,IN,Benton ,Benton,42.8,16.1
568,IN,Blackford ,Blackford,49.6,13.5
569,IN,Boone ,Boone,19.5,49.3
570,IN,Brown ,Brown,32.9,28.9
571,IN,Carroll ,Carroll,40.8,16.7
572,IN,Cass ,Cass,39.9,13.3
573,IN,Clark ,Clark,34.6,21.2
574,IN,Clay ,Clay,43.8,17.0
575,IN,Clinton ,Clinton,43.2,16.3
576,IN,Crawford ,Crawford,45.9,10.3
577,IN,Daviess ,Daviess,34.0,13.2
578,IN,Dearborn ,Dearborn,38.9,22.9
579,IN,Decatur ,Decatur,44.0,20.6
580,IN,DeKalb ,DeKalb,42.2,18.0
581,IN,Delaware ,Delaware,35.1,23.7
582,IN,Dubois ,Dubois,38.3,23.7
583,IN,Elkhart ,Elkhart,34.7,19.8
584,IN,Fayette ,Fayette,42.1,13.3
585,IN,Floyd ,Floyd,30.9,29.6
586,IN,Fountain ,Fountain,43.7,14.9
587,IN,Franklin ,Franklin,42.5,21.1
588,IN,Fulton ,Fulton,40.6,15.8
589,IN,Gibson ,Gibson,40.9,18.0
590,IN,Grant ,Grant,40.5,17.9
591,IN,Greene ,Greene,41.1,14.9
592,IN,Hamilton ,Hamilton,14.9,59.3
593,IN,Hancock ,Hancock,32.7,30.8
594,IN,Harrison ,Harrison,39.6,18.7
595,IN,Hendricks ,Hendricks,27.5,37.0
596,IN,Henry ,Henry,43.7,16.4
597,IN,Howard ,Howard,35.9,21.6
598,IN,Huntington ,Huntington,41.3,20.1
599,IN,Jackson ,Jackson,41.9,16.7
600,IN,Jasper ,Jasper,43.2,14.3
601,IN,Jay ,Jay,48.9,11.4
602,IN,Jefferson ,Jefferson,42.3,17.9
603,IN,Jennings ,Jennings,45.8,12.0
604,IN,Johnson ,Johnson,31.1,32.7
605,IN,Knox ,Knox,35.8,16.9
606,IN,Kosciusko ,Kosciusko,34.8,23.3
607,IN,LaGrange ,LaGrange,30.5,10.5
608,IN,Lake ,Lake,35.1,22.6
609,IN,LaPorte ,LaPorte,39.6,18.0
610,IN,Lawrence ,Lawrence,42.3,15.8
611,IN,Madison ,Madison,39.4,18.4
612,IN,Marion ,Marion,28.0,30.9
613,IN,Marshall ,Marshall,38.8,19.7
614,IN,Martin ,Martin,42.7,13.7
615,IN,Miami ,Miami,42.0,13.0
616,IN,Monroe ,Monroe,22.2,45.7
617,IN,Montgomery ,Montgomery,41.3,18.2
618,IN,Morgan ,Morgan,39.3,17.3
619,IN,Newton ,Newton,42.8,11.9
620,IN,Noble ,Noble,42.0,13.7
621,IN,Ohio ,Ohio,43.1,14.7
622,IN,Orange ,Orange,46.6,10.9
623,IN,Owen ,Owen,44.4,13.1
624,IN,Parke ,Parke,40.5,12.0
625,IN,Perry ,Perry,44.7,16.1
626,IN,Pike ,Pike,41.7,14.1
627,IN,Porter ,Porter,35.0,28.4
628,IN,Posey ,Posey,38.2,21.9
629,IN,Pulaski ,Pulaski,46.1,12.8
630,IN,Putnam ,Putnam,42.4,16.8
631,IN,Randolph ,Randolph,43.4,14.3
632,IN,Ripley ,Ripley,43.6,18.0
633,IN,Rush ,Rush,46.4,13.9
634,IN,St. Joseph ,St.,30.7,29.6
635,IN,Scott ,Scott,43.5,12.0
636,IN,Shelby ,Shelby,42.4,18.7
637,IN,Spencer ,Spencer,46.0,15.2
638,IN,Starke ,Starke,42.1,11.9
639,IN,Steuben ,Steuben,39.6,21.8
640,IN,Sullivan ,Sullivan,44.2,12.1
641,IN,Switzerland ,Switzerland,46.4,10.9
642,IN,Tippecanoe ,Tippecanoe,25.4,38.7
643,IN,Tipton ,Tipton,40.8,24.7
644,IN,Union ,Union,43.4,18.5
645,IN,Vanderburgh ,Vanderburgh,32.5,27.0
646,IN,Vermillion ,Vermillion,43.4,14.2
647,IN,Vigo ,Vigo,32.0,25.1
648,IN,Wabash ,Wabash,42.6,18.1
649,IN,Warren ,Warren,41.8,19.4
650,IN,Warrick ,Warrick,31.3,30.3
651,IN,Washington ,Washington,43.1,13.4
652,IN,Wayne ,Wayne,37.3,18.2
653,IN,Wells ,Wells,40.2,18.2
654,IN,White ,White,41.6,16.4
655,IN,Whitley ,Whitley,39.2,20.7
656,IA,Iowa,Iowa,31.0,28.6
657,IA,Adair ,Adair,40.5,18.5
658,IA,Adams ,Adams,39.1,15.6
659,IA,Allamakee ,Allamakee,39.4,17.8
660,IA,Appanoose ,Appanoose,36.5,16.3
661,IA,Audubon ,Audubon,37.1,17.1
662,IA,Benton ,Benton,36.9,22.1
663,IA,Black Hawk ,Black,30.5,29.1
664,IA,Boone ,Boone,31.5,25.3
665,IA,Bremer ,Bremer,32.9,30.7
666,IA,Buchanan ,Buchanan,38.5,21.5
667,IA,Buena Vista ,Buena,30.3,19.7
668,IA,Butler ,Butler,38.0,17.3
669,IA,Calhoun ,Calhoun,38.0,18.7
670,IA,Carroll ,Carroll,36.7,22.4
671,IA,Cass ,Cass,37.9,20.1
672,IA,Cedar ,Cedar,37.6,22.2
673,IA,Cerro Gordo ,Cerro,30.6,23.6
674,IA,Cherokee ,Cherokee,35.8,22.2
675,IA,Chickasaw ,Chickasaw,43.6,17.2
676,IA,Clarke ,Clarke,38.9,16.0
677,IA,Clay ,Clay,34.4,22.7
678,IA,Clayton ,Clayton,43.2,17.7
679,IA,Clinton ,Clinton,38.8,17.9
680,IA,Crawford ,Crawford,37.4,14.3
681,IA,Dallas ,Dallas,17.7,50.4
682,IA,Davis ,Davis,32.5,19.5
683,IA,Decatur ,Decatur,37.5,25.0
684,IA,Delaware ,Delaware,42.8,16.6
685,IA,Des Moines ,Des,33.5,20.1
686,IA,Dickinson ,Dickinson,26.3,33.6
687,IA,Dubuque ,Dubuque,32.7,30.8
688,IA,Emmet ,Emmet,32.8,18.8
689,IA,Fayette ,Fayette,39.6,18.3
690,IA,Floyd ,Floyd,35.4,19.8
691,IA,Franklin ,Franklin,35.9,18.0
692,IA,Fremont ,Fremont,33.6,18.9
693,IA,Greene ,Greene,39.7,18.7
694,IA,Grundy ,Grundy,31.6,27.9
695,IA,Guthrie ,Guthrie,38.9,19.8
696,IA,Hamilton ,Hamilton,32.4,24.3
697,IA,Hancock ,Hancock,36.3,23.8
698,IA,Hardin ,Hardin,34.7,20.8
699,IA,Harrison ,Harrison,37.2,19.5
700,IA,Henry ,Henry,36.0,19.6
701,IA,Howard ,Howard,40.0,15.8
702,IA,Humboldt ,Humboldt,37.0,21.2
703,IA,Ida ,Ida,38.8,18.6
704,IA,Iowa ,Iowa,37.1,18.8
705,IA,Jackson ,Jackson,42.0,19.2
706,IA,Jasper ,Jasper,41.4,18.8
707,IA,Jefferson ,Jefferson,28.0,31.5
708,IA,Johnson ,Johnson,16.3,52.8
709,IA,Jones ,Jones,39.6,19.5
710,IA,Keokuk ,Keokuk,40.4,18.3
711,IA,Kossuth ,Kossuth,37.4,17.5
712,IA,Lee ,Lee,40.8,16.4
713,IA,Linn ,Linn,27.0,33.1
714,IA,Louisa ,Louisa,37.7,14.9
715,IA,Lucas ,Lucas,41.3,17.0
716,IA,Lyon ,Lyon,37.1,20.7
717,IA,Madison ,Madison,36.6,24.5
718,IA,Mahaska ,Mahaska,39.6,22.0
719,IA,Marion ,Marion,34.1,28.8
720,IA,Marshall ,Marshall,34.2,18.8
721,IA,Mills ,Mills,34.1,24.1
722,IA,Mitchell ,Mitchell,38.4,19.0
723,IA,Monona ,Monona,38.3,15.3
724,IA,Monroe ,Monroe,39.1,17.4
725,IA,Montgomery ,Montgomery,35.2,18.5
726,IA,Muscatine ,Muscatine,35.3,21.5
727,IA,O'Brien ,O'Brien,39.9,18.8
728,IA,Osceola ,Osceola,36.6,17.9
729,IA,Page ,Page,36.5,20.2
730,IA,Palo Alto ,Palo,29.2,25.5
731,IA,Plymouth ,Plymouth,33.9,23.2
732,IA,Pocahontas ,Pocahontas,39.4,15.0
733,IA,Polk ,Polk,24.5,36.7
734,IA,Pottawattamie ,Pottawattamie,32.7,21.5
735,IA,Poweshiek ,Poweshiek,37.9,26.1
736,IA,Ringgold ,Ringgold,36.9,21.4
737,IA,Sac ,Sac,36.9,20.0
738,IA,Scott ,Scott,29.6,31.8
739,IA,Shelby ,Shelby,35.3,22.2
740,IA,Sioux ,Sioux,30.2,29.1
741,IA,Story ,Story,17.4,51.6
742,IA,Tama ,Tama,40.0,15.8
743,IA,Taylor ,Taylor,38.5,14.5
744,IA,Union ,Union,35.5,18.0
745,IA,Van Buren ,Van,38.9,14.4
746,IA,Wapello ,Wapello,34.9,18.8
747,IA,Warren ,Warren,30.8,31.9
748,IA,Washington ,Washington,39.3,21.8
749,IA,Wayne ,Wayne,44.4,12.7
750,IA,Webster ,Webster,33.9,19.9
751,IA,Winnebago ,Winnebago,34.1,21.8
752,IA,Winneshiek ,Winneshiek,33.0,30.6
753,IA,Woodbury ,Woodbury,32.2,23.1
754,IA,Worth ,Worth,36.4,17.5
755,IA,Wright ,Wright,36.9,17.2
756,KS,Kansas,Kansas,25.9,33.4
757,KS,Allen ,Allen,33.1,20.3
758,KS,Anderson ,Anderson,42.0,18.1
759,KS,Atchison ,Atchison,38.4,22.0
760,KS,Barber ,Barber,33.7,20.7
761,KS,Barton ,Barton,32.0,20.9
762,KS,Bourbon ,Bourbon,31.5,21.7
763,KS,Brown ,Brown,37.4,21.2
764,KS,Butler ,Butler,25.9,29.8
765,KS,Chase ,Chase,29.1,25.5
766,KS,Chautauqua ,Chautauqua,34.8,15.9
767,KS,Cherokee ,Cherokee,32.7,19.6
768,KS,Cheyenne ,Cheyenne,30.9,28.9
769,KS,Clark ,Clark,27.2,26.1
770,KS,Clay ,Clay,35.2,26.7
771,KS,Cloud ,Cloud,31.6,24.0
772,KS,Coffey ,Coffey,32.1,24.5
773,KS,Comanche ,Comanche,34.9,16.0
774,KS,Cowley ,Cowley,29.9,21.8
775,KS,Crawford ,Crawford,29.3,29.9
776,KS,Decatur ,Decatur,35.4,22.5
777,KS,Dickinson ,Dickinson,33.2,22.9
778,KS,Doniphan ,Doniphan,36.8,21.1
779,KS,Douglas ,Douglas,18.4,49.6
780,KS,Edwards ,Edwards,28.2,18.1
781,KS,Elk ,Elk,42.6,15.6
782,KS,Ellis ,Ellis,26.9,36.3
783,KS,Ellsworth ,Ellsworth,34.3,19.5
784,KS,Finney ,Finney,22.2,17.1
785,KS,Ford ,Ford,25.3,17.7
786,KS,Franklin ,Franklin,37.6,20.4
787,KS,Geary ,Geary,25.0,23.2
788,KS,Gove ,Gove,36.3,19.7
789,KS,Graham ,Graham,31.9,24.7
790,KS,Grant ,Grant,25.9,14.9
791,KS,Gray ,Gray,22.5,20.2
792,KS,Greeley ,Greeley,26.9,27.2
793,KS,Greenwood ,Greenwood,36.3,19.9
794,KS,Hamilton ,Hamilton,39.9,18.7
795,KS,Harper ,Harper,39.1,16.2
796,KS,Harvey ,Harvey,23.7,33.2
797,KS,Haskell ,Haskell,19.3,17.1
798,KS,Hodgeman ,Hodgeman,20.8,30.8
799,KS,Jackson ,Jackson,39.0,20.2
800,KS,Jefferson ,Jefferson,39.7,23.2
801,KS,Jewell ,Jewell,39.5,19.3
802,KS,Johnson ,Johnson,14.5,56.0
803,KS,Kearny ,Kearny,32.4,14.7
804,KS,Kingman ,Kingman,33.0,24.4
805,KS,Kiowa ,Kiowa,27.1,28.1
806,KS,Labette ,Labette,31.8,18.7
807,KS,Lane ,Lane,31.9,23.1
808,KS,Leavenworth ,Leavenworth,28.3,31.5
809,KS,Lincoln ,Lincoln,31.1,22.8
810,KS,Linn ,Linn,38.9,16.2
811,KS,Logan ,Logan,28.1,16.6
812,KS,Lyon ,Lyon,29.3,27.5
813,KS,McPherson ,McPherson,27.9,28.0
814,KS,Marion ,Marion,30.3,25.0
815,KS,Marshall ,Marshall,42.2,18.9
816,KS,Meade ,Meade,26.4,20.3
817,KS,Miami ,Miami,31.8,29.8
818,KS,Mitchell ,Mitchell,30.4,26.1
819,KS,Montgomery ,Montgomery,29.2,19.5
820,KS,Morris ,Morris,36.1,21.4
821,KS,Morton ,Morton,28.0,17.3
822,KS,Nemaha ,Nemaha,39.8,25.4
823,KS,Neosho ,Neosho,32.5,18.1
824,KS,Ness ,Ness,31.1,19.4
825,KS,Norton ,Norton,34.7,18.8
826,KS,Osage ,Osage,39.1,19.2
827,KS,Osborne ,Osborne,34.6,23.6
828,KS,Ottawa ,Ottawa,35.4,24.5
829,KS,Pawnee ,Pawnee,33.1,19.6
830,KS,Phillips ,Phillips,36.6,21.8
831,KS,Pottawatomie ,Pottawatomie,29.1,33.8
832,KS,Pratt ,Pratt,24.9,30.3
833,KS,Rawlins ,Rawlins,29.8,24.1
834,KS,Reno ,Reno,27.7,20.9
835,KS,Republic ,Republic,34.5,25.5
836,KS,Rice ,Rice,29.3,22.8
837,KS,Riley ,Riley,19.1,45.6
838,KS,Rooks ,Rooks,30.4,23.1
839,KS,Rush ,Rush,29.8,23.7
840,KS,Russell ,Russell,27.2,23.1
841,KS,Saline ,Saline,30.1,27.3
842,KS,Scott ,Scott,27.0,25.1
843,KS,Sedgwick ,Sedgwick,26.3,30.9
844,KS,Seward ,Seward,28.7,11.0
845,KS,Shawnee ,Shawnee,31.4,30.9
846,KS,Sheridan ,Sheridan,34.1,22.0
847,KS,Sherman ,Sherman,30.3,21.8
848,KS,Smith ,Smith,35.9,22.3
849,KS,Stafford ,Stafford,29.3,25.2
850,KS,Stanton ,Stanton,29.6,19.0
851,KS,Stevens ,Stevens,25.8,13.7
852,KS,Sumner ,Sumner,34.9,23.3
853,KS,Thomas ,Thomas,26.4,22.6
854,KS,Trego ,Trego,31.1,24.8
855,KS,Wabaunsee ,Wabaunsee,34.9,24.2
856,KS,Wallace ,Wallace,25.8,32.4
857,KS,Washington ,Washington,40.7,20.3
858,KS,Wichita ,Wichita,27.5,20.6
859,KS,Wilson ,Wilson,33.9,16.5
860,KS,Woodson ,Woodson,35.2,17.2
861,KS,Wyandotte ,Wyandotte,32.1,18.1
862,KY,Kentucky,Kentucky,32.9,24.2
863,KY,Adair ,Adair,39.0,15.7
864,KY,Allen ,Allen,38.5,16.1
865,KY,Anderson ,Anderson,36.6,20.2
866,KY,Ballard ,Ballard,36.4,15.9
867,KY,Barren ,Barren,42.0,16.3
868,KY,Bath ,Bath,41.2,14.5
869,KY,Bell ,Bell,38.5,9.2
870,KY,Boone ,Boone,27.5,32.1
871,KY,Bourbon ,Bourbon,35.6,19.4
872,KY,Boyd ,Boyd,33.9,19.4
873,KY,Boyle ,Boyle,33.5,25.2
874,KY,Bracken ,Bracken,46.4,13.2
875,KY,Breathitt ,Breathitt,36.7,15.2
876,KY,Breckinridge ,Breckinridge,44.9,11.9
877,KY,Bullitt ,Bullitt,41.6,14.7
878,KY,Butler ,Butler,42.9,13.9
879,KY,Caldwell ,Caldwell,45.0,15.3
880,KY,Calloway ,Calloway,32.1,28.5
881,KY,Campbell ,Campbell,28.2,36.3
882,KY,Carlisle ,Carlisle,40.4,14.9
883,KY,Carroll ,Carroll,40.3,8.2
884,KY,Carter ,Carter,40.3,12.6
885,KY,Casey ,Casey,40.6,12.8
886,KY,Christian ,Christian,31.0,18.1
887,KY,Clark ,Clark,34.3,20.1
888,KY,Clay ,Clay,35.3,9.8
889,KY,Clinton ,Clinton,39.8,10.3
890,KY,Crittenden ,Crittenden,42.0,13.1
891,KY,Cumberland ,Cumberland,43.0,13.3
892,KY,Daviess ,Daviess,34.1,22.9
893,KY,Edmonson ,Edmonson,39.3,10.3
894,KY,Elliott ,Elliott,43.4,9.7
895,KY,Estill ,Estill,45.8,9.9
896,KY,Fayette ,Fayette,19.6,43.6
897,KY,Fleming ,Fleming,40.3,12.9
898,KY,Floyd ,Floyd,37.8,11.3
899,KY,Franklin ,Franklin,31.3,29.9
900,KY,Fulton ,Fulton,37.4,13.4
901,KY,Gallatin ,Gallatin,44.2,11.6
902,KY,Garrard ,Garrard,37.1,17.6
903,KY,Grant ,Grant,47.4,12.9
904,KY,Graves ,Graves,39.5,17.4
905,KY,Grayson ,Grayson,43.0,10.5
906,KY,Green ,Green,37.8,13.2
907,KY,Greenup ,Greenup,36.0,17.1
908,KY,Hancock ,Hancock,43.4,11.4
909,KY,Hardin ,Hardin,30.4,22.0
910,KY,Harlan ,Harlan,34.6,10.8
911,KY,Harrison ,Harrison,40.3,14.6
912,KY,Hart ,Hart,40.3,11.4
913,KY,Henderson ,Henderson,36.0,18.2
914,KY,Henry ,Henry,41.2,13.1
915,KY,Hickman ,Hickman,41.7,15.8
916,KY,Hopkins ,Hopkins,40.4,16.5
917,KY,Jackson ,Jackson,42.7,13.8
918,KY,Jefferson ,Jefferson,26.7,33.4
919,KY,Jessamine ,Jessamine,30.5,29.5
920,KY,Johnson ,Johnson,36.3,16.3
921,KY,Kenton ,Kenton,28.7,31.7
922,KY,Knott ,Knott,33.7,14.9
923,KY,Knox ,Knox,38.0,14.2
924,KY,Larue ,Larue,39.2,12.4
925,KY,Laurel ,Laurel,39.1,14.4
926,KY,Lawrence ,Lawrence,42.5,9.8
927,KY,Lee ,Lee,36.3,8.3
928,KY,Leslie ,Leslie,41.9,8.7
929,KY,Letcher ,Letcher,37.0,12.1
930,KY,Lewis ,Lewis,42.8,9.1
931,KY,Lincoln ,Lincoln,42.7,13.0
932,KY,Livingston ,Livingston,43.6,11.8
933,KY,Logan ,Logan,44.5,16.4
934,KY,Lyon ,Lyon,41.1,16.9
935,KY,McCracken ,McCracken,31.4,24.2
936,KY,McCreary ,McCreary,40.9,7.2
937,KY,McLean ,McLean,41.2,13.5
938,KY,Madison ,Madison,28.1,30.8
939,KY,Magoffin ,Magoffin,36.4,9.5
940,KY,Marion ,Marion,45.3,12.6
941,KY,Marshall ,Marshall,38.2,19.2
942,KY,Martin ,Martin,39.0,11.7
943,KY,Mason ,Mason,34.7,19.5
944,KY,Meade ,Meade,35.5,19.4
945,KY,Menifee ,Menifee,44.7,11.2
946,KY,Mercer ,Mercer,36.8,18.5
947,KY,Metcalfe ,Metcalfe,38.6,13.0
948,KY,Monroe ,Monroe,39.3,14.4
949,KY,Montgomery ,Montgomery,40.3,15.7
950,KY,Morgan ,Morgan,41.4,12.5
951,KY,Muhlenberg ,Muhlenberg,44.8,12.6
952,KY,Nelson ,Nelson,37.2,18.0
953,KY,Nicholas ,Nicholas,42.1,8.9
954,KY,Ohio ,Ohio,43.0,13.6
955,KY,Oldham ,Oldham,20.7,42.4
956,KY,Owen ,Owen,46.4,10.9
957,KY,Owsley ,Owsley,36.8,16.2
958,KY,Pendleton ,Pendleton,43.8,13.2
959,KY,Perry ,Perry,33.0,14.4
960,KY,Pike ,Pike,39.4,13.0
961,KY,Powell ,Powell,40.0,15.9
962,KY,Pulaski ,Pulaski,35.7,16.5
963,KY,Robertson ,Robertson,38.3,16.3
964,KY,Rockcastle ,Rockcastle,43.4,11.4
965,KY,Rowan ,Rowan,33.4,25.1
966,KY,Russell ,Russell,38.0,14.7
967,KY,Scott ,Scott,30.3,28.4
968,KY,Shelby ,Shelby,30.3,24.9
969,KY,Simpson ,Simpson,44.9,14.2
970,KY,Spencer ,Spencer,36.3,20.3
971,KY,Taylor ,Taylor,39.2,19.6
972,KY,Todd ,Todd,40.5,13.2
973,KY,Trigg ,Trigg,33.2,16.6
974,KY,Trimble ,Trimble,46.3,14.1
975,KY,Union ,Union,47.8,11.1
976,KY,Warren ,Warren,26.6,32.2
977,KY,Washington ,Washington,42.4,18.8
978,KY,Wayne ,Wayne,38.7,12.3
979,KY,Webster ,Webster,47.0,10.0
980,KY,Whitley ,Whitley,36.9,20.4
981,KY,Wolfe ,Wolfe,37.4,8.7
982,KY,Woodford ,Woodford,29.8,33.8
983,LA,Lousiana,Lousiana,34.0,24.1
984,LA,Acadia Parish,Acadia,41.3,13.3
985,LA,Allen Parish,Allen,44.3,11.3
986,LA,Ascension Parish,Ascension,32.3,26.4
987,LA,Assumption Parish,Assumption,45.1,9.6
988,LA,Avoyelles Parish,Avoyelles,37.8,12.3
989,LA,Beauregard Parish,Beauregard,38.1,17.8
990,LA,Bienville Parish,Bienville,44.5,12.8
991,LA,Bossier Parish,Bossier,29.7,25.2
992,LA,Caddo Parish,Caddo,33.7,23.5
993,LA,Calcasieu Parish,Calcasieu,34.1,22.3
994,LA,Caldwell Parish,Caldwell,42.5,13.8
995,LA,Cameron Parish,Cameron,40.3,12.7
996,LA,Catahoula Parish,Catahoula,39.4,13.8
997,LA,Claiborne Parish,Claiborne,43.5,12.8
998,LA,Concordia Parish,Concordia,40.8,14.1
999,LA,De Soto Parish,De,42.6,14.8
1000,LA,East Baton Rouge Parish,East,27.3,34.9
1001,LA,East Carroll Parish,East,40.5,8.9
1002,LA,East Feliciana Parish,East,43.5,12.7
1003,LA,Evangeline Parish,Evangeline,41.5,11.6
1004,LA,Franklin Parish,Franklin,42.1,12.0
1005,LA,Grant Parish,Grant,46.8,8.5
1006,LA,Iberia Parish,Iberia,43.7,13.6
1007,LA,Iberville Parish,Iberville,41.3,13.9
1008,LA,Jackson Parish,Jackson,42.6,14.0
1009,LA,Jefferson Parish,Jefferson,30.8,26.8
1010,LA,Jefferson Davis Parish,Jefferson,40.4,16.9
1011,LA,Lafayette Parish,Lafayette,30.4,33.0
1012,LA,Lafourche Parish,Lafourche,40.5,16.9
1013,LA,La Salle Parish,La,42.5,13.6
1014,LA,Lincoln Parish,Lincoln,26.8,35.6
1015,LA,Livingston Parish,Livingston,38.1,19.7
1016,LA,Madison Parish,Madison,36.9,12.8
1017,LA,Morehouse Parish,Morehouse,42.9,13.0
1018,LA,Natchitoches Parish,Natchitoches,35.1,19.0
1019,LA,Orleans Parish,Orleans,22.8,37.6
1020,LA,Ouachita Parish,Ouachita,34.1,24.2
1021,LA,Plaquemines Parish,Plaquemines,35.5,19.1
1022,LA,Pointe Coupee Parish,Pointe,39.3,14.9
1023,LA,Rapides Parish,Rapides,36.7,20.9
1024,LA,Red River Parish,Red,43.2,13.9
1025,LA,Richland Parish,Richland,40.9,13.2
1026,LA,Sabine Parish,Sabine,46.6,13.3
1027,LA,St. Bernard Parish,St.,32.6,11.6
1028,LA,St. Charles Parish,St.,34.5,25.3
1029,LA,St. Helena Parish,St.,38.5,16.7
1030,LA,St. James Parish,St.,41.1,16.3
1031,LA,St. John the Baptist Parish,St.,38.8,15.9
1032,LA,St. Landry Parish,St.,41.2,14.8
1033,LA,St. Martin Parish,St.,43.0,14.5
1034,LA,St. Mary Parish,St.,51.0,10.2
1035,LA,St. Tammany Parish,St.,26.6,33.8
1036,LA,Tangipahoa Parish,Tangipahoa,37.2,20.0
1037,LA,Tensas Parish,Tensas,46.1,11.4
1038,LA,Terrebonne Parish,Terrebonne,38.9,15.6
1039,LA,Union Parish,Union,44.8,17.2
1040,LA,Vermilion Parish,Vermilion,41.3,14.2
1041,LA,Vernon Parish,Vernon,40.2,17.5
1042,LA,Washington Parish,Washington,44.7,11.6
1043,LA,Webster Parish,Webster,42.0,15.4
1044,LA,West Baton Rouge Parish,West,37.2,22.0
1045,LA,West Carroll Parish,West,45.7,11.7
1046,LA,West Feliciana Parish,West,31.8,24.2
1047,LA,Winn Parish,Winn,45.8,13.9
1048,ME,Maine,Maine,31.5,31.8
1049,ME,Androscoggin ,Androscoggin,35.5,22.8
1050,ME,Aroostook ,Aroostook,37.3,19.2
1051,ME,Cumberland ,Cumberland,22.2,47.6
1052,ME,Franklin ,Franklin,38.0,24.8
1053,ME,Hancock ,Hancock,30.8,34.1
1054,ME,Kennebec ,Kennebec,32.7,28.1
1055,ME,Knox ,Knox,32.9,33.5
1056,ME,Lincoln ,Lincoln,34.4,33.5
1057,ME,Oxford ,Oxford,42.0,19.2
1058,ME,Penobscot ,Penobscot,33.6,27.7
1059,ME,Piscataquis ,Piscataquis,40.7,18.4
1060,ME,Sagadahoc ,Sagadahoc,30.0,36.4
1061,ME,Somerset ,Somerset,40.4,16.5
1062,ME,Waldo ,Waldo,32.2,31.4
1063,ME,Washington ,Washington,38.0,22.0
1064,ME,York ,York,30.0,32.5
1065,MD,Maryland,Maryland,24.6,40.2
1066,MD,Allegany ,Allegany,41.8,18.9
1067,MD,Anne Arundel ,Anne,23.7,41.7
1068,MD,Baltimore ,Baltimore,25.8,39.4
1069,MD,Calvert ,Calvert,30.3,32.4
1070,MD,Caroline ,Caroline,39.9,18.4
1071,MD,Carroll ,Carroll,29.4,36.4
1072,MD,Cecil ,Cecil,36.1,23.9
1073,MD,Charles ,Charles,31.7,28.9
1074,MD,Dorchester ,Dorchester,38.5,21.2
1075,MD,Frederick ,Frederick,24.1,41.4
1076,MD,Garrett ,Garrett,43.3,20.9
1077,MD,Harford ,Harford,26.0,36.7
1078,MD,Howard ,Howard,13.5,62.6
1079,MD,Kent ,Kent,29.8,35.1
1080,MD,Montgomery ,Montgomery,13.4,58.9
1081,MD,Prince George's ,Prince,25.8,33.1
1082,MD,Queen Anne's ,Queen,28.9,36.5
1083,MD,St. Mary's ,St.,30.3,31.9
1084,MD,Somerset ,Somerset,39.7,14.4
1085,MD,Talbot ,Talbot,24.5,40.6
1086,MD,Washington ,Washington,36.5,21.9
1087,MD,Wicomico ,Wicomico,32.3,27.2
1088,MD,Worcester ,Worcester,31.8,29.0
1089,MD,Baltimore city,Baltimore,29.1,31.9
1090,MA,Massachusetts,Massachusetts,24.0,43.7
1091,MA,Barnstable ,Barnstable,23.7,43.4
1092,MA,Berkshire ,Berkshire,29.4,33.6
1093,MA,Bristol ,Bristol,29.9,28.7
1094,MA,Dukes ,Dukes,23.6,44.9
1095,MA,Essex ,Essex,25.1,39.9
1096,MA,Franklin ,Franklin,28.5,37.3
1097,MA,Hampden ,Hampden,30.7,27.1
1098,MA,Hampshire ,Hampshire,22.6,48.3
1099,MA,Middlesex ,Middlesex,19.0,56.3
1100,MA,Nantucket ,Nantucket,19.8,52.8
1101,MA,Norfolk ,Norfolk,19.2,53.6
1102,MA,Plymouth ,Plymouth,27.8,37.6
1103,MA,Suffolk ,Suffolk,22.1,46.1
