,State,Area name,First Word of Each County,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
125,Colorado,Garfield ,Garfield,27.0,31.0
126,Colorado,Gilpin ,Gilpin,21.4,39.6
127,Colorado,Grand ,Grand,26.8,38.0
128,Colorado,Gunnison ,Gunnison,15.9,56.2
129,Colorado,Hinsdale ,Hinsdale,22.8,45.7
130,Colorado,Huerfano ,Huerfano,29.6,21.1
131,Colorado,Jackson ,Jackson,28.1,20.0
132,Colorado,Jefferson ,Jefferson,20.3,45.2
133,Colorado,Kiowa ,Kiowa,35.6,21.4
134,Colorado,Kit Carson ,Kit,37.6,18.7
135,Colorado,Lake ,Lake,25.8,32.3
136,Colorado,La Plata ,La,20.0,44.2
137,Colorado,Larimer ,Larimer,19.0,47.3
138,Colorado,Las Animas ,Las,29.5,19.5
139,Colorado,Lincoln ,Lincoln,54.5,12.6
140,Colorado,Logan ,Logan,33.7,20.2
141,Colorado,Mesa ,Mesa,27.6,28.2
142,Colorado,Mineral ,Mineral,15.8,46.5
143,Colorado,Moffat ,Moffat,38.8,17.6
144,Colorado,Montezuma ,Montezuma,29.3,29.6
145,Colorado,Montrose ,Montrose,31.4,25.2
146,Colorado,Morgan ,Morgan,31.3,17.5
147,Colorado,Otero ,Otero,31.9,18.6
148,Colorado,Ouray ,Ouray,15.9,47.8
149,Colorado,Park ,Park,30.9,29.8
150,Colorado,Phillips ,Phillips,33.1,23.8
151,Colorado,Pitkin ,Pitkin,17.0,60.8
152,Colorado,Prowers ,Prowers,26.1,18.3
153,Colorado,Pueblo ,Pueblo,29.1,21.8
154,Colorado,Rio Blanco ,Rio,31.5,22.7
155,Colorado,Rio Grande ,Rio,32.1,24.5
156,Colorado,Routt ,Routt,20.2,49.8
157,Colorado,Saguache ,Saguache,30.5,22.1
158,Colorado,San Juan ,San,25.8,35.7
159,Colorado,San Miguel ,San,15.3,59.4
160,Colorado,Sedgwick ,Sedgwick,29.1,19.5
161,Colorado,Summit ,Summit,18.0,52.4
162,Colorado,Teller ,Teller,23.2,37.7
163,Colorado,Washington ,Washington,34.5,15.4
164,Colorado,Weld ,Weld,27.3,27.5
165,Colorado,Yuma ,Yuma,34.4,21.8
166,Connecticut,Connecticut,Connecticut,26.9,39.3
167,Connecticut,Fairfield ,Fairfield,21.5,47.9
168,Connecticut,Hartford ,Hartford,26.6,38.1
169,Connecticut,Litchfield ,Litchfield,29.9,35.4
170,Connecticut,Middlesex ,Middlesex,25.8,42.2
171,Connecticut,New Haven ,New,30.7,35.0
172,Connecticut,New London ,New,29.5,33.3
173,Connecticut,Tolland ,Tolland,27.0,41.8
174,Connecticut,Windham ,Windham,33.2,24.3
175,Delaware,Delaware,Delaware,31.3,32.0
176,Delaware,Kent ,Kent,32.9,23.7
177,Delaware,New Castle ,New,30.8,36.2
178,Delaware,Sussex ,Sussex,31.2,28.3
179,DC,District of Columbia,District,16.8,58.5
180,DC,District of Columbia,District,16.8,58.5
181,Florida,Florida,Florida,28.6,29.9
182,Florida,Alachua ,Alachua,21.2,43.3
183,Florida,Baker ,Baker,42.6,13.2
184,Florida,Bay ,Bay,31.0,23.7
185,Florida,Bradford ,Bradford,40.4,9.9
186,Florida,Brevard ,Brevard,28.3,30.2
187,Florida,Broward ,Broward,27.3,32.4
188,Florida,Calhoun ,Calhoun,41.6,9.5
189,Florida,Charlotte ,Charlotte,34.6,23.4
190,Florida,Citrus ,Citrus,37.2,18.3
191,Florida,Clay ,Clay,31.0,24.9
192,Florida,Collier ,Collier,25.8,36.4
193,Florida,Columbia ,Columbia,36.7,14.9
194,Florida,DeSoto ,DeSoto,43.8,11.5
195,Florida,Dixie ,Dixie,43.3,10.4
196,Florida,Duval ,Duval,27.8,30.0
197,Florida,Escambia ,Escambia,27.2,26.5
198,Florida,Flagler ,Flagler,34.3,25.1
199,Florida,Franklin ,Franklin,34.6,18.8
200,Florida,Gadsden ,Gadsden,36.2,16.2
201,Florida,Gilchrist ,Gilchrist,42.1,13.4
202,Florida,Glades ,Glades,38.2,11.2
203,Florida,Gulf ,Gulf,35.8,19.2
204,Florida,Hamilton ,Hamilton,45.4,7.9
205,Florida,Hardee ,Hardee,49.1,10.2
206,Florida,Hendry ,Hendry,33.7,8.3
207,Florida,Hernando ,Hernando,35.2,18.4
208,Florida,Highlands ,Highlands,38.8,17.2
209,Florida,Hillsborough ,Hillsborough,27.1,33.5
210,Florida,Holmes ,Holmes,40.7,10.7
211,Florida,Indian River ,Indian,30.4,29.1
212,Florida,Jackson ,Jackson,38.4,12.6
213,Florida,Jefferson ,Jefferson,34.7,22.3
214,Florida,Lafayette ,Lafayette,38.9,11.8
215,Florida,Lake ,Lake,32.1,24.0
216,Florida,Lee ,Lee,31.0,28.2
217,Florida,Leon ,Leon,19.0,46.2
218,Florida,Levy ,Levy,41.1,12.2
219,Florida,Liberty ,Liberty,45.8,14.4
220,Florida,Madison ,Madison,39.7,14.0
221,Florida,Manatee ,Manatee,30.1,29.8
222,Florida,Marion ,Marion,36.9,20.1
223,Florida,Martin ,Martin,24.9,34.1
224,Florida,Miami-Dade ,Miami-Dade,27.3,29.8
225,Florida,Monroe ,Monroe,26.7,34.4
226,Florida,Nassau ,Nassau,31.7,29.6
227,Florida,Okaloosa ,Okaloosa,24.7,31.1
228,Florida,Okeechobee ,Okeechobee,39.5,11.3
229,Florida,Orange ,Orange,24.4,34.6
230,Florida,Osceola ,Osceola,31.3,21.8
231,Florida,Palm Beach ,Palm,24.0,36.7
232,Florida,Pasco ,Pasco,33.2,24.0
233,Florida,Pinellas ,Pinellas,28.0,31.7
234,Florida,Polk ,Polk,34.7,20.2
235,Florida,Putnam ,Putnam,41.2,12.3
236,Florida,St. Johns ,St.,21.4,44.7
237,Florida,St. Lucie ,St.,33.2,21.6
238,Florida,Santa Rosa ,Santa,26.8,27.7
239,Florida,Sarasota ,Sarasota,28.9,35.4
240,Florida,Seminole ,Seminole,21.1,39.6
241,Florida,Sumter ,Sumter,30.4,31.8
242,Florida,Suwannee ,Suwannee,38.9,15.5
243,Florida,Taylor ,Taylor,43.8,8.3
244,Florida,Union ,Union,37.4,9.2
245,Florida,Volusia ,Volusia,31.8,23.7
246,Florida,Wakulla ,Wakulla,36.2,18.3
247,Florida,Walton ,Walton,28.5,28.5
248,Florida,Washington ,Washington,40.1,12.5
249,Georgia,Georgia,Georgia,27.7,31.3
250,Georgia,Appling ,Appling,38.7,9.8
251,Georgia,Atkinson ,Atkinson,34.7,12.2
252,Georgia,Bacon ,Bacon,42.4,10.5
