State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Total Votes 2020,Votes 2020 Donald Trump,Votes 2020  Joe Biden,Income,Professional,Service,Office,Construction,Production,WorkAtHome,Mean Commute (minutes),Batteries,CoalIntegratedGasificationCombinedCycle,ConventionalHydroelectric,ConventionalSteamCoal,Flywheels,Geothermal,HydroelectricPumpedStorage,LandfillGas,MunicipalSolidWaste,NaturalGasFiredCombinedCycle,NaturalGasFiredCombustionTurbine,NaturalGasInternalCombustionEngine,NaturalGasSteamTurbine,NaturalGaswithCompressedAirStorage,Nuclear,OffshoreWindTurbine,OnshoreWindTurbine,OtherGases,OtherNaturalGas,OtherWasteBiomass,PetroleumCoke,PetroleumLiquids,SolarPhotovoltaic,SolarThermalwithEnergyStorage,SolarThermalwithoutEnergyStorage,Wood/WoodWasteBiomass,Percent of people in poverty 2019
Arizona,Navajo,ArizonaNavajo,136,54,43,30.3,15.3,4.560169754,3.612465964,4.73665939,4.73377487,36.4,5.03624952,4.714052997,4.44180507,4.36890023,38798,29.3,24.7,22.8,11.7,11.5,6.6,21.6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,25.2
Arizona,Pima,ArizonaPima,277,77,53,22.2,32.4,5.660564781,4.583289479,5.700599024,5.71419811,38.3,6.008481789,5.708528823,5.307341975,5.478195528,48676,36.4,21.5,24.9,8.7,8.5,4.8,24.5,2,0,0,0,0,0,0,0,0,2,7,10,2,0,0,0,0,0,0,0,0,0,25,0,0,0,14
Arizona,Pinal,ArizonaPinal,1124,119,72,29.3,19.5,5.247172642,4.158362492,5.340539292,5.302488943,38.9,5.622960699,5.268105045,5.029245756,4.875599455,52628,29.4,22.8,25.5,10.5,11.8,5.5,31,1,0,0,0,0,0,0,0,0,3,25,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,12.1
Arizona,Yavapai,ArizonaYavapai,119,61,45,25.8,25.9,4.995538674,3.903469829,5.040582563,5.060131,52.9,5.351496757,5.156006702,4.961549228,4.695499188,48259,31.9,22.7,24.5,11.1,9.8,7.3,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12
Arizona,Yuma,ArizonaYuma,321,69,44,25.7,15,4.910143961,4.225567713,5.029274176,5.00370174,34.3,5.317706148,4.8352275,4.553470372,4.499164515,43253,24.9,23,22.8,17.4,12,3,19.6,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,2,13,0,0,0,20.4
Arkansas,Arkansas,ArkansasArkansas,82,50,27,34,23,6.104604546,4.913559557,3.94116346,3.972711841,41.4,4.258254054,3.798236176,3.633569443,3.258397804,38532,27.7,15.5,23.6,8.5,24.7,3.1,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15.8
Arkansas,Arkansas,ArkansasArkansas,82,50,27,34,23,3.956360554,2.5774918,3.94116346,3.972711841,41.4,4.258254054,3.798236176,3.633569443,3.258397804,38532,27.7,15.5,23.6,8.5,24.7,3.1,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15.8
Arkansas,Ashley,ArkansasAshley,89,49,28,43.7,12.3,3.814114356,2.824776462,4.000564216,4.022180839,41.7,4.312537003,3.899054068,3.744136452,3.327358934,36407,27.5,16.8,18.9,13.7,23,1.6,20.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5
Arkansas,Clark,ArkansasClark,67,40,29,30.2,26.6,3.94275192,2.739572344,4.026451546,4.070296518,34.1,4.349957099,3.922102367,3.663229635,3.533136288,37144,33.6,20.6,23.7,7.8,14.3,3.8,21.3,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0,20.6
Illinois,Clark,IllinoisClark,97,45,31,40,19.9,3.829432434,2.762678564,3.893428842,3.903740941,43,4.199645493,3.921166051,3.793441133,3.298853076,52068,25.5,17.3,21.1,11.8,24.2,4.9,22.4,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0,10.8
Indiana,Clark,IndianaClark,91,58,42,34.6,21.2,4.753782161,3.644635504,4.750963279,4.773369498,38.9,5.063340866,4.763727404,4.527062499,4.363386314,52834,31.1,16.9,25.5,7.6,18.8,3.3,24,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0,9.7
Nevada,Clark,NevadaClark,174,93,61,28.5,24.5,5.981396788,5.218832111,6.029294068,6.030111727,37.1,6.330733086,5.961123394,5.604518725,5.693498313,54882,27.2,29.2,26.1,7.9,9.6,3.6,24.5,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0,13.3
Ohio,Clark,OhioClark,108,57,40,37.9,18.7,4.762145682,3.708930536,4.81561095,4.843811867,41.1,5.130970267,4.79844346,4.582256592,4.373371817,46275,29.1,18.5,23.2,8.4,20.7,3.5,22,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0,14.6
Washington,Clark,WashingtonClark,509,58,27,24.2,30.6,5.346149474,4.315592534,5.361901519,5.371607161,38.2,5.667811448,5.435329849,5.099794551,5.145702839,67832,36.3,17,23.7,9.6,13.5,6.6,26.4,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0,9.2
Arkansas,Garland,ArkansasGarland,83,53,29,31.4,21.6,4.580377488,3.517855419,4.673776346,4.708539869,44.9,4.992535845,4.645353484,4.463370327,4.147459896,41672,31.8,20.4,25.6,11.2,11,4.8,21.9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9
Arkansas,Jackson,ArkansasJackson,77,51,26,42.5,10.1,3.735918117,2.622214023,3.930031615,3.940167714,39.9,4.236159231,3.705521613,3.554246808,3.133538908,32783,22.3,18.3,20.7,15.4,23.3,4.1,19.1,1,0,16,4,0,0,0,8,0,21,23,9,4,0,0,0,12,0,0,0,0,37,9,0,0,8,22.9
Colorado,Jackson,ColoradoJackson,84,46,8,28.1,20,2.954242509,1.602059991,2.800029359,2.822821645,50.9,3.112605002,2.941014244,2.832508913,2.238046103,45994,30.6,15.3,16.8,28.4,8.9,16.5,28.9,1,0,16,4,0,0,0,8,0,21,23,9,4,0,0,0,12,0,0,0,0,37,9,0,0,8,12.6
Mississippi,Jackson,MississippiJackson,84,55,39,31.2,21.1,4.723192881,3.745621221,4.845501126,4.857024762,38.8,5.15233116,4.657877747,4.512724409,4.081383317,50274,31.9,20.2,20.9,12.4,14.7,1.7,24.5,1,0,16,4,0,0,0,8,0,21,23,9,4,0,0,0,12,0,0,0,0,37,9,0,0,8,15.1
Missouri,Jackson,MissouriJackson,157,60,40,28.3,31.6,5.524358469,4.410642286,5.524531128,5.553153333,36.7,5.840107977,5.519072899,5.100015381,5.296733181,50652,36.5,17.6,25.6,7.6,12.7,4.5,23.4,1,0,16,4,0,0,0,8,0,21,23,9,4,0,0,0,12,0,0,0,0,37,9,0,0,8,13.7
North Carolina,Jackson,North CarolinaJackson,68,40,24,26.8,30.4,4.262118715,3.175801633,4.318856034,4.330778914,37.5,4.625888384,4.326151451,4.051654084,3.978728177,45078,33.1,27.9,21.2,9.4,8.4,4.1,20.4,1,0,16,4,0,0,0,8,0,21,23,9,4,0,0,0,12,0,0,0,0,37,9,0,0,8,19.3
South Dakota,Jackson,South DakotaJackson,90,51,39,33.5,17.8,3.062581984,1.716003344,3.20709554,3.224274014,30.6,3.516799704,3.047274867,2.868056362,2.555094449,38041,45.3,16,18.6,13.7,6.4,20.4,12.6,1,0,16,4,0,0,0,8,0,21,23,9,4,0,0,0,12,0,0,0,0,37,9,0,0,8,29.9
Arkansas,Newton,ArkansasNewton,84,45,35,35.4,20.5,3.489114369,2.209515015,3.594613509,3.592842683,49.1,3.894758994,3.60184279,3.504062883,2.850646235,38134,27.8,21.1,18.6,16.1,16.5,5.1,30.5,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1
Arkansas,Polk,ArkansasPolk,84,47,36,36.5,14.1,3.874017704,2.725094521,3.992465148,4.014310481,43.7,4.30455515,3.927780849,3.846213364,3.094121596,33870,28.4,15.7,22.4,15.4,18.1,2.5,23,1,1,23,6,0,0,0,11,0,34,25,0,0,0,0,0,1,0,0,4,1,32,15,0,0,0,20.2
Florida,Polk,FloridaPolk,87,54,37,34.7,20.2,5.459360819,4.457079148,5.515484393,5.532709801,40.3,5.825212488,5.53653193,5.289078111,5.16143389,45988,29.9,20.7,25.6,10.6,13.3,4.2,26,1,1,23,6,0,0,0,11,0,34,25,0,0,0,0,0,1,0,0,4,1,32,15,0,0,0,14
Iowa,Polk,IowaPolk,186,54,36,24.5,36.7,5.396078984,4.20074109,5.368470979,5.38143098,35.3,5.676029317,5.411604556,5.028571253,5.165095875,63530,39.1,16.6,25.7,7.8,10.9,3.7,19.4,1,1,23,6,0,0,0,11,0,34,25,0,0,0,0,0,1,0,0,4,1,32,15,0,0,0,10.1
