,State,County,First Word of Each County,Year,Max AQI,90th Percentile AQI,Median AQI
123,Connecticut,New Haven,New,2020,174,77,42
124,Connecticut,New London,New,2020,172,58,37
125,Connecticut,Tolland,Tolland,2020,93,48,39
126,Connecticut,Windham,Windham,2020,87,44,35
127,Country Of Mexico,BAJA CALIFORNIA NORTE,BAJA,2020,176,156,115
128,Country Of Mexico,SONORA,SONORA,2020,101,64,41
129,Delaware,Kent,Kent,2020,80,48,36
130,Delaware,New Castle,New,2020,105,58,40
131,Delaware,Sussex,Sussex,2020,87,51,38
132,District Of Columbia,District of Columbia,District,2020,166,53,40
133,Florida,Alachua,Alachua,2020,105,52,36
134,Florida,Baker,Baker,2020,140,49,35
135,Florida,Bay,Bay,2020,146,58,40
136,Florida,Brevard,Brevard,2020,84,52,39
137,Florida,Broward,Broward,2020,142,57,40
138,Florida,Citrus,Citrus,2020,125,54,32
139,Florida,Collier,Collier,2020,85,54,36
140,Florida,Columbia,Columbia,2020,158,56,36
141,Florida,Duval,Duval,2020,125,59,42
142,Florida,Escambia,Escambia,2020,80,58,42
143,Florida,Flagler,Flagler,2020,64,43,31
144,Florida,Hamilton,Hamilton,2020,154,52,33
145,Florida,Highlands,Highlands,2020,74,44,31
146,Florida,Hillsborough,Hillsborough,2020,112,61,43
147,Florida,Holmes,Holmes,2020,138,54,38
148,Florida,Indian River,Indian,2020,87,47,37
149,Florida,Lake,Lake,2020,87,45,32
150,Florida,Lee,Lee,2020,100,50,36
151,Florida,Leon,Leon,2020,160,58,40
152,Florida,Liberty,Liberty,2020,51,44,31
153,Florida,Manatee,Manatee,2020,97,44,33
154,Florida,Marion,Marion,2020,100,55,39
155,Florida,Martin,Martin,2020,95,52,36
156,Florida,Miami-Dade,Miami-Dade,2020,90,58,39
157,Florida,Nassau,Nassau,2020,157,34,4
158,Florida,Okaloosa,Okaloosa,2020,74,46,34
159,Florida,Orange,Orange,2020,93,51,36
160,Florida,Osceola,Osceola,2020,90,44,32
161,Florida,Palm Beach,Palm,2020,92,54,38
162,Florida,Pasco,Pasco,2020,77,46,35
163,Florida,Pinellas,Pinellas,2020,100,56,40
164,Florida,Polk,Polk,2020,87,54,37
165,Florida,Putnam,Putnam,2020,67,27,14
166,Florida,Santa Rosa,Santa,2020,84,57,40
167,Florida,Sarasota,Sarasota,2020,90,55,38
168,Florida,Seminole,Seminole,2020,84,49,36
169,Florida,St. Lucie,St.,2020,74,44,33
170,Florida,Volusia,Volusia,2020,77,50,38
171,Florida,Wakulla,Wakulla,2020,161,54,35
172,Georgia,Bibb,Bibb,2020,97,52,35
173,Georgia,Charlton,Charlton,2020,139,34,20
174,Georgia,Chatham,Chatham,2020,131,58,39
175,Georgia,Chattooga,Chattooga,2020,58,43,32
176,Georgia,Clarke,Clarke,2020,99,54,36
177,Georgia,Clayton,Clayton,2020,90,54,28
178,Georgia,Cobb,Cobb,2020,90,49,35
179,Georgia,Coffee,Coffee,2020,108,42,25
180,Georgia,Columbia,Columbia,2020,51,44,31
181,Georgia,Dawson,Dawson,2020,74,43,31
182,Georgia,DeKalb,DeKalb,2020,106,57,38
183,Georgia,Dougherty,Dougherty,2020,114,61,37
184,Georgia,Douglas,Douglas,2020,77,44,32
185,Georgia,Floyd,Floyd,2020,80,52,30
186,Georgia,Fulton,Fulton,2020,125,62,43
187,Georgia,Glynn,Glynn,2020,96,44,31
188,Georgia,Gwinnett,Gwinnett,2020,101,55,37
189,Georgia,Hall,Hall,2020,98,55,33
190,Georgia,Henry,Henry,2020,95,50,32
191,Georgia,Houston,Houston,2020,114,57,35
192,Georgia,Lowndes,Lowndes,2020,141,54,30
193,Georgia,Murray,Murray,2020,61,46,35
194,Georgia,Muscogee,Muscogee,2020,101,53,35
195,Georgia,Pike,Pike,2020,64,44,33
196,Georgia,Richmond,Richmond,2020,114,60,42
197,Georgia,Rockdale,Rockdale,2020,77,46,34
198,Georgia,Sumter,Sumter,2020,64,44,32
199,Georgia,Walker,Walker,2020,84,53,30
200,Georgia,Washington,Washington,2020,112,54,32
201,Hawaii,Hawaii,Hawaii,2020,231,30,18
202,Hawaii,Honolulu,Honolulu,2020,92,40,26
203,Hawaii,Kauai,Kauai,2020,41,25,11
204,Hawaii,Maui,Maui,2020,56,23,15
205,Idaho,Ada,Ada,2020,185,72,40
206,Idaho,Bannock,Bannock,2020,161,61,41
207,Idaho,Benewah,Benewah,2020,371,65,32
208,Idaho,Blaine,Blaine,2020,167,43,15
209,Idaho,Boise,Boise,2020,198,68,35
210,Idaho,Bonner,Bonner,2020,190,52,25
211,Idaho,Bonneville,Bonneville,2020,154,49,21
212,Idaho,Butte,Butte,2020,152,50,40
213,Idaho,Canyon,Canyon,2020,156,73,33
214,Idaho,Caribou,Caribou,2020,109,24,6
215,Idaho,Custer,Custer,2020,126,59,5
216,Idaho,Franklin,Franklin,2020,159,53,20
217,Idaho,Idaho,Idaho,2020,191,60,36
218,Idaho,Jerome,Jerome,2020,37,19,10
219,Idaho,Kootenai,Kootenai,2020,384,48,19
220,Idaho,Latah,Latah,2020,333,41,16
221,Idaho,Lemhi,Lemhi,2020,163,77,35
222,Idaho,Nez Perce,Nez,2020,363,59,21
223,Idaho,Shoshone,Shoshone,2020,346,64,30
224,Idaho,Twin Falls,Twin,2020,160,48,18
225,Idaho,Valley,Valley,2020,192,63,30
226,Illinois,Adams,Adams,2020,84,50,38
227,Illinois,Champaign,Champaign,2020,126,56,39
228,Illinois,Clark,Clark,2020,97,45,31
229,Illinois,Cook,Cook,2020,164,84,53
230,Illinois,DuPage,DuPage,2020,154,59,41
231,Illinois,Effingham,Effingham,2020,84,48,37
232,Illinois,Hamilton,Hamilton,2020,118,56,40
233,Illinois,Jersey,Jersey,2020,112,55,39
234,Illinois,Jo Daviess,Jo,2020,87,44,32
235,Illinois,Kane,Kane,2020,161,64,39
236,Illinois,La Salle,La,2020,26,3,0
237,Illinois,Lake,Lake,2020,185,74,39
238,Illinois,Macon,Macon,2020,90,56,41
239,Illinois,Macoupin,Macoupin,2020,93,45,31
240,Illinois,Madison,Madison,2020,112,70,47
241,Illinois,McHenry,McHenry,2020,147,58,40
242,Illinois,McLean,McLean,2020,136,58,41
243,Illinois,Monroe,Monroe,2020,43,7,1
244,Illinois,Peoria,Peoria,2020,115,57,40
245,Illinois,Randolph,Randolph,2020,103,54,38
246,Illinois,Rock Island,Rock,2020,102,56,38
247,Illinois,Saint Clair,Saint,2020,100,56,36
248,Illinois,Sangamon,Sangamon,2020,97,54,39
249,Illinois,Tazewell,Tazewell,2020,26,9,1
250,Illinois,Wabash,Wabash,2020,74,17,1
251,Illinois,Will,Will,2020,155,60,42
252,Illinois,Winnebago,Winnebago,2020,101,61,39
253,Indiana,Allen,Allen,2020,120,58,39
254,Indiana,Bartholomew,Bartholomew,2020,97,52,37
255,Indiana,Boone,Boone,2020,101,48,32
256,Indiana,Brown,Brown,2020,80,44,33
257,Indiana,Carroll,Carroll,2020,100,44,31
258,Indiana,Clark,Clark,2020,91,58,42
259,Indiana,Daviess,Daviess,2020,19,4,0
260,Indiana,Delaware,Delaware,2020,97,50,35
261,Indiana,Dubois,Dubois,2020,67,54,33
262,Indiana,Elkhart,Elkhart,2020,158,54,36
263,Indiana,Floyd,Floyd,2020,143,44,32
264,Indiana,Gibson,Gibson,2020,114,26,3
265,Indiana,Greene,Greene,2020,90,50,34
266,Indiana,Hamilton,Hamilton,2020,97,54,38
267,Indiana,Hendricks,Hendricks,2020,87,45,32
268,Indiana,Henry,Henry,2020,63,51,29
269,Indiana,Howard,Howard,2020,108,53,38
270,Indiana,Knox,Knox,2020,105,48,33
271,Indiana,LaPorte,LaPorte,2020,154,61,37
272,Indiana,Lake,Lake,2020,136,65,44
273,Indiana,Madison,Madison,2020,97,55,39
274,Indiana,Marion,Marion,2020,144,68,48
275,Indiana,Monroe,Monroe,2020,69,51,31
276,Indiana,Perry,Perry,2020,105,45,34
277,Indiana,Porter,Porter,2020,151,67,41
278,Indiana,Posey,Posey,2020,112,45,31
279,Indiana,Shelby,Shelby,2020,115,46,32
280,Indiana,Spencer,Spencer,2020,63,53,32
281,Indiana,St. Joseph,St.,2020,162,62,41
282,Indiana,Sullivan,Sullivan,2020,53,51,29
283,Indiana,Tippecanoe,Tippecanoe,2020,69,56,39
284,Indiana,Vanderburgh,Vanderburgh,2020,101,57,39
285,Indiana,Vigo,Vigo,2020,112,57,40
286,Indiana,Wabash,Wabash,2020,97,49,35
287,Indiana,Warrick,Warrick,2020,112,47,33
288,Indiana,Whitley,Whitley,2020,76,56,39
289,Iowa,Black Hawk,Black,2020,91,53,32
290,Iowa,Bremer,Bremer,2020,87,45,35
291,Iowa,Cerro Gordo,Cerro,2020,60,37,18
292,Iowa,Clinton,Clinton,2020,87,56,37
293,Iowa,Harrison,Harrison,2020,87,49,37
294,Iowa,Johnson,Johnson,2020,105,58,35
295,Iowa,Lee,Lee,2020,73,52,30
296,Iowa,Linn,Linn,2020,105,60,40
297,Iowa,Montgomery,Montgomery,2020,76,51,35
298,Iowa,Muscatine,Muscatine,2020,124,54,30
299,Iowa,Palo Alto,Palo,2020,87,51,36
300,Iowa,Polk,Polk,2020,186,54,36
301,Iowa,Pottawattamie,Pottawattamie,2020,77,52,31
302,Iowa,Scott,Scott,2020,155,63,44
303,Iowa,Van Buren,Van,2020,87,49,36
304,Iowa,Woodbury,Woodbury,2020,79,50,29
305,Kansas,Chase,Chase,2020,58,38,18
306,Kansas,Ford,Ford,2020,79,29,11
307,Kansas,Johnson,Johnson,2020,117,56,36
308,Kansas,Leavenworth,Leavenworth,2020,77,44,32
309,Kansas,Neosho,Neosho,2020,106,54,39
310,Kansas,Sedgwick,Sedgwick,2020,114,54,38
311,Kansas,Shawnee,Shawnee,2020,169,58,39
312,Kansas,Sherman,Sherman,2020,106,44,13
313,Kansas,Sumner,Sumner,2020,117,59,40
314,Kansas,Trego,Trego,2020,147,51,37
315,Kansas,Wyandotte,Wyandotte,2020,116,63,44
316,Kentucky,Bell,Bell,2020,71,46,33
317,Kentucky,Boone,Boone,2020,87,50,36
318,Kentucky,Boyd,Boyd,2020,88,51,36
319,Kentucky,Bullitt,Bullitt,2020,115,48,37
320,Kentucky,Campbell,Campbell,2020,93,54,39
321,Kentucky,Carter,Carter,2020,59,44,31
322,Kentucky,Christian,Christian,2020,83,51,38
323,Kentucky,Daviess,Daviess,2020,105,54,38
324,Kentucky,Edmonson,Edmonson,2020,64,45,33
325,Kentucky,Fayette,Fayette,2020,84,51,38
326,Kentucky,Greenup,Greenup,2020,61,42,28
327,Kentucky,Hancock,Hancock,2020,97,47,37
328,Kentucky,Hardin,Hardin,2020,80,51,38
329,Kentucky,Henderson,Henderson,2020,114,44,1
330,Kentucky,Jefferson,Jefferson,2020,115,61,45
331,Kentucky,Jessamine,Jessamine,2020,77,44,31
332,Kentucky,Livingston,Livingston,2020,105,47,37
333,Kentucky,McCracken,McCracken,2020,111,57,39
334,Kentucky,Morgan,Morgan,2020,64,44,33
335,Kentucky,Oldham,Oldham,2020,97,49,38
336,Kentucky,Perry,Perry,2020,99,48,34
337,Kentucky,Pike,Pike,2020,92,45,32
338,Kentucky,Pulaski,Pulaski,2020,77,48,36
339,Kentucky,Simpson,Simpson,2020,67,46,36
340,Kentucky,Trigg,Trigg,2020,84,45,34
341,Kentucky,Warren,Warren,2020,97,53,38
342,Kentucky,Washington,Washington,2020,77,46,34
343,Louisiana,Ascension,Ascension,2020,100,46,31
344,Louisiana,Bossier,Bossier,2020,105,53,36
345,Louisiana,Caddo,Caddo,2020,126,49,34
346,Louisiana,Calcasieu,Calcasieu,2020,116,61,41
347,Louisiana,East Baton Rouge,East,2020,119,55,38
348,Louisiana,Iberville,Iberville,2020,136,54,36
349,Louisiana,Jefferson,Jefferson,2020,87,54,36
350,Louisiana,Lafayette,Lafayette,2020,120,59,40
351,Louisiana,Lafourche,Lafourche,2020,115,56,39
352,Louisiana,Livingston,Livingston,2020,105,58,39
353,Louisiana,Orleans,Orleans,2020,88,47,28
354,Louisiana,Ouachita,Ouachita,2020,111,45,32
355,Louisiana,Pointe Coupee,Pointe,2020,100,45,32
356,Louisiana,Rapides,Rapides,2020,103,49,26
357,Louisiana,St. Bernard,St.,2020,91,55,40
358,Louisiana,St. Charles,St.,2020,77,37,3
359,Louisiana,St. James,St.,2020,90,44,28
360,Louisiana,St. John the Baptist,St.,2020,80,45,31
361,Louisiana,St. Martin,St.,2020,87,48,33
362,Louisiana,St. Tammany,St.,2020,90,52,36
363,Louisiana,Tangipahoa,Tangipahoa,2020,64,49,26
364,Louisiana,Terrebonne,Terrebonne,2020,74,50,27
365,Louisiana,West Baton Rouge,West,2020,101,58,38
366,Maine,Androscoggin,Androscoggin,2020,66,44,29
367,Maine,Aroostook,Aroostook,2020,189,47,33
368,Maine,Cumberland,Cumberland,2020,97,53,38
369,Maine,Hancock,Hancock,2020,105,48,35
370,Maine,Kennebec,Kennebec,2020,64,44,35
371,Maine,Knox,Knox,2020,71,45,31
372,Maine,Oxford,Oxford,2020,65,44,33
373,Maine,Penobscot,Penobscot,2020,73,44,29
374,Maine,Washington,Washington,2020,61,44,33
375,Maine,York,York,2020,87,47,39
376,Maryland,Allegany,Allegany,2020,9,3,1
377,Maryland,Anne Arundel,Anne,2020,108,49,32
378,Maryland,Baltimore,Baltimore,2020,105,57,39
379,Maryland,Baltimore (City),Baltimore,2020,97,51,34
380,Maryland,Calvert,Calvert,2020,67,44,35
381,Maryland,Carroll,Carroll,2020,84,49,39
382,Maryland,Cecil,Cecil,2020,97,49,34
383,Maryland,Charles,Charles,2020,58,44,34
384,Maryland,Dorchester,Dorchester,2020,84,47,35
385,Maryland,Frederick,Frederick,2020,90,49,40
386,Maryland,Garrett,Garrett,2020,71,46,36
387,Maryland,Harford,Harford,2020,119,55,38
388,Maryland,Howard,Howard,2020,68,44,28
389,Maryland,Kent,Kent,2020,100,46,33
390,Maryland,Montgomery,Montgomery,2020,77,45,33
391,Maryland,Prince George's,Prince,2020,105,50,37
392,Maryland,Washington,Washington,2020,81,51,37
393,Massachusetts,Barnstable,Barnstable,2020,108,45,35
394,Massachusetts,Berkshire,Berkshire,2020,94,52,36
395,Massachusetts,Bristol,Bristol,2020,119,53,39
396,Massachusetts,Dukes,Dukes,2020,126,45,37
397,Massachusetts,Essex,Essex,2020,97,50,37
398,Massachusetts,Franklin,Franklin,2020,96,55,37
399,Massachusetts,Hampden,Hampden,2020,99,55,39
400,Massachusetts,Hampshire,Hampshire,2020,84,48,35
401,Massachusetts,Middlesex,Middlesex,2020,93,48,36
402,Massachusetts,Norfolk,Norfolk,2020,71,43,32
403,Massachusetts,Plymouth,Plymouth,2020,80,51,37
404,Massachusetts,Suffolk,Suffolk,2020,84,51,37
405,Massachusetts,Worcester,Worcester,2020,90,52,38
406,Michigan,Allegan,Allegan,2020,136,54,36
407,Michigan,Bay,Bay,2020,74,39,17
408,Michigan,Benzie,Benzie,2020,164,47,36
409,Michigan,Berrien,Berrien,2020,150,61,38
410,Michigan,Cass,Cass,2020,122,61,39
411,Michigan,Clinton,Clinton,2020,93,46,34
412,Michigan,Genesee,Genesee,2020,126,52,35
413,Michigan,Huron,Huron,2020,150,48,36
414,Michigan,Ingham,Ingham,2020,151,51,34
415,Michigan,Kalamazoo,Kalamazoo,2020,115,58,38
416,Michigan,Kent,Kent,2020,153,58,36
417,Michigan,Keweenaw,Keweenaw,2020,35,23,10
418,Michigan,Lenawee,Lenawee,2020,122,57,38
