,State,County,First Word of Each County,Abbreviation,Year,Max AQI,90th Percentile AQI,Median AQI
88,California,Tuolumne,Tuolumne,CaliforniaTuolumne,2020,143,64,41
89,California,Ventura,Ventura,CaliforniaVentura,2020,174,90,47
90,California,Yolo,Yolo,CaliforniaYolo,2020,192,84,42
91,Colorado,Adams,Adams,ColoradoAdams,2020,151,72,47
92,Colorado,Alamosa,Alamosa,ColoradoAlamosa,2020,60,30,11
93,Colorado,Arapahoe,Arapahoe,ColoradoArapahoe,2020,159,76,45
94,Colorado,Archuleta,Archuleta,ColoradoArchuleta,2020,93,58,43
95,Colorado,Boulder,Boulder,ColoradoBoulder,2020,173,84,47
96,Colorado,Clear Creek,Clear,ColoradoClear,2020,143,71,47
97,Colorado,Delta,Delta,ColoradoDelta,2020,97,51,41
98,Colorado,Denver,Denver,ColoradoDenver,2020,150,80,50
99,Colorado,Douglas,Douglas,ColoradoDouglas,2020,159,80,46
100,Colorado,El Paso,El,ColoradoEl,2020,151,74,45
101,Colorado,Fremont,Fremont,ColoradoFremont,2020,27,20,11
102,Colorado,Garfield,Garfield,ColoradoGarfield,2020,122,74,46
103,Colorado,Gilpin,Gilpin,ColoradoGilpin,2020,136,67,45
104,Colorado,Gunnison,Gunnison,ColoradoGunnison,2020,108,54,44
105,Colorado,Jackson,Jackson,ColoradoJackson,2020,84,46,8
106,Colorado,Jefferson,Jefferson,ColoradoJefferson,2020,161,90,46
107,Colorado,La Plata,La,ColoradoLa,2020,101,61,44
108,Colorado,Larimer,Larimer,ColoradoLarimer,2020,157,87,48
109,Colorado,Mesa,Mesa,ColoradoMesa,2020,108,58,44
110,Colorado,Montezuma,Montezuma,ColoradoMontezuma,2020,126,58,44
111,Colorado,Pitkin,Pitkin,ColoradoPitkin,2020,68,33,12
112,Colorado,Prowers,Prowers,ColoradoProwers,2020,238,42,17
113,Colorado,Pueblo,Pueblo,ColoradoPueblo,2020,63,45,19
114,Colorado,Rio Blanco,Rio,ColoradoRio,2020,115,54,42
115,Colorado,Routt,Routt,ColoradoRoutt,2020,68,29,14
116,Colorado,SanJuan,SanJuan,ColoradoSanJuan,2020,69,26,8
117,Colorado,SanMiguel,SanMiguel,ColoradoSanMiguel,2020,54,26,12
118,Colorado,Weld,Weld,ColoradoWeld,2020,140,82,48
119,Connecticut,Fairfield,Fairfield,ConnecticutFairfield,2020,161,80,44
120,Connecticut,Hartford,Hartford,ConnecticutHartford,2020,98,55,39
121,Connecticut,Litchfield,Litchfield,ConnecticutLitchfield,2020,84,50,38
122,Connecticut,Middlesex,Middlesex,ConnecticutMiddlesex,2020,129,54,39
123,Connecticut,New Haven,New,ConnecticutNew,2020,174,77,42
124,Connecticut,New London,New,ConnecticutNew,2020,172,58,37
125,Connecticut,Tolland,Tolland,ConnecticutTolland,2020,93,48,39
126,Connecticut,Windham,Windham,ConnecticutWindham,2020,87,44,35
127,Country Of Mexico,BAJA CALIFORNIA NORTE,BAJA,Country Of MexicoBAJA,2020,176,156,115
128,Country Of Mexico,SONORA,SONORA,Country Of MexicoSONORA,2020,101,64,41
129,Delaware,Kent,Kent,DelawareKent,2020,80,48,36
130,Delaware,New Castle,New,DelawareNew,2020,105,58,40
131,Delaware,Sussex,Sussex,DelawareSussex,2020,87,51,38
132,District Of Columbia,District of Columbia,District,District Of ColumbiaDistrict,2020,166,53,40
133,Florida,Alachua,Alachua,FloridaAlachua,2020,105,52,36
134,Florida,Baker,Baker,FloridaBaker,2020,140,49,35
135,Florida,Bay,Bay,FloridaBay,2020,146,58,40
136,Florida,Brevard,Brevard,FloridaBrevard,2020,84,52,39
137,Florida,Broward,Broward,FloridaBroward,2020,142,57,40
