,Unnamed: 0_x,State_x,County,Abbreviation,Year,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Unnamed: 0_y,State_y,Area_name,First Word of Each County,Abbreivation,# Employed,# Unemployed
32,34,Arkansas,Polk,ArkansasPolk,2020,84,47,36,36.5,14.1,172,Arkansas,"Polk County, AR",Polk,ArkansasPolk,7482,531
33,35,Arkansas,Pulaski,ArkansasPulaski,2020,132,59,42,26.0,34.3,175,Arkansas,"Pulaski County, AR",Pulaski,ArkansasPulaski,174884,14044
34,36,Arkansas,Union,ArkansasUnion,2020,89,52,34,35.5,21.1,185,Arkansas,"Union County, AR",Union,ArkansasUnion,14325,1297
35,37,Arkansas,Washington,ArkansasWashington,2020,150,52,39,25.7,33.3,187,Arkansas,"Washington County, AR",Washington,ArkansasWashington,120346,5795
36,38,California,Alameda,CaliforniaAlameda,2020,218,79,43,17.6,47.4,192,California,"Alameda County, CA",Alameda,CaliforniaAlameda,742411,71396
37,39,California,Amador,CaliforniaAmador,2020,156,50,37,27.5,19.3,194,California,"Amador County, CA",Amador,CaliforniaAmador,13107,1317
38,40,California,Butte,CaliforniaButte,2020,379,110,51,22.5,27.2,195,California,"Butte County, CA",Butte,CaliforniaButte,84095,8509
39,41,California,Calaveras,CaliforniaCalaveras,2020,192,77,44,28.0,18.3,196,California,"Calaveras County, CA",Calaveras,CaliforniaCalaveras,19588,1619
40,42,California,Colusa,CaliforniaColusa,2020,198,86,38,26.2,15.0,197,California,"Colusa County, CA",Colusa,CaliforniaColusa,8824,1675
41,43,California,Contra Costa,CaliforniaContra,2020,197,74,41,17.3,42.4,198,California,"Contra Costa County, CA",Contra,CaliforniaContra,493236,48020
42,44,California,Del Norte,CaliforniaDel,2020,220,55,32,31.0,14.8,199,California,"Del Norte County, CA",Del,CaliforniaDel,8466,884
43,45,California,El Dorado,CaliforniaEl,2020,190,90,43,21.3,34.3,200,California,"El Dorado County, CA",El,CaliforniaEl,83262,7490
44,46,California,Fresno,CaliforniaFresno,2020,298,153,74,22.7,21.2,201,California,"Fresno County, CA",Fresno,CaliforniaFresno,395258,50260
45,47,California,Glenn,CaliforniaGlenn,2020,197,82,43,27.2,14.2,202,California,"Glenn County, CA",Glenn,CaliforniaGlenn,11455,1113
46,48,California,Humboldt,CaliforniaHumboldt,2020,109,44,29,22.2,30.4,203,California,"Humboldt County, CA",Humboldt,CaliforniaHumboldt,54446,4965
47,49,California,Imperial,CaliforniaImperial,2020,166,97,58,24.3,15.2,204,California,"Imperial County, CA",Imperial,CaliforniaImperial,53949,15653
48,50,California,Inyo,CaliforniaInyo,2020,684,130,52,28.6,27.2,205,California,"Inyo County, CA",Inyo,CaliforniaInyo,7658,647
49,51,California,Kern,CaliforniaKern,2020,267,140,81,27.8,16.4,206,California,"Kern County, CA",Kern,CaliforniaKern,335707,48062
50,52,California,Kings,CaliforniaKings,2020,543,124,67,25.3,14.7,207,California,"Kings County, CA",Kings,CaliforniaKings,49883,6533
51,53,California,Lake,CaliforniaLake,2020,180,43,32,30.5,15.5,208,California,"Lake County, CA",Lake,CaliforniaLake,25567,2700
52,54,California,Los Angeles,CaliforniaLos,2020,235,165,83,20.6,32.5,210,California,"Los Angeles County, CA",Los,CaliforniaLos,4291688,629811
53,55,California,Madera,CaliforniaMadera,2020,250,113,61,24.9,14.6,211,California,"Madera County, CA",Madera,CaliforniaMadera,55089,6649
54,56,California,Marin,CaliforniaMarin,2020,206,57,33,10.5,59.5,212,California,"Marin County, CA",Marin,CaliforniaMarin,121476,8662
55,57,California,Mariposa,CaliforniaMariposa,2020,618,111,47,24.4,24.6,213,California,"Mariposa County, CA",Mariposa,CaliforniaMariposa,6381,781
56,58,California,Mendocino,CaliforniaMendocino,2020,456,76,34,25.0,24.4,214,California,"Mendocino County, CA",Mendocino,CaliforniaMendocino,33723,3292
57,59,California,Merced,CaliforniaMerced,2020,183,95,53,25.3,13.8,215,California,"Merced County, CA",Merced,CaliforniaMerced,100755,13981
58,60,California,Mono,CaliforniaMono,2020,1928,199,40,24.2,28.8,217,California,"Mono County, CA",Mono,CaliforniaMono,6917,929
59,61,California,Monterey,CaliforniaMonterey,2020,250,63,36,20.3,24.7,218,California,"Monterey County, CA",Monterey,CaliforniaMonterey,190389,23082
60,62,California,Napa,CaliforniaNapa,2020,199,62,36,17.8,35.7,219,California,"Napa County, CA",Napa,CaliforniaNapa,62853,6014
61,63,California,Nevada,CaliforniaNevada,2020,252,90,41,18.4,37.2,220,California,"Nevada County, CA",Nevada,CaliforniaNevada,42787,3702
62,64,California,Orange,CaliforniaOrange,2020,218,108,51,17.2,40.6,221,California,"Orange County, CA",Orange,CaliforniaOrange,1416738,136563
63,65,California,Placer,CaliforniaPlacer,2020,222,108,54,18.0,39.7,222,California,"Placer County, CA",Placer,CaliforniaPlacer,171319,13573
64,66,California,Plumas,CaliforniaPlumas,2020,469,146,49,26.1,23.7,223,California,"Plumas County, CA",Plumas,CaliforniaPlumas,6753,806
65,67,California,Riverside,CaliforniaRiverside,2020,576,159,87,26.9,22.3,224,California,"Riverside County, CA",Riverside,CaliforniaRiverside,997725,109998
66,68,California,Sacramento,CaliforniaSacramento,2020,200,100,52,22.4,30.9,225,California,"Sacramento County, CA",Sacramento,CaliforniaSacramento,641624,65558
67,79,California,Shasta,CaliforniaShasta,2020,166,64,41,25.4,22.2,236,California,"Shasta County, CA",Shasta,CaliforniaShasta,66484,6343
68,80,California,Siskiyou,CaliforniaSiskiyou,2020,359,61,36,25.5,23.2,238,California,"Siskiyou County, CA",Siskiyou,CaliforniaSiskiyou,15286,1637
69,81,California,Solano,CaliforniaSolano,2020,204,76,41,23.8,26.9,239,California,"Solano County, CA",Solano,CaliforniaSolano,183607,19205
70,82,California,Sonoma,CaliforniaSonoma,2020,187,53,33,18.7,35.5,240,California,"Sonoma County, CA",Sonoma,CaliforniaSonoma,225791,19300
71,83,California,Stanislaus,CaliforniaStanislaus,2020,189,102,55,29.3,17.1,241,California,"Stanislaus County, CA",Stanislaus,CaliforniaStanislaus,214885,25756
72,84,California,Sutter,CaliforniaSutter,2020,303,89,48,23.3,18.2,242,California,"Sutter County, CA",Sutter,CaliforniaSutter,40472,4995
73,85,California,Tehama,CaliforniaTehama,2020,196,93,43,30.1,15.7,243,California,"Tehama County, CA",Tehama,CaliforniaTehama,23317,2262
74,86,California,Trinity,CaliforniaTrinity,2020,193,79,27,34.8,19.5,244,California,"Trinity County, CA",Trinity,CaliforniaTrinity,4155,360
75,87,California,Tulare,CaliforniaTulare,2020,209,145,79,25.5,14.6,245,California,"Tulare County, CA",Tulare,CaliforniaTulare,172852,26299
76,88,California,Tuolumne,CaliforniaTuolumne,2020,143,64,41,28.3,20.5,246,California,"Tuolumne County, CA",Tuolumne,CaliforniaTuolumne,17954,2084
77,89,California,Ventura,CaliforniaVentura,2020,174,90,47,19.2,33.8,247,California,"Ventura County, CA",Ventura,CaliforniaVentura,373903,34964
78,90,California,Yolo,CaliforniaYolo,2020,192,84,42,18.1,41.4,248,California,"Yolo County, CA",Yolo,CaliforniaYolo,97111,7915
79,91,Colorado,Adams,ColoradoAdams,2020,151,72,47,28.6,24.3,251,Colorado,"Adams County, CO",Adams,ColoradoAdams,252469,22029
80,92,Colorado,Alamosa,ColoradoAlamosa,2020,60,30,11,28.5,25.0,252,Colorado,"Alamosa County, CO",Alamosa,ColoradoAlamosa,7868,535
81,93,Colorado,Arapahoe,ColoradoArapahoe,2020,159,76,45,20.8,42.8,253,Colorado,"Arapahoe County, CO",Arapahoe,ColoradoArapahoe,337943,28825
82,94,Colorado,Archuleta,ColoradoArchuleta,2020,93,58,43,21.0,37.2,254,Colorado,"Archuleta County, CO",Archuleta,ColoradoArchuleta,6585,538
83,95,Colorado,Boulder,ColoradoBoulder,2020,173,84,47,11.7,62.1,257,Colorado,"Boulder County, CO",Boulder,ColoradoBoulder,180992,11887
84,96,Colorado,Clear Creek,ColoradoClear,2020,143,71,47,21.9,48.1,261,Colorado,"Clear Creek County, CO",Clear,ColoradoClear,5628,523
85,97,Colorado,Delta,ColoradoDelta,2020,97,51,41,38.3,21.7,266,Colorado,"Delta County, CO",Delta,ColoradoDelta,13400,940
86,98,Colorado,Denver,ColoradoDenver,2020,150,80,50,16.8,49.4,267,Colorado,"Denver County/city, CO",Denver,ColoradoDenver,388924,34900
87,99,Colorado,Douglas,ColoradoDouglas,2020,159,80,46,12.0,58.0,269,Colorado,"Douglas County, CO",Douglas,ColoradoDouglas,183412,11237
88,100,Colorado,El Paso,ColoradoEl,2020,151,74,45,20.4,38.5,272,Colorado,"El Paso County, CO",El,ColoradoEl,319084,25036
89,101,Colorado,Fremont,ColoradoFremont,2020,27,20,11,39.3,18.5,273,Colorado,"Fremont County, CO",Fremont,ColoradoFremont,14203,1190
90,102,Colorado,Garfield,ColoradoGarfield,2020,122,74,46,27.0,31.0,274,Colorado,"Garfield County, CO",Garfield,ColoradoGarfield,29606,2156
91,103,Colorado,Gilpin,ColoradoGilpin,2020,136,67,45,21.4,39.6,275,Colorado,"Gilpin County, CO",Gilpin,ColoradoGilpin,3562,454
92,104,Colorado,Gunnison,ColoradoGunnison,2020,108,54,44,15.9,56.2,277,Colorado,"Gunnison County, CO",Gunnison,ColoradoGunnison,10596,751
93,105,Colorado,Jackson,ColoradoJackson,2020,84,46,8,28.1,20.0,280,Colorado,"Jackson County, CO",Jackson,ColoradoJackson,900,40
94,106,Colorado,Jefferson,ColoradoJefferson,2020,161,90,46,20.3,45.2,281,Colorado,"Jefferson County, CO",Jefferson,ColoradoJefferson,310057,23625
95,107,Colorado,La Plata,ColoradoLa,2020,101,61,44,20.0,44.2,285,Colorado,"La Plata County, CO",La,ColoradoLa,29219,2147
96,108,Colorado,Larimer,ColoradoLarimer,2020,157,87,48,19.0,47.3,286,Colorado,"Larimer County, CO",Larimer,ColoradoLarimer,190842,12841
97,109,Colorado,Mesa,ColoradoMesa,2020,108,58,44,27.6,28.2,290,Colorado,"Mesa County, CO",Mesa,ColoradoMesa,69917,5634
98,110,Colorado,Montezuma,ColoradoMontezuma,2020,126,58,44,29.3,29.6,293,Colorado,"Montezuma County, CO",Montezuma,ColoradoMontezuma,11795,908
99,111,Colorado,Pitkin,ColoradoPitkin,2020,68,33,12,17.0,60.8,300,Colorado,"Pitkin County, CO",Pitkin,ColoradoPitkin,10077,1176
100,112,Colorado,Prowers,ColoradoProwers,2020,238,42,17,26.1,18.3,301,Colorado,"Prowers County, CO",Prowers,ColoradoProwers,5937,276
101,113,Colorado,Pueblo,ColoradoPueblo,2020,63,45,19,29.1,21.8,302,Colorado,"Pueblo County, CO",Pueblo,ColoradoPueblo,71037,6318
102,114,Colorado,Rio Blanco,ColoradoRio,2020,115,54,42,31.5,22.7,303,Colorado,"Rio Blanco County, CO",Rio,ColoradoRio,2789,160
103,114,Colorado,Rio Blanco,ColoradoRio,2020,115,54,42,31.5,22.7,304,Colorado,"Rio Grande County, CO",Rio,ColoradoRio,5068,385
106,115,Colorado,Routt,ColoradoRoutt,2020,68,29,14,20.2,49.8,305,Colorado,"Routt County, CO",Routt,ColoradoRoutt,14929,1277
107,118,Colorado,Weld,ColoradoWeld,2020,140,82,48,27.3,27.5,313,Colorado,"Weld County, CO",Weld,ColoradoWeld,155042,11624
108,119,Connecticut,Fairfield,ConnecticutFairfield,2020,161,80,44,21.5,47.9,316,Connecticut,"Fairfield County, CT",Fairfield,ConnecticutFairfield,429164,37044
109,120,Connecticut,Hartford,ConnecticutHartford,2020,98,55,39,26.6,38.1,317,Connecticut,"Hartford County, CT",Hartford,ConnecticutHartford,437433,38682
110,121,Connecticut,Litchfield,ConnecticutLitchfield,2020,84,50,38,29.9,35.4,318,Connecticut,"Litchfield County, CT",Litchfield,ConnecticutLitchfield,95102,7007
111,122,Connecticut,Middlesex,ConnecticutMiddlesex,2020,129,54,39,25.8,42.2,319,Connecticut,"Middlesex County, CT",Middlesex,ConnecticutMiddlesex,86211,6010
112,123,Connecticut,New Haven,ConnecticutNew,2020,174,77,42,30.7,35.0,320,Connecticut,"New Haven County, CT",New,ConnecticutNew,420669,36502
113,123,Connecticut,New Haven,ConnecticutNew,2020,174,77,42,30.7,35.0,321,Connecticut,"New London County, CT",New,ConnecticutNew,119313,12679
120,125,Connecticut,Tolland,ConnecticutTolland,2020,93,48,39,27.0,41.8,322,Connecticut,"Tolland County, CT",Tolland,ConnecticutTolland,79362,5236
121,126,Connecticut,Windham,ConnecticutWindham,2020,87,44,35,33.2,24.3,323,Connecticut,"Windham County, CT",Windham,ConnecticutWindham,57369,4849
122,129,Delaware,Kent,DelawareKent,2020,80,48,36,32.9,23.7,325,Delaware,"Kent County, DE",Kent,DelawareKent,72843,6872
123,130,Delaware,New Castle,DelawareNew,2020,105,58,40,30.8,36.2,326,Delaware,"New Castle County, DE",New,DelawareNew,275601,23039
