County,State,Abbreviation,2019 Population _ Census
Philadelphia, Pennsylvania, PennsylvaniaPhiladelphia,1584064
Pike, Pennsylvania, PennsylvaniaPike,55809
Potter, Pennsylvania, PennsylvaniaPotter,16526
Schuylkill, Pennsylvania, PennsylvaniaSchuylkill,141359
Snyder, Pennsylvania, PennsylvaniaSnyder,40372
Somerset, Pennsylvania, PennsylvaniaSomerset,73447
Sullivan, Pennsylvania, PennsylvaniaSullivan,6066
Susquehanna, Pennsylvania, PennsylvaniaSusquehanna,40328
Tioga, Pennsylvania, PennsylvaniaTioga,40591
Union, Pennsylvania, PennsylvaniaUnion,44923
Venango, Pennsylvania, PennsylvaniaVenango,50668
Warren, Pennsylvania, PennsylvaniaWarren,39191
Washington, Pennsylvania, PennsylvaniaWashington,206865
Wayne, Pennsylvania, PennsylvaniaWayne,51361
Westmoreland, Pennsylvania, PennsylvaniaWestmoreland,348899
Wyoming, Pennsylvania, PennsylvaniaWyoming,26794
York, Pennsylvania, PennsylvaniaYork,449058
Bristol, Rhode Island, Rhode IslandBristol,48479
Kent, Rhode Island, Rhode IslandKent,164292
Newport, Rhode Island, Rhode IslandNewport,82082
Providence, Rhode Island, Rhode IslandProvidence,638931
Washington, Rhode Island, Rhode IslandWashington,125577
Abbeville, South Carolina, South CarolinaAbbeville,24527
Aiken, South Carolina, South CarolinaAiken,170872
Allendale, South Carolina, South CarolinaAllendale,8688
Anderson, South Carolina, South CarolinaAnderson,202558
Bamberg, South Carolina, South CarolinaBamberg,14066
Barnwell, South Carolina, South CarolinaBarnwell,20866
Beaufort, South Carolina, South CarolinaBeaufort,192122
Berkeley, South Carolina, South CarolinaBerkeley,227907
Calhoun, South Carolina, South CarolinaCalhoun,14553
Charleston, South Carolina, South CarolinaCharleston,411406
Cherokee, South Carolina, South CarolinaCherokee,57300
Chester, South Carolina, South CarolinaChester,32244
Chesterfield, South Carolina, South CarolinaChesterfield,45650
Clarendon, South Carolina, South CarolinaClarendon,33745
Colleton, South Carolina, South CarolinaColleton,37677
Darlington, South Carolina, South CarolinaDarlington,66618
Dillon, South Carolina, South CarolinaDillon,30479
Dorchester, South Carolina, South CarolinaDorchester,162809
Edgefield, South Carolina, South CarolinaEdgefield,27260
Fairfield, South Carolina, South CarolinaFairfield,22347
Florence, South Carolina, South CarolinaFlorence,138293
Georgetown, South Carolina, South CarolinaGeorgetown,62680
Greenville, South Carolina, South CarolinaGreenville,523542
Greenwood, South Carolina, South CarolinaGreenwood,70811
Hampton, South Carolina, South CarolinaHampton,19222
Horry, South Carolina, South CarolinaHorry,354081
Jasper, South Carolina, South CarolinaJasper,30073
Kershaw, South Carolina, South CarolinaKershaw,66551
Lancaster, South Carolina, South CarolinaLancaster,98012
Laurens, South Carolina, South CarolinaLaurens,67493
Lee, South Carolina, South CarolinaLee,16828
Lexington, South Carolina, South CarolinaLexington,298750
McCormick, South Carolina, South CarolinaMcCormick,9463
Marion, South Carolina, South CarolinaMarion,30657
Marlboro, South Carolina, South CarolinaMarlboro,26118
Newberry, South Carolina, South CarolinaNewberry,38440
Oconee, South Carolina, South CarolinaOconee,79546
Orangeburg, South Carolina, South CarolinaOrangeburg,86175
Pickens, South Carolina, South CarolinaPickens,126884
Richland, South Carolina, South CarolinaRichland,415759
Saluda, South Carolina, South CarolinaSaluda,20473
Spartanburg, South Carolina, South CarolinaSpartanburg,319785
Sumter, South Carolina, South CarolinaSumter,106721
Union, South Carolina, South CarolinaUnion,27316
Williamsburg, South Carolina, South CarolinaWilliamsburg,30368
York, South Carolina, South CarolinaYork,280979
Aurora, South Dakota, South DakotaAurora,2751
Beadle, South Dakota, South DakotaBeadle,18453
Bennett, South Dakota, South DakotaBennett,3365
Bon, South Dakota, South DakotaBon,6901
Brookings, South Dakota, South DakotaBrookings,35077
Brown, South Dakota, South DakotaBrown,38839
Brule, South Dakota, South DakotaBrule,5297
Buffalo, South Dakota, South DakotaBuffalo,1962
Butte, South Dakota, South DakotaButte,10429
Campbell, South Dakota, South DakotaCampbell,1376
Charles, South Dakota, South DakotaCharles,9292
Clark, South Dakota, South DakotaClark,3736
Clay, South Dakota, South DakotaClay,14070
Codington, South Dakota, South DakotaCodington,28009
Corson, South Dakota, South DakotaCorson,4086
Custer, South Dakota, South DakotaCuster,8972
Davison, South Dakota, South DakotaDavison,19775
Day, South Dakota, South DakotaDay,5424
Deuel, South Dakota, South DakotaDeuel,4351
Dewey, South Dakota, South DakotaDewey,5892
Douglas, South Dakota, South DakotaDouglas,2921
Edmunds, South Dakota, South DakotaEdmunds,3829
Fall, South Dakota, South DakotaFall,6713
Faulk, South Dakota, South DakotaFaulk,2299
Grant, South Dakota, South DakotaGrant,7052
Gregory, South Dakota, South DakotaGregory,4185
Haakon, South Dakota, South DakotaHaakon,1899
Hamlin, South Dakota, South DakotaHamlin,6164
Hand, South Dakota, South DakotaHand,3191
Hanson, South Dakota, South DakotaHanson,3453
Harding, South Dakota, South DakotaHarding,1298
Hughes, South Dakota, South DakotaHughes,17526
Hutchinson, South Dakota, South DakotaHutchinson,7291
Hyde, South Dakota, South DakotaHyde,1301
Jackson, South Dakota, South DakotaJackson,3344
Jerauld, South Dakota, South DakotaJerauld,2013
Jones, South Dakota, South DakotaJones,903
Kingsbury, South Dakota, South DakotaKingsbury,4939
Lake, South Dakota, South DakotaLake,12797
Lawrence, South Dakota, South DakotaLawrence,25844
Lincoln, South Dakota, South DakotaLincoln,61128
Lyman, South Dakota, South DakotaLyman,3781
McCook, South Dakota, South DakotaMcCook,5586
McPherson, South Dakota, South DakotaMcPherson,2379
Marshall, South Dakota, South DakotaMarshall,4935
Meade, South Dakota, South DakotaMeade,28332
Mellette, South Dakota, South DakotaMellette,2061
Miner, South Dakota, South DakotaMiner,2216
Minnehaha, South Dakota, South DakotaMinnehaha,193134
Moody, South Dakota, South DakotaMoody,6576
Oglala, South Dakota, South DakotaOglala,14177
Pennington, South Dakota, South DakotaPennington,113775
Perkins, South Dakota, South DakotaPerkins,2865
Potter, South Dakota, South DakotaPotter,2153
Roberts, South Dakota, South DakotaRoberts,10394
Sanborn, South Dakota, South DakotaSanborn,2344
Spink, South Dakota, South DakotaSpink,6376
Stanley, South Dakota, South DakotaStanley,3098
Sully, South Dakota, South DakotaSully,1391
Todd, South Dakota, South DakotaTodd,10177
Tripp, South Dakota, South DakotaTripp,5441
Turner, South Dakota, South DakotaTurner,8384
Union, South Dakota, South DakotaUnion,15932
Walworth, South Dakota, South DakotaWalworth,5435
Yankton, South Dakota, South DakotaYankton,22814
Ziebach, South Dakota, South DakotaZiebach,2756
Anderson, Tennessee, TennesseeAnderson,76978
Bedford, Tennessee, TennesseeBedford,49713
Benton, Tennessee, TennesseeBenton,16160
Bledsoe, Tennessee, TennesseeBledsoe,15064
Blount, Tennessee, TennesseeBlount,133088
Bradley, Tennessee, TennesseeBradley,108110
Campbell, Tennessee, TennesseeCampbell,39842
Cannon, Tennessee, TennesseeCannon,14678
Carroll, Tennessee, TennesseeCarroll,27767
Carter, Tennessee, TennesseeCarter,56391
Cheatham, Tennessee, TennesseeCheatham,40667
Chester, Tennessee, TennesseeChester,17297
Claiborne, Tennessee, TennesseeClaiborne,31959
Clay, Tennessee, TennesseeClay,7615
Cocke, Tennessee, TennesseeCocke,36004
Coffee, Tennessee, TennesseeCoffee,56520
Crockett, Tennessee, TennesseeCrockett,14230
Cumberland, Tennessee, TennesseeCumberland,60520
Davidson, Tennessee, TennesseeDavidson,694144
Decatur, Tennessee, TennesseeDecatur,11663
DeKalb, Tennessee, TennesseeDeKalb,20490
Dickson, Tennessee, TennesseeDickson,53948
Dyer, Tennessee, TennesseeDyer,37159
Fayette, Tennessee, TennesseeFayette,41133
Fentress, Tennessee, TennesseeFentress,18523
Franklin, Tennessee, TennesseeFranklin,42208
Gibson, Tennessee, TennesseeGibson,49133
Giles, Tennessee, TennesseeGiles,29464
Grainger, Tennessee, TennesseeGrainger,23320
Greene, Tennessee, TennesseeGreene,69069
Grundy, Tennessee, TennesseeGrundy,13427
Hamblen, Tennessee, TennesseeHamblen,64934
Hamilton, Tennessee, TennesseeHamilton,367804
Hancock, Tennessee, TennesseeHancock,6620
Hardeman, Tennessee, TennesseeHardeman,25050
Hardin, Tennessee, TennesseeHardin,25652
Hawkins, Tennessee, TennesseeHawkins,56786
Haywood, Tennessee, TennesseeHaywood,17304
Henderson, Tennessee, TennesseeHenderson,28117
Henry, Tennessee, TennesseeHenry,32345
Hickman, Tennessee, TennesseeHickman,25178
Houston, Tennessee, TennesseeHouston,8201
Humphreys, Tennessee, TennesseeHumphreys,18582
Jackson, Tennessee, TennesseeJackson,11786
Jefferson, Tennessee, TennesseeJefferson,54495
Johnson, Tennessee, TennesseeJohnson,17788
Knox, Tennessee, TennesseeKnox,470313
Lake, Tennessee, TennesseeLake,7016
Lauderdale, Tennessee, TennesseeLauderdale,25633
Lawrence, Tennessee, TennesseeLawrence,44142
Lewis, Tennessee, TennesseeLewis,12268
Lincoln, Tennessee, TennesseeLincoln,34366
Loudon, Tennessee, TennesseeLoudon,54068
McMinn, Tennessee, TennesseeMcMinn,53794
McNairy, Tennessee, TennesseeMcNairy,25694
Macon, Tennessee, TennesseeMacon,24602
Madison, Tennessee, TennesseeMadison,97984
Marion, Tennessee, TennesseeMarion,28907
Marshall, Tennessee, TennesseeMarshall,34375
Maury, Tennessee, TennesseeMaury,96387
Meigs, Tennessee, TennesseeMeigs,12422
Monroe, Tennessee, TennesseeMonroe,46545
Montgomery, Tennessee, TennesseeMontgomery,208993
Moore, Tennessee, TennesseeMoore,6488
Morgan, Tennessee, TennesseeMorgan,21403
Obion, Tennessee, TennesseeObion,30069
Overton, Tennessee, TennesseeOverton,22241
Perry, Tennessee, TennesseePerry,8076
Pickett, Tennessee, TennesseePickett,5048
Polk, Tennessee, TennesseePolk,16832
Putnam, Tennessee, TennesseePutnam,80245
Rhea, Tennessee, TennesseeRhea,33167
Roane, Tennessee, TennesseeRoane,53382
Robertson, Tennessee, TennesseeRobertson,71813
Rutherford, Tennessee, TennesseeRutherford,332285
Scott, Tennessee, TennesseeScott,22068
Sequatchie, Tennessee, TennesseeSequatchie,15026
Sevier, Tennessee, TennesseeSevier,98250
Shelby, Tennessee, TennesseeShelby,937166
Smith, Tennessee, TennesseeSmith,20157
Stewart, Tennessee, TennesseeStewart,13715
Sullivan, Tennessee, TennesseeSullivan,158348
Sumner, Tennessee, TennesseeSumner,191283
Tipton, Tennessee, TennesseeTipton,61599
Trousdale, Tennessee, TennesseeTrousdale,11284
Unicoi, Tennessee, TennesseeUnicoi,17883
Union, Tennessee, TennesseeUnion,19972
Van, Tennessee, TennesseeVan,5872
Warren, Tennessee, TennesseeWarren,41277
Washington, Tennessee, TennesseeWashington,129375
Wayne, Tennessee, TennesseeWayne,16673
Weakley, Tennessee, TennesseeWeakley,33328
White, Tennessee, TennesseeWhite,27345
Williamson, Tennessee, TennesseeWilliamson,238412
Wilson, Tennessee, TennesseeWilson,144657
Anderson, Texas, TexasAnderson,57735
Andrews, Texas, TexasAndrews,18705
Angelina, Texas, TexasAngelina,86715
Aransas, Texas, TexasAransas,23510
Archer, Texas, TexasArcher,8553
Armstrong, Texas, TexasArmstrong,1887
Atascosa, Texas, TexasAtascosa,51153
Austin, Texas, TexasAustin,30032
Bailey, Texas, TexasBailey,7000
Bandera, Texas, TexasBandera,23112
Bastrop, Texas, TexasBastrop,88723
Baylor, Texas, TexasBaylor,3509
Bee, Texas, TexasBee,32565
Bell, Texas, TexasBell,362924
Bexar, Texas, TexasBexar,2003554
Blanco, Texas, TexasBlanco,11931
Borden, Texas, TexasBorden,654
Bosque, Texas, TexasBosque,18685
Bowie, Texas, TexasBowie,93245
Brazoria, Texas, TexasBrazoria,374264
Brazos, Texas, TexasBrazos,229211
Brewster, Texas, TexasBrewster,9203
Briscoe, Texas, TexasBriscoe,1546
Brooks, Texas, TexasBrooks,7093
Brown, Texas, TexasBrown,37864
Burleson, Texas, TexasBurleson,18443
Burnet, Texas, TexasBurnet,48155
Caldwell, Texas, TexasCaldwell,43664
Calhoun, Texas, TexasCalhoun,21290
Callahan, Texas, TexasCallahan,13943
Cameron, Texas, TexasCameron,423163
Camp, Texas, TexasCamp,13094
Carson, Texas, TexasCarson,5926
Cass, Texas, TexasCass,30026
Castro, Texas, TexasCastro,7530
Chambers, Texas, TexasChambers,43837
Cherokee, Texas, TexasCherokee,52646
Childress, Texas, TexasChildress,7306
Clay, Texas, TexasClay,10471
Cochran, Texas, TexasCochran,2853
Coke, Texas, TexasCoke,3387
Coleman, Texas, TexasColeman,8175
Collin, Texas, TexasCollin,1034730
Collingsworth, Texas, TexasCollingsworth,2920
Colorado, Texas, TexasColorado,21493
Comal, Texas, TexasComal,156209
Comanche, Texas, TexasComanche,13635
Concho, Texas, TexasConcho,2726
Cooke, Texas, TexasCooke,41257
Coryell, Texas, TexasCoryell,75951
Cottle, Texas, TexasCottle,1398
Crane, Texas, TexasCrane,4797
Crockett, Texas, TexasCrockett,3464
Crosby, Texas, TexasCrosby,5737
Culberson, Texas, TexasCulberson,2171
Dallam, Texas, TexasDallam,7287
Dallas, Texas, TexasDallas,2635516
Dawson, Texas, TexasDawson,12728
Deaf, Texas, TexasDeaf,18546
Delta, Texas, TexasDelta,5331
Denton, Texas, TexasDenton,887207
DeWitt, Texas, TexasDeWitt,20160
Dickens, Texas, TexasDickens,2211
Dimmit, Texas, TexasDimmit,10124
Donley, Texas, TexasDonley,3278
Duval, Texas, TexasDuval,11157
Eastland, Texas, TexasEastland,18360
Ector, Texas, TexasEctor,166223
Edwards, Texas, TexasEdwards,1932
Ellis, Texas, TexasEllis,184826
El, Texas, TexasEl,839238
Erath, Texas, TexasErath,42698
Falls, Texas, TexasFalls,17297
Fannin, Texas, TexasFannin,35514
Fayette, Texas, TexasFayette,25346
Fisher, Texas, TexasFisher,3830
Floyd, Texas, TexasFloyd,5712
Foard, Texas, TexasFoard,1155
Fort, Texas, TexasFort,811688
Franklin, Texas, TexasFranklin,10725
Freestone, Texas, TexasFreestone,19717
Frio, Texas, TexasFrio,20306
Gaines, Texas, TexasGaines,21492
Galveston, Texas, TexasGalveston,342139
Garza, Texas, TexasGarza,6229
Gillespie, Texas, TexasGillespie,26988
Glasscock, Texas, TexasGlasscock,1409
Goliad, Texas, TexasGoliad,7658
Gonzales, Texas, TexasGonzales,20837
Gray, Texas, TexasGray,21886
Grayson, Texas, TexasGrayson,136212
Gregg, Texas, TexasGregg,123945
Grimes, Texas, TexasGrimes,28880
Guadalupe, Texas, TexasGuadalupe,166847
Hale, Texas, TexasHale,33406
Hall, Texas, TexasHall,2964
Hamilton, Texas, TexasHamilton,8461
Hansford, Texas, TexasHansford,5399
Hardeman, Texas, TexasHardeman,3933
Hardin, Texas, TexasHardin,57602
Harris, Texas, TexasHarris,4713325
Harrison, Texas, TexasHarrison,66553
Hartley, Texas, TexasHartley,5576
Haskell, Texas, TexasHaskell,5658
Hays, Texas, TexasHays,230191
Hemphill, Texas, TexasHemphill,3819
Henderson, Texas, TexasHenderson,82737
Hidalgo, Texas, TexasHidalgo,868707
Hill, Texas, TexasHill,36649
Hockley, Texas, TexasHockley,23021
Hood, Texas, TexasHood,61643
Hopkins, Texas, TexasHopkins,37084
Houston, Texas, TexasHouston,22968
Howard, Texas, TexasHoward,36664
Hudspeth, Texas, TexasHudspeth,4886
Hunt, Texas, TexasHunt,98594
Hutchinson, Texas, TexasHutchinson,20938
Irion, Texas, TexasIrion,1536
Jack, Texas, TexasJack,8935
Jackson, Texas, TexasJackson,14760
Jasper, Texas, TexasJasper,35529
Jeff, Texas, TexasJeff,2274
Jefferson, Texas, TexasJefferson,251565
Jim, Texas, TexasJim,5200
Jim, Texas, TexasJim,40482
Johnson, Texas, TexasJohnson,175817
Jones, Texas, TexasJones,20083
Karnes, Texas, TexasKarnes,15601
Kaufman, Texas, TexasKaufman,136154
Kendall, Texas, TexasKendall,47431
Kenedy, Texas, TexasKenedy,404
Kent, Texas, TexasKent,762
Kerr, Texas, TexasKerr,52600
Kimble, Texas, TexasKimble,4337
King, Texas, TexasKing,272
Kinney, Texas, TexasKinney,3667
Kleberg, Texas, TexasKleberg,30680
Knox, Texas, TexasKnox,3664
Lamar, Texas, TexasLamar,49859
Lamb, Texas, TexasLamb,12893
Lampasas, Texas, TexasLampasas,21428
La, Texas, TexasLa,7520
Lavaca, Texas, TexasLavaca,20154
Lee, Texas, TexasLee,17239
Leon, Texas, TexasLeon,17404
Liberty, Texas, TexasLiberty,88219
Limestone, Texas, TexasLimestone,23437
Lipscomb, Texas, TexasLipscomb,3233
Live, Texas, TexasLive,12207
Llano, Texas, TexasLlano,21795
Loving, Texas, TexasLoving,169
Lubbock, Texas, TexasLubbock,310569
Lynn, Texas, TexasLynn,5951
McCulloch, Texas, TexasMcCulloch,7984
McLennan, Texas, TexasMcLennan,256623
McMullen, Texas, TexasMcMullen,743
Madison, Texas, TexasMadison,14284
Marion, Texas, TexasMarion,9854
Martin, Texas, TexasMartin,5771
Mason, Texas, TexasMason,4274
Matagorda, Texas, TexasMatagorda,36643
Maverick, Texas, TexasMaverick,58722
Medina, Texas, TexasMedina,51584
Menard, Texas, TexasMenard,2138
Midland, Texas, TexasMidland,176832
Milam, Texas, TexasMilam,24823
Mills, Texas, TexasMills,4873
Mitchell, Texas, TexasMitchell,8545
Montague, Texas, TexasMontague,19818
Montgomery, Texas, TexasMontgomery,607391
Moore, Texas, TexasMoore,20940
Morris, Texas, TexasMorris,12388
Motley, Texas, TexasMotley,1200
Nacogdoches, Texas, TexasNacogdoches,65204
Navarro, Texas, TexasNavarro,50113
Newton, Texas, TexasNewton,13595
Nolan, Texas, TexasNolan,14714
Nueces, Texas, TexasNueces,362294
Ochiltree, Texas, TexasOchiltree,9836
Oldham, Texas, TexasOldham,2112
Orange, Texas, TexasOrange,83396
Palo, Texas, TexasPalo,29189
Panola, Texas, TexasPanola,23194
Parker, Texas, TexasParker,142878
Parmer, Texas, TexasParmer,9605
Pecos, Texas, TexasPecos,15823
Polk, Texas, TexasPolk,51353
Potter, Texas, TexasPotter,117415
Presidio, Texas, TexasPresidio,6704
Rains, Texas, TexasRains,12514
Randall, Texas, TexasRandall,137713
Reagan, Texas, TexasReagan,3849
Real, Texas, TexasReal,3452
Red, Texas, TexasRed,12023
Reeves, Texas, TexasReeves,15976
Refugio, Texas, TexasRefugio,6948
Roberts, Texas, TexasRoberts,854
Robertson, Texas, TexasRobertson,17074
Rockwall, Texas, TexasRockwall,104915
Runnels, Texas, TexasRunnels,10264
Rusk, Texas, TexasRusk,54406
Sabine, Texas, TexasSabine,10542
SanAugustine, Texas, TexasSanAugustine,8237
SanJacinto, Texas, TexasSanJacinto,28859
SanPatricio, Texas, TexasSanPatricio,66730
SanSaba, Texas, TexasSanSaba,6055
Schleicher, Texas, TexasSchleicher,2793
Scurry, Texas, TexasScurry,16703
Shackelford, Texas, TexasShackelford,3265
Shelby, Texas, TexasShelby,25274
Sherman, Texas, TexasSherman,3022
Smith, Texas, TexasSmith,232751
Somervell, Texas, TexasSomervell,9128
Starr, Texas, TexasStarr,64633
Stephens, Texas, TexasStephens,9366
Sterling, Texas, TexasSterling,1291
Stonewall, Texas, TexasStonewall,1350
Sutton, Texas, TexasSutton,3776
Swisher, Texas, TexasSwisher,7397
Tarrant, Texas, TexasTarrant,2102515
Taylor, Texas, TexasTaylor,138034
Terrell, Texas, TexasTerrell,776
Terry, Texas, TexasTerry,12337
Throckmorton, Texas, TexasThrockmorton,1501
Titus, Texas, TexasTitus,32750
Tom, Texas, TexasTom,119200
Travis, Texas, TexasTravis,1273954
Trinity, Texas, TexasTrinity,14651
Tyler, Texas, TexasTyler,21672
Upshur, Texas, TexasUpshur,41753
Upton, Texas, TexasUpton,3657
Uvalde, Texas, TexasUvalde,26741
Val, Texas, TexasVal,49025
Van, Texas, TexasVan,56590
Victoria, Texas, TexasVictoria,92084
Walker, Texas, TexasWalker,72971
Waller, Texas, TexasWaller,55246
Ward, Texas, TexasWard,11998
Washington, Texas, TexasWashington,35882
Webb, Texas, TexasWebb,276652
Wharton, Texas, TexasWharton,41556
Wheeler, Texas, TexasWheeler,5056
Wichita, Texas, TexasWichita,132230
Wilbarger, Texas, TexasWilbarger,12769
Willacy, Texas, TexasWillacy,21358
Williamson, Texas, TexasWilliamson,590551
Wilson, Texas, TexasWilson,51070
Winkler, Texas, TexasWinkler,8010
Wise, Texas, TexasWise,69984
Wood, Texas, TexasWood,45539
Yoakum, Texas, TexasYoakum,8713
Young, Texas, TexasYoung,18010
Zapata, Texas, TexasZapata,14179
Zavala, Texas, TexasZavala,11840
Beaver, Utah, UtahBeaver,6710
Box, Utah, UtahBox,56046
Cache, Utah, UtahCache,128289
Carbon, Utah, UtahCarbon,20463
Daggett, Utah, UtahDaggett,950
Davis, Utah, UtahDavis,355481
Duchesne, Utah, UtahDuchesne,19938
Emery, Utah, UtahEmery,10012
Garfield, Utah, UtahGarfield,5051
Grand, Utah, UtahGrand,9754
Iron, Utah, UtahIron,54839
Juab, Utah, UtahJuab,12017
Kane, Utah, UtahKane,7886
Millard, Utah, UtahMillard,13188
Morgan, Utah, UtahMorgan,12124
Piute, Utah, UtahPiute,1479
Rich, Utah, UtahRich,2483
Salt, Utah, UtahSalt,1160437
SanJuan, Utah, UtahSanJuan,15308
Sanpete, Utah, UtahSanpete,30939
Sevier, Utah, UtahSevier,21620
Summit, Utah, UtahSummit,42145
Tooele, Utah, UtahTooele,72259
Uintah, Utah, UtahUintah,35734
Utah, Utah, UtahUtah,636235
Wasatch, Utah, UtahWasatch,34091
Washington, Utah, UtahWashington,177556
Wayne, Utah, UtahWayne,2711
Weber, Utah, UtahWeber,260213
Addison, Vermont, VermontAddison,36777
Bennington, Vermont, VermontBennington,35470
Caledonia, Vermont, VermontCaledonia,29993
Chittenden, Vermont, VermontChittenden,163774
Essex, Vermont, VermontEssex,6163
Franklin, Vermont, VermontFranklin,49402
Grand, Vermont, VermontGrand,7235
Lamoille, Vermont, VermontLamoille,25362
Orange, Vermont, VermontOrange,28892
Orleans, Vermont, VermontOrleans,27037
Rutland, Vermont, VermontRutland,58191
Washington, Vermont, VermontWashington,58409
Windham, Vermont, VermontWindham,42222
Windsor, Vermont, VermontWindsor,55062
Accomack, Virginia, VirginiaAccomack,32316
Albemarle, Virginia, VirginiaAlbemarle,109330
Alleghany, Virginia, VirginiaAlleghany,14860
Amelia, Virginia, VirginiaAmelia,13145
Amherst, Virginia, VirginiaAmherst,31605
Appomattox, Virginia, VirginiaAppomattox,15911
Arlington, Virginia, VirginiaArlington,236842
Augusta, Virginia, VirginiaAugusta,75558
Bath, Virginia, VirginiaBath,4147
Bedford, Virginia, VirginiaBedford,78997
Bland, Virginia, VirginiaBland,6280
Botetourt, Virginia, VirginiaBotetourt,33419
Brunswick, Virginia, VirginiaBrunswick,16231
Buchanan, Virginia, VirginiaBuchanan,21004
Buckingham, Virginia, VirginiaBuckingham,17148
Campbell, Virginia, VirginiaCampbell,54885
Caroline, Virginia, VirginiaCaroline,30725
Carroll, Virginia, VirginiaCarroll,29791
Charles, Virginia, VirginiaCharles,6963
Charlotte, Virginia, VirginiaCharlotte,11880
Chesterfield, Virginia, VirginiaChesterfield,352802
Clarke, Virginia, VirginiaClarke,14619
Craig, Virginia, VirginiaCraig,5131
Culpeper, Virginia, VirginiaCulpeper,52605
Cumberland, Virginia, VirginiaCumberland,9932
Dickenson, Virginia, VirginiaDickenson,14318
Dinwiddie, Virginia, VirginiaDinwiddie,28544
Essex, Virginia, VirginiaEssex,10953
Fairfax, Virginia, VirginiaFairfax,1147532
Fauquier, Virginia, VirginiaFauquier,71222
Floyd, Virginia, VirginiaFloyd,15749
Fluvanna, Virginia, VirginiaFluvanna,27270
Franklin, Virginia, VirginiaFranklin,56042
Frederick, Virginia, VirginiaFrederick,89313
Giles, Virginia, VirginiaGiles,16720
Gloucester, Virginia, VirginiaGloucester,37348
Goochland, Virginia, VirginiaGoochland,23753
Grayson, Virginia, VirginiaGrayson,15550
Greene, Virginia, VirginiaGreene,19819
Greensville, Virginia, VirginiaGreensville,11336
Halifax, Virginia, VirginiaHalifax,33911
Hanover, Virginia, VirginiaHanover,107766
Henrico, Virginia, VirginiaHenrico,330818
Henry, Virginia, VirginiaHenry,50557
Highland, Virginia, VirginiaHighland,2190
Isle, Virginia, VirginiaIsle,37109
James, Virginia, VirginiaJames,76523
King, Virginia, VirginiaKing,7025
King, Virginia, VirginiaKing,26836
King, Virginia, VirginiaKing,17148
Lancaster, Virginia, VirginiaLancaster,10603
Lee, Virginia, VirginiaLee,23423
Loudoun, Virginia, VirginiaLoudoun,413538
Louisa, Virginia, VirginiaLouisa,37591
Lunenburg, Virginia, VirginiaLunenburg,12196
Madison, Virginia, VirginiaMadison,13261
Mathews, Virginia, VirginiaMathews,8834
Mecklenburg, Virginia, VirginiaMecklenburg,30587
Middlesex, Virginia, VirginiaMiddlesex,10582
Montgomery, Virginia, VirginiaMontgomery,98535
Nelson, Virginia, VirginiaNelson,14930
New, Virginia, VirginiaNew,23091
Northampton, Virginia, VirginiaNorthampton,11710
Northumberland, Virginia, VirginiaNorthumberland,12095
Nottoway, Virginia, VirginiaNottoway,15232
Orange, Virginia, VirginiaOrange,37051
Page, Virginia, VirginiaPage,23902
Patrick, Virginia, VirginiaPatrick,17608
Pittsylvania, Virginia, VirginiaPittsylvania,60354
Powhatan, Virginia, VirginiaPowhatan,29652
Prince, Virginia, VirginiaPrince,22802
Prince, Virginia, VirginiaPrince,38353
Prince, Virginia, VirginiaPrince,470335
Pulaski, Virginia, VirginiaPulaski,34027
Rappahannock, Virginia, VirginiaRappahannock,7370
Richmond, Virginia, VirginiaRichmond,9023
Roanoke, Virginia, VirginiaRoanoke,94186
Rockbridge, Virginia, VirginiaRockbridge,22573
Rockingham, Virginia, VirginiaRockingham,81948
Russell, Virginia, VirginiaRussell,26586
Scott, Virginia, VirginiaScott,21566
Shenandoah, Virginia, VirginiaShenandoah,43616
Smyth, Virginia, VirginiaSmyth,30104
Southampton, Virginia, VirginiaSouthampton,17631
Spotsylvania, Virginia, VirginiaSpotsylvania,136215
Stafford, Virginia, VirginiaStafford,152882
Surry, Virginia, VirginiaSurry,6422
Sussex, Virginia, VirginiaSussex,11159
Tazewell, Virginia, VirginiaTazewell,40595
Warren, Virginia, VirginiaWarren,40164
Washington, Virginia, VirginiaWashington,53740
Westmoreland, Virginia, VirginiaWestmoreland,18015
Wise, Virginia, VirginiaWise,37383
Wythe, Virginia, VirginiaWythe,28684
York, Virginia, VirginiaYork,68280
Alexandria, Virginia, VirginiaAlexandria,159428
Bristol, Virginia, VirginiaBristol,16762
Buena, Virginia, VirginiaBuena,6478
Charlottesville, Virginia, VirginiaCharlottesville,47266
Chesapeake, Virginia, VirginiaChesapeake,244835
Colonial, Virginia, VirginiaColonial,17370
Covington, Virginia, VirginiaCovington,5538
Danville, Virginia, VirginiaDanville,40044
Emporia, Virginia, VirginiaEmporia,5346
Fairfax, Virginia, VirginiaFairfax,24019
Falls, Virginia, VirginiaFalls,14617
Franklin, Virginia, VirginiaFranklin,7967
Fredericksburg, Virginia, VirginiaFredericksburg,29036
Galax, Virginia, VirginiaGalax,6347
Hampton, Virginia, VirginiaHampton,134510
Harrisonburg, Virginia, VirginiaHarrisonburg,53016
Hopewell, Virginia, VirginiaHopewell,22529
Lexington, Virginia, VirginiaLexington,7446
Lynchburg, Virginia, VirginiaLynchburg,82168
Manassas, Virginia, VirginiaManassas,41085
Manassas, Virginia, VirginiaManassas,17478
Martinsville, Virginia, VirginiaMartinsville,12554
Newport, Virginia, VirginiaNewport,179225
