,county,state,Abbreviation,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute
2654,Stark,Ohio,OhioStark,185714,108610,74336,50117,834,32.2,18.7,23.9,8.4,16.8,3.3,21.8
2655,Starke,Indiana,IndianaStarke,10309,7466,2650,45526,2743,24.3,16.9,20,12.1,26.7,3.5,30.3
2656,Starr,Texas,TexasStarr,17478,8224,9099,27133,1554,22.3,30.5,17.6,17.9,11.8,5.2,23.1
2657,Staunton,Virginia,VirginiaStaunton,12990,5695,6981,46435,3006,37.4,19.6,25.2,6.3,11.5,3.5,20
2658,Ste.,Missouri,MissouriSte.,9495,6627,2713,50959,3492,24.7,18.9,18.1,17.6,20.7,4.1,26.8
2659,Stearns,Minnesota,MinnesotaStearns,84647,50960,31883,59564,1137,32.7,17.9,24,8.8,16.6,5.8,20.4
2660,Steele,Minnesota,MinnesotaSteele,21076,12656,7917,58882,2980,32.8,14.6,23.6,9.2,19.7,4.1,18.2
2661,Steele,New Dakota,New DakotaSteele,1088,652,392,65437,4592,38.8,14.5,18.1,18.8,9.8,13.8,17.9
2662,Stephens,Georgia,GeorgiaStephens,11885,9368,2385,39756,3790,28.4,20.4,20.9,9.8,20.4,4,20.9
2663,Stephens,Oklahoma,OklahomaStephens,19057,15560,3154,44805,2077,27.4,17.3,23.6,14.5,17.3,3.2,20.4
2664,Stephens,Texas,TexasStephens,3799,3385,396,45862,3667,25.1,18.6,20.3,17.6,18.5,2.3,19.5
2665,Stephenson,Illinois,IllinoisStephenson,21446,12253,8756,46427,1906,28.8,17.7,22.5,11.7,19.2,5,20.5
2666,Sterling,Texas,TexasSterling,639,584,51,50000,13092,32.2,15.1,23.3,10.3,19,11.6,21
2667,Steuben,Indiana,IndianaSteuben,16175,11322,4509,52749,2174,25.6,15.3,23.8,8.6,26.7,3.7,22
2668,Steuben,New York,New YorkSteuben,38797,26781,11299,50157,1301,34.3,18.5,20.2,11,15.9,3.4,21.7
2669,Stevens,Kansas,KansasStevens,1997,1731,233,57500,7344,33,11.2,16.5,20.7,18.7,3.9,15.7
2670,Stevens,Minnesota,MinnesotaStevens,5062,3044,1921,57552,3456,33.9,20.7,20.4,12.4,12.6,5.8,11.6
2671,Stevens,Washington,WashingtonStevens,21523,14566,6563,47272,2627,29.3,17.6,23.4,15.1,14.7,5.6,27.8
2672,Stewart,Georgia,GeorgiaStewart,1990,801,1182,22413,3522,31.6,18,22.6,6.9,20.9,0.8,26.8
2673,Stewart,Tennessee,TennesseeStewart,6283,4942,1230,44090,5348,26.9,18.7,22.4,13.9,18.1,2.4,34.7
2674,Stillwater,Montana,MontanaStillwater,5707,4430,1155,61998,4800,31.8,15.6,19.1,19.2,14.3,8.3,24.1
2675,Stoddard,Missouri,MissouriStoddard,13410,11460,1814,40076,2013,26.5,15.7,24,12.3,21.5,2.8,22.1
2676,Stokes,North Carolina,North CarolinaStokes,25525,19997,5258,44490,2054,29.6,18.6,18.6,11.7,21.6,4.2,28.7
2677,Stone,Arkansas,ArkansasStone,5938,4616,1180,33091,4191,31.4,18.7,14.1,24.4,11.4,8.9,23.3
2678,Stone,Missouri,MissouriStone,18378,14716,3486,43292,1667,27.8,19.1,25.8,15.9,11.4,7.5,28.9
2679,Stone,Mississippi,MississippiStone,6546,5239,1208,46283,5271,22.7,20.9,19.1,18.2,19.1,1.3,32.9
2680,Stonewall,Texas,TexasStonewall,736,615,116,46786,13949,34.8,16.7,16.1,16.7,15.6,1.6,17.7
2681,Storey,Nevada,NevadaStorey,2874,1907,901,63607,7565,30.3,23.4,28.4,11.9,6,4.5,26.7
2682,Story,Iowa,IowaStory,50668,20200,28975,52671,2162,46.7,17.3,20,6.6,9.4,5,17.7
2683,Strafford,New Hampshire,New HampshireStrafford,2802,1408,1330,67805,2346,38.1,17.8,23.5,7.8,12.8,3.9,26.7
2684,Stutsman,New Dakota,New DakotaStutsman,9959,6994,2676,56088,2738,36.7,20.9,19,11.6,11.7,3.9,15
2685,Sublette,Wyoming,WyomingSublette,4970,3957,882,84911,12431,41.9,14.2,13.1,15.8,14.9,7,20.9
2686,Suffolk,Massachusetts,MassachusettsSuffolk,,,,61242,825,45.5,21.9,20.4,4.9,7.3,3.1,30.7
2687,Suffolk,New York,New YorkSuffolk,601261,333617,259463,92838,928,38.4,17.2,25.7,9.4,9.4,3.6,32
2688,Suffolk,Virginia,VirginiaSuffolk,49482,20082,28676,68089,1784,39.1,17.4,22.4,9.2,12,3.4,28.4
2689,Sullivan,Indiana,IndianaSullivan,9004,6687,2153,45031,3877,26.2,18.7,18,16.5,20.6,0.9,22.8
2690,Sullivan,Missouri,MissouriSullivan,2471,1974,478,42034,5319,28,14.2,15.6,13.5,28.8,4.9,16.2
2691,Sullivan,New Hampshire,New HampshireSullivan,412,186,216,59419,3601,35,14.7,23.6,9.1,17.6,4.8,24.1
2692,Sullivan,New York,New YorkSullivan,26931,15555,10995,53877,2786,31.1,22.7,23.8,11.4,10.9,4.7,30.6
2693,Sullivan,Pennsylvania,PennsylvaniaSullivan,3599,2622,921,45519,2789,25,17.9,18.3,21.3,17.6,7.4,31.5
2694,Sullivan,Tennessee,TennesseeSullivan,74206,55774,17226,42251,1121,33.2,17.9,26,9.3,13.6,3.5,21.4
2695,Sully,South Dakota,South DakotaSully,930,726,185,60694,4956,42.3,10.3,17.7,24,5.6,14.5,14.6
2696,Summers,West Virginia ,West Virginia Summers,5585,4074,1448,35218,2402,30.7,19.6,21.7,12.8,15.2,3.3,29.7
2697,Summit,Colorado,ColoradoSummit,18330,5275,12535,73538,3671,27.8,29.2,22.4,11.9,8.7,8.1,16.4
2698,Summit,Ohio,OhioSummit,273915,122023,148151,53291,806,37.5,17,26.1,6.2,13.2,3.5,22.8
2699,Summit,Utah,UtahSummit,25439,9928,14947,94952,4770,46.8,18.4,19.3,7.9,7.6,13.9,25
2700,Sumner,Kansas,KansasSumner,10779,7998,2551,52695,2960,31.3,16.4,20.6,13.1,18.6,5.2,23.5
2701,Sumner,Tennessee,TennesseeSumner,92529,63404,27630,61584,1513,35,15.4,27.1,8.3,14.2,5.2,27.8
2702,Sumter,Alabama,AlabamaSumter,6282,1598,4639,21663,1677,25.5,26.9,22.6,4.9,20.1,1.8,26.1
2703,Sumter,Florida,FloridaSumter,92609,62757,29331,54771,2856,30.4,21.6,28.1,9,11,10.1,25.2
2704,Sumter,Georgia,GeorgiaSumter,12150,5732,6318,34219,2587,31.2,17.8,20.6,9,21.4,3.3,20.3
2705,Sumter,South Carolina,South CarolinaSumter,48920,21000,27379,41946,1164,28.1,17.6,23.8,8.8,21.7,1.8,22.3
2706,Sunflower,Mississippi,MississippiSunflower,9628,2784,6741,28556,2587,28,20.1,23.6,9.7,18.6,1,18.8
2707,Surry,North Carolina,North CarolinaSurry,36290,27344,8635,39071,1506,30.2,16.7,21.6,13.6,17.9,3,24.5
2708,Surry,Virginia,VirginiaSurry,4462,2025,2397,54656,5518,24,15.8,20.8,17.6,21.7,4.6,39.3
2709,Susquehanna,Pennsylvania,PennsylvaniaSusquehanna,21325,14879,6084,52014,1763,27.2,17.4,21.3,14.8,19.3,5.4,28
2710,Sussex,Delaware,DelawareSussex,129352,71230,56682,57901,1291,33.3,18.7,24,11.2,12.8,5.6,25.3
2711,Sussex,New Jersey,New JerseySussex,84806,49609,33142,89238,2184,39.5,16.3,25.5,9.4,9.3,5.2,38.2
