,State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Unnamed: 0,county,state,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute
21,Arkansas,Clark,ArkansasClark,67,40,29,30.2,26.6,8765,549,10628,11757,34.1,22385,515,Clark,Arkansas,8358.0,4605.0,3413.0,37144.0,2739.0,33.6,20.6,23.7,7.8,14.3,3.8,21.3
22,Arkansas,Crittenden,ArkansasCrittenden,115,54,38,34.8,17.4,19459,1750,23271,25742,35.1,49013,664,Crittenden,Arkansas,16086.0,7244.0,8325.0,38558.0,3004.0,29.4,18.4,23.1,10.2,18.8,3.4,19.9
23,Arkansas,Garland,ArkansasGarland,83,53,29,31.4,21.6,38052,3295,47182,51114,44.9,98296,1008,Garland,Arkansas,44193.0,29065.0,14043.0,41672.0,1593.0,31.8,20.4,25.6,11.2,11.0,4.8,21.9
24,Arkansas,Jackson,ArkansasJackson,77,51,26,42.5,10.1,5444,419,8512,8713,39.9,17225,1352,Jackson,Arkansas,5076.0,3583.0,1360.0,32783.0,2974.0,22.3,18.3,20.7,15.4,23.3,4.1,19.1
25,Arkansas,Newton,ArkansasNewton,84,45,35,35.4,20.5,3084,162,3932,3916,49.1,7848,2050,Newton,Arkansas,3998.0,3192.0,709.0,38134.0,4984.0,27.8,21.1,18.6,16.1,16.5,5.1,30.5
26,Arkansas,Polk,ArkansasPolk,84,47,36,36.5,14.1,7482,531,9828,10335,43.7,20163,2271,Polk,Arkansas,8468.0,7018.0,1242.0,33870.0,2290.0,28.4,15.7,22.4,15.4,18.1,2.5,23.0
27,Arkansas,Pulaski,ArkansasPulaski,132,59,42,26.0,34.3,174884,14044,188496,204967,36.9,393463,2323,Pulaski,Arkansas,165468.0,62389.0,98855.0,48850.0,1099.0,41.2,16.7,25.4,6.8,10.0,3.4,20.3
28,Arkansas,Union,ArkansasUnion,89,52,34,35.5,21.1,14325,1297,19332,20400,40.1,39732,2823,Union,Arkansas,16548.0,10446.0,5559.0,41106.0,2148.0,33.4,13.4,25.0,11.4,16.8,1.7,19.0
29,Arkansas,Washington,ArkansasWashington,150,52,39,25.7,33.3,120346,5795,114181,114348,31.8,228529,2922,Washington,Arkansas,93467.0,47229.0,43327.0,47452.0,1026.0,37.5,16.1,22.8,9.5,14.2,3.5,21.5
30,California,Alameda,CaliforniaAlameda,218,79,43,17.6,47.4,742411,71396,807171,836529,37.4,1643700,25,Alameda,California,750128.0,131985.0,602851.0,85743.0,940.0,48.0,16.0,20.4,6.4,9.2,6.0,32.5
