State,Area,2019 Gross Domestic Product (Thousands of Chained (2012) Dollars))
Bristol,,25348582
Dukes,,1983472
Essex,,43828344
Franklin,,2890056
Hampden,,20988224
Hampshire,,7299058
Middlesex,,163489036
Nantucket,,2052716
Norfolk,,51270244
Plymouth,,25102280
Suffolk,,114696871
Worcester,,40840078
,,
Michigan,,471648116
Alcona,,224122
Alger,,226329
Allegan,,4022455
Alpena,,1026392
Antrim,,533730
Arenac,,429490
Baraga,,239962
Barry,,1501106
Bay,,3323417
Benzie,,425467
Berrien,,7043241
Branch,,1308754
Calhoun,,5848265
Cass,,1059521
Charlevoix,,1110353
Cheboygan,,603871
Chippewa,,1064432
Clare,,935235
Clinton,,2050482
Crawford,,412201
Delta,,1176574
Dickinson,,1232370
Eaton,,4876632
Emmet,,1620360
Genesee,,14994994
Gladwin,,471364
Gogebic,,447700
Grand,,4648972
Gratiot,,1315990
Hillsdale,,1421987
Houghton,,1036686
Huron,,1642311
Ingham,,15335990
Ionia,,1528792
Iosco,,828349
Iron,,309953
Isabella,,2187561
Jackson,,5684311
Kalamazoo,,12819078
Kalkaska,,505887
Kent,,38854663
Keweenaw,,48771
Lake,,213636
Lapeer,,2086670
Leelanau,,689264
Lenawee,,2707924
Livingston,,6454115
Luce,,152079
Mackinac,,419156
Macomb,,36676006
Manistee,,717935
Marquette,,2944373
Mason,,993763
Mecosta,,1132371
Menominee,,726270
Midland,,4962643
Missaukee,,492220
Monroe,,5387072
Montcalm,,1499535
Montmorency,,305444
Muskegon,,5857270
Newaygo,,1415438
Oakland,,95044159
Oceana,,669523
Ogemaw,,557933
Ontonagon,,125873
Osceola,,706600
Oscoda,,204586
Otsego,,964471
Ottawa,,13165723
Presque,,364070
Roscommon,,589237
Saginaw,,7665760
St.Clair,,4844169
St.Joseph,,1889119
Sanilac,,1315242
Schoolcraft,,292604
Shiawassee,,1573326
Tuscola,,1210428
Van,,2638934
Washtenaw,,22430838
Wayne,,91992838
Wexford,,1171921
,,
Minnesota,,341041426
Aitkin,,448562
Anoka,,13926256
Becker,,1380383
Beltrami,,1663946
Benton,,1672939
Big,,227714
Blue,,3904767
Brown,,1525918
Carlton,,1188386
Carver,,4877571
Cass,,957995
Chippewa,,648647
Chisago,,1446831
Clay,,1869286
Clearwater,,274921
Cook,,247145
Cottonwood,,710828
Crow,,2504756
Dakota,,25815161
Dodge,,681047
Douglas,,1832801
Faribault,,588959
Fillmore,,705316
Freeborn,,1260817
Goodhue,,2850139
Grant,,282218
Hennepin,,125835824
Houston,,577214
Hubbard,,652253
Isanti,,1036423
Itasca,,2081915
Jackson,,719701
Kanabec,,375374
Kandiyohi,,2266679
Kittson,,188376
Koochiching,,518855
Lac,,317095
Lake,,707586
Lake,,175830
Le,,1026787
Lincoln,,381329
Lyon,,1585216
McLeod,,1720342
Mahnomen,,158620
Marshall,,330811
Martin,,1200781
Meeker,,846198
Mille,,766045
Morrison,,1223822
Mower,,1778847
Murray,,633492
Nicollet,,1540170
Nobles,,1404059
Norman,,195722
Olmsted,,10750877
Otter,,2340334
Pennington,,1479503
Pine,,646826
Pipestone,,790096
Polk,,1221554
Pope,,544834
Ramsey,,39364182
Red,,150058
Redwood,,907097
Renville,,826851
Rice,,2603069
Rock,,802253
Roseau,,1206687
St.Louis,,10964968
Scott,,6074577
Sherburne,,3107519
Sibley,,471010
Stearns,,8149046
Steele,,2231122
Stevens,,682666
Swift,,535232
Todd,,852304
Traverse,,227202
Wabasha,,756510
Wadena,,513631
Waseca,,806165
Washington,,10371878
Watonwan,,533939
Wilkin,,276138
Winona,,2348292
Wright,,4158575
Yellow,,595988
,,
Mississippi,,102656400
Adams,,911665
Alcorn,,1111411
Amite,,238048
Attala,,431951
Benton,,230407
Bolivar,,990380
Calhoun,,259860
Carroll,,116847
Chickasaw,,509946
Choctaw,,623843
Claiborne,,687937
Clarke,,283323
Clay,,525372
Coahoma,,685522
Copiah,,572122
Covington,,594969
DeSoto,,5023485
Forrest,,3262353
Franklin,,168862
George,,402044
Greene,,148158
Grenada,,833077
Hancock,,1512690
Harrison,,7841008
Hinds,,11066328
Holmes,,272114
Humphreys,,184049
Issaquena,,27469
Itawamba,,512345
Jackson,,7502028
Jasper,,567192
Jefferson,,118147
Jefferson,,184291
Jones,,2581945
Kemper,,339381
Lafayette,,1877682
Lamar,,1477234
Lauderdale,,2984772
Lawrence,,324355
Leake,,535217
Lee,,4562016
Leflore,,1101331
Lincoln,,1094620
Lowndes,,2703896
Madison,,5564542
Marion,,811934
Marshall,,632678
Monroe,,901150
Montgomery,,187983
Neshoba,,977928
Newton,,483969
Noxubee,,233520
Oktibbeha,,1585930
Panola,,1029539
Pearl,,926435
Perry,,270885
Pike,,1061494
Pontotoc,,857098
Prentiss,,551159
Quitman,,97378
Rankin,,5856109
Scott,,1118116
Sharkey,,100091
Simpson,,547518
Smith,,426526
Stone,,320083
Sunflower,,623241
Tallahatchie,,271777
Tate,,465909
Tippah,,529468
Tishomingo,,489187
Tunica,,499243
Union,,1012815
Walthall,,272712
Warren,,2167962
Washington,,1388604
Wayne,,652728
Webster,,172228
Wilkinson,,140246
Winston,,504568
Yalobusha,,267484
Yazoo,,694994
,,
Missouri,,287659313
Adair,,765086
Andrew,,304685
Atchison,,356830
Audrain,,941826
Barry,,1417048
Barton,,341905
Bates,,412091
Benton,,386339
Bollinger,,188667
Boone,,8490334
Buchanan,,4732176
Butler,,1345165
Caldwell,,215807
Callaway,,1700717
Camden,,1392720
Cape,,3779355
Carroll,,390466
Carter,,116530
Cass,,2351339
Cedar,,255523
Chariton,,314351
Christian,,1485142
Clark,,156113
Clay,,10874943
Clinton,,364674
Cole,,4561638
Cooper,,425288
Crawford,,633102
Dade,,185151
Dallas,,253147
Daviess,,205509
DeKalb,,306599
Dent,,343108
Douglas,,210978
Dunklin,,774877
Franklin,,4190570
Gasconade,,445427
Gentry,,255835
Greene,,14915199
Grundy,,361548
Harrison,,259849
Henry,,665048
Hickory,,137917
Holt,,260778
Howard,,224926
Howell,,1176686
Iron,,436639
Jackson,,42560378
Jasper,,5262399
Jefferson,,4451284
Johnson,,1663714
Knox,,141143
Laclede,,1144863
Lafayette,,782864
Lawrence,,839042
Lewis,,227766
Lincoln,,1085666
Linn,,410056
Livingston,,559216
McDonald,,637328
Macon,,586128
Madison,,280534
Maries,,168144
Marion,,1100481
Mercer,,123803
Miller,,659978
Mississippi,,368253
Moniteau,,380527
Monroe,,203706
Montgomery,,322276
Morgan,,476222
New,,1056171
Newton,,1886589
Nodaway,,702044
Oregon,,209832
Osage,,405815
Ozark,,133899
Pemiscot,,459684
Perry,,946198
Pettis,,1594625
Phelps,,1454887
Pike,,506110
Platte,,6326768
Polk,,758232
Pulaski,,2072099
Putnam,,141364
Ralls,,400620
Randolph,,1170909
Ray,,499505
Reynolds,,243448
Ripley,,211555
St.Charles,,15105267
St.Clair,,153668
Ste.,,574344
St.Francois,,1565796
St.Louis,,72235760
Saline,,897440
Schuyler,,105908
Scotland,,155301
Scott,,1497410
Shannon,,149430
Shelby,,166087
Stoddard,,945410
Stone,,636661
Sullivan,,382520
Taney,,2208252
Texas,,539124
Vernon,,877897
Warren,,734299
Washington,,348935
Wayne,,208108
Webster,,654813
Worth,,73353
Wright,,326760
St.LouisCity,,27095648
,,
Montana,,47916340
Beaverhead,,450242
Big,,1120386
Blaine,,213355
Broadwater,,190269
Carbon,,342474
Carter,,56068
Cascade,,3635635
Chouteau,,276002
Custer,,448657
Daniels,,88666
Dawson,,392007
Deer,,258034
Fallon,,213047
Fergus,,508946
Flathead,,3779150
Gallatin,,5448923
Garfield,,42570
Glacier,,467607
Golden,,29900
Granite,,92319
Hill,,772813
Jefferson,,264319
Judith,,136722
Lake,,744908
Lewis,,3170432
Liberty,,233894
Lincoln,,497121
McCone,,99531
Madison,,454009
Meagher,,74248
Mineral,,94908
Missoula,,5042539
Musselshell,,358031
Park,,524179
Petroleum,,22870
Phillips,,133896
Pondera,,258446
Powder,,115868
Powell,,223885
Prairie,,51960
Ravalli,,1009474
Richland,,962748
Roosevelt,,425354
Rosebud,,903677
Sanders,,309200
Sheridan,,165659
Silver,,1427644
Stillwater,,698282
Sweet,,230528
Teton,,285527
Toole,,384508
Treasure,,126328
Valley,,303160
Wheatland,,105590
Wibaux,,41099
Yellowstone,,9037173
,,
Nebraska,,117395222
Adams,,1837838
Antelope,,526858
Arthur,,26511
Banner,,57248
Blaine,,42159
Boone,,448508
Box,,629478
Boyd,,145884
Brown,,262447
Buffalo,,2705563
Burt,,356159
Butler,,301858
Cass,,742129
Cedar,,410196
Chase,,351207
Cherry,,348240
Cheyenne,,528070
Clay,,324175
Colfax,,662562
Cuming,,1061995
Custer,,790653
Dakota,,1415362
Dawes,,273401
Dawson,,1512022
Deuel,,86030
Dixon,,267450
Dodge,,1864024
Douglas,,43360593
Dundy,,212942
Fillmore,,386065
Franklin,,84373
Frontier,,92701
Furnas,,235566
Gage,,921230
Garden,,90278
Garfield,,83487
Gosper,,102223
Grant,,40289
Greeley,,100206
Hall,,3295265
Hamilton,,630019
Harlan,,248504
Hayes,,79083
Hitchcock,,119515
Holt,,699543
Hooker,,41413
Howard,,250456
Jefferson,,424202
Johnson,,177686
Kearney,,375068
Keith,,394058
Keya,,47057
Kimball,,173552
Knox,,410603
Lancaster,,17196581
Lincoln,,2230091
Logan,,40504
Loup,,51684
McPherson,,31433
Madison,,2233309
Merrick,,424024
Morrill,,647043
Nance,,132587
Nemaha,,690637
Nuckolls,,270982
Otoe,,1191884
Pawnee,,112773
Perkins,,311942
Phelps,,898927
Pierce,,349152
Platte,,2369433
Polk,,298488
Red,,516301
Richardson,,385610
Rock,,106470
Saline,,860894
Sarpy,,6996704
Saunders,,730108
Scotts,,1640471
Seward,,724661
Sheridan,,275177
Sherman,,108612
Sioux,,92137
Stanton,,269759
Thayer,,391909
Thomas,,45228
Thurston,,417458
Valley,,286551
Washington,,1084442
Wayne,,414375
Webster,,292114
Wheeler,,174001
York,,765383
,,
Nevada,,153728626
Churchill,,1102051
Clark,,110102880
Douglas,,2384536
Elko,,2732832
Esmeralda,,42948
Eureka,,1433020
Humboldt,,1270518
Lander,,864197
Lincoln,,156813
Lyon,,1431130
Mineral,,210009
Nye,,1688994
Pershing,,311813
Storey,,1731617
Washoe,,24111788
White,,658795
Carson,,3351143
,,
New,,77240336
Belknap,,2636577
Carroll,,2051584
Cheshire,,3506538
Coos,,1164452
Grafton,,6193813
Hillsborough,,25687589
Merrimack,,9123881
Rockingham,,19908196
Strafford,,5481378
Sullivan,,1496081
,,
New,,556730956
Atlantic,,12593490
Bergen,,70158193
Burlington,,25725252
Camden,,23558717
Cape,,5070716
Cumberland,,6007622
Essex,,52070494
Gloucester,,14017096
Hudson,,43847173
Hunterdon,,6820939
Mercer,,31467636
Middlesex,,57745463
Monmouth,,32123913
Morris,,49285606
Ocean,,18511055
Passaic,,20744966
Salem,,4729720
Somerset,,38123619
Sussex,,4438507
Union,,35935725
Warren,,3911548
,,
New,,98765726
Bernalillo,,34271103
Catron,,82383
Chaves,,2150307
Cibola,,616921
Colfax,,469464
Curry,,2931973
De,,87570
Do–a,,6858097
Eddy,,10669709
Grant,,1119613
Guadalupe,,143684
Harding,,104726
Hidalgo,,210430
Lea,,9291716
Lincoln,,618040
Los,,2247823
Luna,,807091
McKinley,,2442637
Mora,,102207
Otero,,2570871
Quay,,296499
Rio,,1411689
Roosevelt,,707910
Sandoval,,3195392
SanJuan,,5907349
SanMiguel,,620243
Santa,,5977058
Sierra,,306064
Socorro,,490809
Taos,,927558
Torrance,,400641
Union,,252761
Valencia,,1382748
,,
New,,1490678506
Albany,,29266237
Allegany,,1399890
Bronx,,43747638
Broome,,8853738
Cattaraugus,,2836142
Cayuga,,2735905
Chautauqua,,4805586
Chemung,,3627023
Chenango,,2195088
Clinton,,3512019
Columbia,,2189577
Cortland,,1763836
Delaware,,1968259
Dutchess,,12795732
Erie,,53934431
Essex,,1513993
Franklin,,1847700
Fulton,,1856429
Genesee,,2416187
Greene,,2139990
Hamilton,,204066
Herkimer,,1787691
Jefferson,,5873301
Kings,,93907140
Lewis,,1027075
Livingston,,2097619
Madison,,2255700
Monroe,,43139246
Montgomery,,1898461
Nassau,,84577529
New,,635274518
Niagara,,9096598
Oneida,,10738937
Onondaga,,29287721
Ontario,,5565363
Orange,,16943328
Orleans,,1256696
Oswego,,6190346
Otsego,,2515452
Putnam,,3247136
Queens,,95547729
Rensselaer,,7541296
Richmond,,15117375
Rockland,,15388205
St.Lawrence,,4444915
Saratoga,,10512537
Schenectady,,8076555
Schoharie,,1062684
Schuyler,,504894
Seneca,,1496345
Steuben,,4280609
Suffolk,,82540571
Sullivan,,2807164
Tioga,,1793763
Tompkins,,5495122
Ulster,,6546138
Warren,,4042109
Washington,,1734210
Wayne,,3802074
Westchester,,72597777
Wyoming,,1675101
Yates,,868690
,,
North,,511539864
Alamance,,5623983
Alexander,,774256
Alleghany,,321905
Anson,,785530
Ashe,,707035
Avery,,582638
Beaufort,,2187460
Bertie,,630369
Bladen,,1343102
Brunswick,,4083261
Buncombe,,12799956
Burke,,2525386
Cabarrus,,6840619
Caldwell,,2374194
Camden,,131602
Carteret,,2366766
Caswell,,344408
Catawba,,8402966
Chatham,,1500826
Cherokee,,679917
Chowan,,604087
Clay,,219075
Cleveland,,4034485
Columbus,,1421895
Craven,,4650416
Cumberland,,16034887
Currituck,,640153
Dare,,2170994
Davidson,,4512771
Davie,,1251143
Duplin,,1990950
Durham,,32944829
Edgecombe,,1633606
Forsyth,,23220946
Franklin,,1745090
Gaston,,7051440
Gates,,169744
Graham,,220230
Granville,,3089433
Greene,,481319
Guilford,,31944560
Halifax,,1409282
Harnett,,2284646
Haywood,,1773953
Henderson,,3637047
Hertford,,777147
Hoke,,974271
Hyde,,157972
Iredell,,7926566
Jackson,,1377794
Johnston,,6872934
Jones,,208304
Lee,,2483237
Lenoir,,2832977
Lincoln,,2682376
McDowell,,1668075
Macon,,1357611
Madison,,397278
Martin,,640195
Mecklenburg,,98066733
Mitchell,,492695
Montgomery,,833728
Moore,,3217766
Nash,,4973995
New,,12020702
Northampton,,587318
Onslow,,8030430
Orange,,8115462
Pamlico,,261854
Pasquotank,,1361606
Pender,,1256637
Perquimans,,257121
Person,,1498681
Pitt,,8645832
Polk,,428954
Randolph,,3924280
Richmond,,1849632
Robeson,,3539649
Rockingham,,2715511
Rowan,,4971797
Rutherford,,1727558
Sampson,,1946959
Scotland,,1118746
Stanly,,1732209
Stokes,,1012554
Surry,,2317293
Swain,,586745
Transylvania,,1203051
Tyrrell,,122157
Union,,6558534
Vance,,1174030
Wake,,76027737
Warren,,283683
Washington,,244716
Watauga,,2020410
Wayne,,4535153
Wilkes,,2230037
Wilson,,4005692
Yadkin,,883086
Yancey,,393823
,,
North,,53930202
Adams,,177990
Barnes,,612311
Benson,,239211
Billings,,209871
Bottineau,,466287
Bowman,,248981
Burke,,226353
Burleigh,,5094810
Cass,,11705258
Cavalier,,448025
Dickey,,424745
Divide,,184144
Dunn,,993983
Eddy,,135512
Emmons,,173759
Foster,,239134
Golden,,84207
Grand,,3789214
Grant,,129060
Griggs,,163954
Hettinger,,91152
Kidder,,157783
LaMoure,,307461
Logan,,149943
McHenry,,266216
McIntosh,,162718
McKenzie,,3365807
McLean,,727586
Mercer,,909956
Morton,,1521085
Mountrail,,1569744
Nelson,,170490
Oliver,,237513
Pembina,,483728
Pierce,,207168
Ramsey,,581324
Ransom,,283596
Renville,,231679
Richland,,823241
Rolette,,384869
Sargent,,716601
Sheridan,,45299
Sioux,,139036
Slope,,44021
Stark,,2632907
Steele,,139811
Stutsman,,1255819
Towner,,140587
Traill,,428221
Walsh,,573679
Ward,,3688743
Wells,,294250
Williams,,5226790
,,
Ohio,,615474375
Adams,,672809
Allen,,7920377
Ashland,,1601253
Ashtabula,,2861784
Athens,,1961428
Auglaize,,2250870
Belmont,,5999449
Brown,,755944
Butler,,20153862
Carroll,,2363506
Champaign,,1052665
Clark,,4327627
Clermont,,7525264
Clinton,,2096089
Columbiana,,3048798
Coshocton,,1318252
Crawford,,1247536
Cuyahoga,,87921020
Darke,,2017773
Defiance,,1681059
Delaware,,10388012
Erie,,4728241
Fairfield,,3881595
Fayette,,2511257
Franklin,,87835114
Fulton,,1945365
Gallia,,2014001
Geauga,,3797778
Greene,,8981586
Guernsey,,3064842
Hamilton,,70337978
Hancock,,5042003
Hardin,,903793
Harrison,,2443305
Henry,,1157779
Highland,,1049283
Hocking,,593361
Holmes,,2286066
Huron,,2080175
Jackson,,953319
Jefferson,,4534029
Knox,,2014995
Lake,,10266470
Lawrence,,1692748
Licking,,5855613
Logan,,1932972
Lorain,,9390379
Lucas,,24555878
Madison,,1697996
Mahoning,,8710965
Marion,,2651009
Medina,,6802952
Meigs,,346034
Mercer,,2360166
Miami,,4051825
Monroe,,3333778
Montgomery,,26973502
Morgan,,284388
Morrow,,612078
Muskingum,,3610907
Noble,,1014267
Ottawa,,1867636
Paulding,,566905
Perry,,690892
Pickaway,,1514579
Pike,,1055613
Portage,,5589312
Preble,,1054613
Putnam,,1153826
Richland,,4370872
Ross,,2587828
Sandusky,,2720589
Scioto,,2804540
Seneca,,1799666
Shelby,,2955928
Stark,,16077936
Summit,,27497738
Trumbull,,6878360
Tuscarawas,,3485612
Union,,3943024
Van,,1223087
Vinton,,255942
Warren,,10501867
Washington,,3349033
Wayne,,5740974
Williams,,1683035
Wood,,6514796
Wyandot,,974843
,,
Oklahoma,,197900359
Adair,,424600
Alfalfa,,256908
Atoka,,289264
Beaver,,422636
Beckham,,1094988
Blaine,,448726
Bryan,,1478085
Caddo,,788060
Canadian,,3978646
Carter,,2804679
Cherokee,,1098009
Choctaw,,351859
Cimarron,,263668
Cleveland,,7137363
Coal,,153461
Comanche,,4525377
Cotton,,158666
Craig,,451144
Creek,,1838545
Custer,,1603291
Delaware,,873483
Dewey,,318272
Ellis,,272970
Garfield,,3201330
Garvin,,1336927
Grady,,1471980
Grant,,426259
Greer,,104806
Harmon,,100617
Harper,,298160
Haskell,,353657
Hughes,,645682
Jackson,,1016251
Jefferson,,123653
Johnston,,342986
Kay,,1636746
Kingfisher,,1134708
Kiowa,,261520
Latimer,,353995
Le,,1352220
Lincoln,,715056
Logan,,645454
Love,,406018
McClain,,958504
McCurtain,,987978
McIntosh,,334852
Major,,365520
Marshall,,403704
Mayes,,1660771
Murray,,501587
Muskogee,,2792407
Noble,,602979
Nowata,,184203
Okfuskee,,210966
Oklahoma,,64387819
Okmulgee,,789620
Osage,,879308
Ottawa,,984750
Pawnee,,363412
Payne,,3064031
Pittsburg,,1746640
Pontotoc,,1803203
Pottawatomie,,1990187
Pushmataha,,205420
Roger,,136108
Rogers,,2826432
Seminole,,681462
Sequoyah,,699209
Stephens,,1521576
Texas,,2073407
Tillman,,220897
Tulsa,,46449223
Wagoner,,1062558
Washington,,8079688
Washita,,240988
Woods,,879146
Woodward,,1116850
,,
Oregon,,225336818
Baker,,621854
Benton,,4457457
Clackamas,,19720314
Clatsop,,1850902
Columbia,,1249316
Coos,,2282327
Crook,,805653
Curry,,633945
Deschutes,,8670438
Douglas,,3494914
Gilliam,,224906
Grant,,251263
Harney,,288772
Hood,,1200084
Jackson,,8612882
Jefferson,,715346
Josephine,,2722587
Klamath,,2395999
Lake,,341019
Lane,,15482217
Lincoln,,1843415
Linn,,4692052
Malheur,,1379311
Marion,,15370750
Morrow,,1613890
Multnomah,,63193837
Polk,,1878937
Sherman,,518432
Tillamook,,1160441
Umatilla,,3232447
Union,,916140
Wallowa,,330086
Wasco,,1276639
Washington,,48463443
Wheeler,,35747
Yamhill,,3481930
,,
Pennsylvania,,726165857
Adams,,3540312
Allegheny,,92984370
Armstrong,,2328167
Beaver,,7071719
Bedford,,1490166
Berks,,18832774
Blair,,5647210
Bradford,,5228988
Bucks,,30617551
Butler,,10129654
Cambria,,4604267
Cameron,,204755
Carbon,,2369488
Centre,,7982602
Chester,,40731215
Clarion,,1221880
Clearfield,,2703853
Clinton,,1586334
Columbia,,2342837
Crawford,,2938151
Cumberland,,14470931
Dauphin,,20895179
Delaware,,32185619
Elk,,1571903
Erie,,10915678
Fayette,,4628835
Forest,,238391
Franklin,,5850275
Fulton,,660057
Greene,,4957694
Huntingdon,,1295869
Indiana,,3990933
Jefferson,,1600933
Juniata,,770906
Lackawanna,,9401088
Lancaster,,26881438
Lawrence,,3037868
Lebanon,,5651715
Lehigh,,21592345
Luzerne,,14843674
Lycoming,,6441988
McKean,,2266746
Mercer,,4198977
Mifflin,,1627135
Monroe,,6350462
Montgomery,,70574860
Montour,,1779351
Northampton,,14044354
Northumberland,,2791884
Perry,,861220
Philadelphia,,109244960
Pike,,1244880
Potter,,1071548
Schuylkill,,4896407
Snyder,,1500567
Somerset,,2576872
Sullivan,,617224
Susquehanna,,5877242
Tioga,,2231570
Union,,1688595
Venango,,1876566
Warren,,1880848
Washington,,14343479
Wayne,,1635492
Westmoreland,,14056279
Wyoming,,2277008
York,,19163414
,,
Rhode,,53667978
Bristol,,1595125
Kent,,8445218
Newport,,5309907
Providence,,32023231
Washington,,6297580
,,
South,,214933685
Abbeville,,604283
Aiken,,6262564
Allendale,,291877
Anderson,,6725559
Bamberg,,332992
Barnwell,,480851
Beaufort,,6894117
Berkeley,,7395746
Calhoun,,585333
Charleston,,28742768
Cherokee,,1721824
Chester,,1151563
Chesterfield,,1474951
Clarendon,,586959
Colleton,,915610
Darlington,,2567760
Dillon,,766478
Dorchester,,3417718
Edgefield,,575538
Fairfield,,948340
Florence,,6893095
Georgetown,,2316755
Greenville,,29970983
Greenwood,,2777218
Hampton,,448266
Horry,,11748427
Jasper,,972648
Kershaw,,1710351
Lancaster,,3983952
Laurens,,2061152
Lee,,348411
Lexington,,11704113
McCormick,,203077
Marion,,597293
Marlboro,,771535
Newberry,,1397645
Oconee,,3675491
Orangeburg,,2736842
Pickens,,3743723
Richland,,23253385
Saluda,,428915
Spartanburg,,14674876
Sumter,,3988373
Union,,750255
Williamsburg,,750009
York,,10669603
,,
South,,47559727
Aurora,,85752
Beadle,,905832
Bennett,,98900
Bon,,238502
Brookings,,2140565
Brown,,2115457
Brule,,248560
Buffalo,,104690
Butte,,286968
Campbell,,82387
Charles,,471750
Clark,,188614
Clay,,528343
Codington,,1386052
Corson,,93700
Custer,,211709
Davison,,1123803
Day,,247240
Deuel,,326065
Dewey,,223329
Douglas,,239763
Edmunds,,235143
Fall,,256052
Faulk,,191767
Grant,,559183
Gregory,,162710
Haakon,,110343
Hamlin,,243682
Hand,,172266
Hanson,,150002
Harding,,81386
Hughes,,1138590
Hutchinson,,437712
Hyde,,93086
Jackson,,73430
Jerauld,,145775
Jones,,58904
Kingsbury,,328107
Lake,,577844
Lawrence,,1000282
Lincoln,,2424397
Lyman,,187328
McCook,,260675
McPherson,,119229
Marshall,,312869
Meade,,716817
Mellette,,43866
Miner,,116583
Minnehaha,,15361082
Moody,,341803
Oglala,,313502
Pennington,,4940327
Perkins,,129807
Potter,,142761
Roberts,,333143
Sanborn,,154652
Spink,,399142
Stanley,,135232
Sully,,116725
Todd,,214985
Tripp,,283261
Turner,,364815
Union,,1252167
Walworth,,218811
Yankton,,1118160
Ziebach,,54309
,,
Tennessee,,328406303
Anderson,,4559252
Bedford,,1575861
Benton,,336482
Bledsoe,,193876
Blount,,5221491
Bradley,,4124397
Campbell,,855875
Cannon,,236379
Carroll,,655959
Carter,,1023332
Cheatham,,1076529
Chester,,347909
Claiborne,,745231
Clay,,170841
Cocke,,711296
Coffee,,2610229
Crockett,,527412
Cumberland,,1518969
Davidson,,64615968
Decatur,,313595
DeKalb,,601637
Dickson,,1768940
Dyer,,1630329
Fayette,,1035153
Fentress,,431787
Franklin,,1086684
Gibson,,1414276
Giles,,1067212
Grainger,,378278
Greene,,2242503
Grundy,,229243
Hamblen,,2855639
Hamilton,,22925773
Hancock,,84176
Hardeman,,601509
Hardin,,875062
Hawkins,,1588153
Haywood,,710722
Henderson,,691122
Henry,,1178287
Hickman,,406817
Houston,,140963
Humphreys,,703038
Jackson,,181838
Jefferson,,1346858
Johnson,,367826
Knox,,24481578
Lake,,142718
Lauderdale,,658128
Lawrence,,1003661
Lewis,,266054
Lincoln,,988499
Loudon,,1728112
McMinn,,1935983
McNairy,,581850
Macon,,496447
Madison,,5507977
Marion,,761123
Marshall,,1130637
Maury,,3863999
Meigs,,240893
Monroe,,1294384
Montgomery,,4972614
Moore,,401703
Morgan,,286061
Obion,,1077463
Overton,,512775
Perry,,178960
Pickett,,143380
Polk,,293124
Putnam,,3186385
Rhea,,1793455
Roane,,2374077
Robertson,,2325754
Rutherford,,14643061
Scott,,541473
Sequatchie,,268720
Sevier,,3810138
Shelby,,57885809
Smith,,672376
Stewart,,739742
Sullivan,,6923579
Sumner,,6131331
Tipton,,1053640
Trousdale,,187100
Unicoi,,533131
Union,,279019
Van,,88221
Warren,,1346629
Washington,,5346734
Wayne,,321748
Weakley,,1190248
White,,666824
Williamson,,20490414
Wilson,,4689565
,,
Texas,,1764357169
Anderson,,1910774
Andrews,,4855010
Angelina,,3166166
Aransas,,626686
Archer,,361834
Armstrong,,66613
Atascosa,,4492812
Austin,,1314726
Bailey,,455961
Bandera,,338951
Bastrop,,2023331
Baylor,,172487
Bee,,810426
Bell,,15064785
Bexar,,96048613
Blanco,,333819
Borden,,834111
Bosque,,535444
Bowie,,3360961
Brazoria,,14949708
Brazos,,9631682
Brewster,,367037
Briscoe,,106952
Brooks,,372996
Brown,,1341005
Burleson,,1712129
Burnet,,1450427
Caldwell,,881820
Calhoun,,3518469
Callahan,,293166
Cameron,,10373362
Camp,,320604
Carson,,990779
Cass,,801391
Castro,,891057
Chambers,,2924433
Cherokee,,1412656
Childress,,217615
Clay,,258988
Cochran,,413092
Coke,,137264
Coleman,,225520
Collin,,63204633
Collingsworth,,82121
Colorado,,813840
Comal,,5312024
Comanche,,429433
Concho,,136444
Cooke,,2666057
Coryell,,1536771
Cottle,,81353
Crane,,1089316
Crockett,,1289011
Crosby,,330560
Culberson,,1996602
Dallam,,858312
Dallas,,242958925
Dawson,,879443
Deaf,,1808436
Delta,,118298
Denton,,29822538
DeWitt,,6457833
Dickens,,135138
Dimmit,,5861898
Donley,,153389
Duval,,426024
Eastland,,880569
Ector,,13450355
Edwards,,101129
Ellis,,5663129
El,,29011802
Erath,,1501122
Falls,,381764
Fannin,,804786
Fayette,,1631933
Fisher,,247867
Floyd,,376412
Foard,,55492
Fort,,24909665
Franklin,,429542
Freestone,,1330268
Frio,,1453416
Gaines,,3383184
Galveston,,15757277
Garza,,364030
Gillespie,,913683
Glasscock,,5687309
Goliad,,318048
Gonzales,,5234195
Gray,,1119564
Grayson,,4866248
Gregg,,7455386
Grimes,,1044079
Guadalupe,,5346735
Hale,,1387749
Hall,,75513
Hamilton,,236269
Hansford,,792363
Hardeman,,215102
Hardin,,1421902
Harris,,380947807
Harrison,,4880846
Hartley,,1094330
Haskell,,367442
Hays,,6344096
Hemphill,,940424
Henderson,,1702667
Hidalgo,,19766430
Hill,,960042
Hockley,,2478056
Hood,,2279385
Hopkins,,1486259
Houston,,997036
Howard,,8391331
Hudspeth,,182932
Hunt,,3647103
Hutchinson,,8692809
Irion,,1968555
Jack,,572130
Jackson,,738367
Jasper,,1003561
Jeff,,76554
Jefferson,,21988565
Jim,,211946
Jim,,1722442
Johnson,,6127085
Jones,,438454
Karnes,,12623328
Kaufman,,3172400
Kendall,,1925791
Kenedy,,353086
Kent,,380154
Kerr,,1741955
Kimble,,141703
King,,193454
Kinney,,112499
Kleberg,,1156214
Knox,,165859
Lamar,,2559287
Lamb,,787385
Lampasas,,439732
La,,7667819
