State,Area,2019 Gross Domestic Product (Thousands of Chained (2012) Dollars))
Lawrence,ArkansasLawrence,420163
Lee,ArkansasLee,193279
Lincoln,ArkansasLincoln,244632
Little,ArkansasLittle,531066
Logan,ArkansasLogan,507367
Lonoke,ArkansasLonoke,1157468
Madison,ArkansasMadison,351304
Marion,ArkansasMarion,546004
Miller,ArkansasMiller,1250953
Mississippi,ArkansasMississippi,2544776
Monroe,ArkansasMonroe,194994
Montgomery,ArkansasMontgomery,123868
Nevada,ArkansasNevada,249796
Newton,ArkansasNewton,98983
Ouachita,ArkansasOuachita,596621
Perry,ArkansasPerry,140107
Phillips,ArkansasPhillips,506307
Pike,ArkansasPike,234528
Poinsett,ArkansasPoinsett,600795
Polk,ArkansasPolk,498017
Pope,ArkansasPope,2622224
Prairie,ArkansasPrairie,180208
Pulaski,ArkansasPulaski,26139380
Randolph,ArkansasRandolph,438924
St.Francis,ArkansasSt.Francis,694742
Saline,ArkansasSaline,2118096
Scott,ArkansasScott,258346
Searcy,ArkansasSearcy,156717
Sebastian,ArkansasSebastian,6028844
Sevier,ArkansasSevier,449993
Sharp,ArkansasSharp,327611
Stone,ArkansasStone,226877
Union,ArkansasUnion,2542988
Van,ArkansasVan,642924
Washington,ArkansasWashington,10010084
White,ArkansasWhite,2231720
Woodruff,ArkansasWoodruff,232079
Yell,ArkansasYell,537243
,,
California,,2800505405
Alameda,CaliforniaAlameda,129708807
Alpine,CaliforniaAlpine,114254
Amador,CaliforniaAmador,1786635
Butte,CaliforniaButte,9897121
Calaveras,CaliforniaCalaveras,1589059
Colusa,CaliforniaColusa,1514361
Contra,CaliforniaContra,76522619
Del,CaliforniaDel,842938
El,CaliforniaEl,7967457
Fresno,CaliforniaFresno,46009312
Glenn,CaliforniaGlenn,1310042
Humboldt,CaliforniaHumboldt,5974402
Imperial,CaliforniaImperial,8980597
Inyo,CaliforniaInyo,1261469
Kern,CaliforniaKern,51416782
Kings,CaliforniaKings,6609432
Lake,CaliforniaLake,2189985
Lassen,CaliforniaLassen,1262036
Los,CaliforniaLos,726943301
Madera,CaliforniaMadera,6740169
Marin,CaliforniaMarin,23795829
Mariposa,CaliforniaMariposa,862546
Mendocino,CaliforniaMendocino,3856796
Merced,CaliforniaMerced,10383485
Modoc,CaliforniaModoc,460751
Mono,CaliforniaMono,1162497
Monterey,CaliforniaMonterey,27581259
Napa,CaliforniaNapa,10283597
Nevada,CaliforniaNevada,4428088
Orange,CaliforniaOrange,233323465
Placer,CaliforniaPlacer,21531825
Plumas,CaliforniaPlumas,1245201
Riverside,CaliforniaRiverside,82105026
Sacramento,CaliforniaSacramento,88620397
SanBenito,CaliforniaSanBenito,2363094
SanBernardino,CaliforniaSanBernardino,89779198
SanDiego,CaliforniaSanDiego,222272562
SanFrancisco,CaliforniaSanFrancisco,178505659
SanJoaquin,CaliforniaSanJoaquin,30486439
SanLuis,CaliforniaSanLuis,16660813
SanMateo,CaliforniaSanMateo,121697163
Santa,CaliforniaSanta,28411698
Santa,CaliforniaSanta,318100028
Santa,CaliforniaSanta,14407444
Shasta,CaliforniaShasta,8412829
Sierra,CaliforniaSierra,112020
Siskiyou,CaliforniaSiskiyou,1933447
Solano,CaliforniaSolano,22637944
Sonoma,CaliforniaSonoma,29064200
Stanislaus,CaliforniaStanislaus,23715709
Sutter,CaliforniaSutter,3762601
Tehama,CaliforniaTehama,2276824
Trinity,CaliforniaTrinity,452982
Tulare,CaliforniaTulare,19350581
Tuolumne,CaliforniaTuolumne,2793179
Ventura,CaliforniaVentura,48496595
Yolo,CaliforniaYolo,14390599
Yuba,CaliforniaYuba,3345409
,,
Colorado,,356280157
Adams,,26546174
Alamosa,,743667
Arapahoe,,45195128
Archuleta,,513301
Baca,,136902
Bent,,161542
Boulder,,27509931
Broomfield,,6845862
Chaffee,,771206
Cheyenne,,188959
Clear,,536671
Conejos,,254561
Costilla,,101636
Crowley,,154568
Custer,,125966
Delta,,853431
Denver,,72850983
Dolores,,147006
Douglas,,17543547
Eagle,,3600716
Elbert,,604651
El,,33392451
Fremont,,1397253
Garfield,,4103095
Gilpin,,518503
Grand,,807296
Gunnison,,1094683
Hinsdale,,44766
Huerfano,,292627
Jackson,,128935
Jefferson,,30704185
Kiowa,,80388
Kit,,411638
Lake,,331681
La,,3317742
Larimer,,18267696
Las,,739862
Lincoln,,362619
Logan,,1142534
Mesa,,6214937
Mineral,,66191
Moffat,,987687
Montezuma,,1823637
Montrose,,1500154
Morgan,,1661295
Otero,,645407
Ouray,,224978
Park,,454820
Phillips,,208315
Pitkin,,2030163
Prowers,,632801
Pueblo,,6268022
Rio,,740595
Rio,,511851
Routt,,1742862
Saguache,,255110
SanJuan,,36973
SanMiguel,,607613
Sedgwick,,99198
Summit,,2363993
Teller,,931220
Washington,,202411
Weld,,22020305
Yuma,,648523
,,
Connecticut,,251329845
Fairfield,,79854813
Hartford,,79962243
Litchfield,,7604383
Middlesex,,8679288
New,,48368218
New,,17344547
Tolland,,4908348
Windham,,4688643
,,
Delaware,,64319262
Kent,,7274755
New,,45494166
Sussex,,11602065
,,
District,,123929268
,,
Florida,,963255865
Alachua,,12914477
Baker,,559561
Bay,,7772152
Bradford,,668271
Brevard,,24619760
Broward,,99909302
Calhoun,,253914
Charlotte,,4952728
Citrus,,3879314
Clay,,4858684
Collier,,16351772
Columbia,,2228549
DeSoto,,1014538
Dixie,,289624
Duval,,60169891
Escambia,,14931928
Flagler,,2221979
Franklin,,381839
Gadsden,,1276171
Gilchrist,,355242
Glades,,320686
Gulf,,410310
Hamilton,,492817
Hardee,,1023242
Hendry,,1314540
Hernando,,3971573
Highlands,,2626612
Hillsborough,,84884933
Holmes,,338550
Indian,,5966999
Jackson,,1408654
Jefferson,,293810
Lafayette,,171278
Lake,,8468770
Lee,,28207575
Leon,,14357206
Levy,,933042
Liberty,,214226
Madison,,434847
Manatee,,13354224
Marion,,9331478
Martin,,7113457
Miami-Dade,,151587328
Monroe,,4523546
Nassau,,2397438
Okaloosa,,11156453
Okeechobee,,1577307
Orange,,90245169
Osceola,,9053658
Palm,,75635325
Pasco,,11638076
Pinellas,,47873967
Polk,,24837880
Putnam,,2066592
St.Johns,,7778133
St.Lucie,,8431479
Santa,,4137020
Sarasota,,18382610
Seminole,,20654326
Sumter,,2690053
Suwannee,,1258570
Taylor,,766755
Union,,272507
Volusia,,17063419
Wakulla,,692619
Walton,,2775045
Washington,,524311
,,
Georgia,,547422652
Appling,,1427791
Atkinson,,256536
Bacon,,353246
Baker,,88111
Baldwin,,1246391
Banks,,405737
Barrow,,1930607
Bartow,,4408132
Ben,,505476
Berrien,,381773
Bibb,,8213443
Bleckley,,248980
Brantley,,235447
Brooks,,369215
Bryan,,859218
Bulloch,,2173735
Burke,,2811746
Butts,,609056
Calhoun,,140142
Camden,,1822567
Candler,,256331
Carroll,,4253711
Catoosa,,1420539
Charlton,,190432
Chatham,,16996540
Chattahoochee,,1345383
Chattooga,,598372
Cherokee,,6514858
Clarke,,7083717
Clay,,88363
Clayton,,17247201
Clinch,,249282
Cobb,,49217819
Coffee,,1466173
Colquitt,,1427794
Columbia,,3449629
Cook,,359989
Coweta,,4062990
Crawford,,144163
Crisp,,867318
Dade,,372780
Dawson,,779587
Decatur,,848450
DeKalb,,37825628
Dodge,,437600
Dooly,,433645
Dougherty,,4384137
Douglas,,4077448
Early,,541155
Echols,,40209
Effingham,,1682932
Elbert,,573063
Emanuel,,680882
Evans,,377492
Fannin,,670127
Fayette,,4669141
Floyd,,3960973
Forsyth,,8382170
Franklin,,844841
Fulton,,159931648
Gilmer,,817723
Glascock,,34369
Glynn,,3769083
Gordon,,2140067
Grady,,669070
Greene,,622601
Gwinnett,,44283783
Habersham,,1399929
Hall,,9535290
Hancock,,160352
Haralson,,740273
Harris,,534151
Hart,,816669
Heard,,1156627
Henry,,5744251
Houston,,6347031
Irwin,,214945
Jackson,,2832812
Jasper,,250974
Jeff,,392489
Jefferson,,544699
Jenkins,,167966
Johnson,,134712
Jones,,397867
Lamar,,387637
Lanier,,120067
Laurens,,1728031
Lee,,684178
Liberty,,3188935
Lincoln,,132433
Long,,115741
Lowndes,,4643519
Lumpkin,,699197
McDuffie,,637332
McIntosh,,185905
Macon,,504344
Madison,,472237
Marion,,107031
Meriwether,,574736
Miller,,214968
Mitchell,,800735
Monroe,,1460717
Montgomery,,165072
Morgan,,726761
Murray,,1135982
Muscogee,,9979549
Newton,,2659161
Oconee,,1303729
Oglethorpe,,284740
Paulding,,2362819
Peach,,866050
Pickens,,933288
Pierce,,399902
Pike,,286221
Polk,,1176959
Pulaski,,274112
Putnam,,485620
Quitman,,37303
Rabun,,492062
Randolph,,189062
Richmond,,11562741
Rockdale,,3541223
Schley,,103766
Screven,,297373
Seminole,,309401
Spalding,,1977588
Stephens,,906789
Stewart,,135268
Sumter,,1082016
Talbot,,136392
Taliaferro,,34992
Tattnall,,619458
Taylor,,211859
Telfair,,311806
Terrell,,249511
Thomas,,2025308
Tift,,1855637
Toombs,,946507
Towns,,324641
Treutlen,,115116
Troup,,3307080
Turner,,223387
Twiggs,,287290
Union,,664241
Upson,,677373
Walker,,1398073
Walton,,2274939
Ware,,1430432
Warren,,182140
Washington,,599327
Wayne,,824104
Webster,,58776
Wheeler,,108174
White,,706895
Whitfield,,5214359
Wilcox,,170974
Wilkes,,345622
Wilkinson,,535277
Worth,,382486
,,
Hawaii,,82471416
Hawaii,,8221411
Honolulu,,61094332
Kauai,,3829072
Maui,,9328861
,,
Idaho,,74937087
Ada,,26471383
Adams,,118199
Bannock,,2814614
Bear,,194227
Benewah,,310410
Bingham,,1359110
Blaine,,1422835
Boise,,228762
Bonner,,1388760
Bonneville,,5215234
Boundary,,347973
Butte,,1098397
Camas,,67036
Canyon,,5843416
Caribou,,499326
Cassia,,1721321
Clark,,50376
Clearwater,,319934
Custer,,182645
Elmore,,1308385
Franklin,,370393
Fremont,,386867
Gem,,349651
Gooding,,1366367
Idaho,,439444
Jefferson,,790400
Jerome,,1318937
Kootenai,,5789257
Latah,,1294709
Lemhi,,259431
Lewis,,149975
Lincoln,,332155
Madison,,1185464
Minidoka,,822203
Nez,,2016126
Oneida,,131296
Owyhee,,475953
Payette,,781605
Power,,415704
Shoshone,,452956
Teton,,322408
Twin,,3582530
Valley,,486230
Washington,,413942
,,
Illinois,,773135522
Adams,,3355565
Alexander,,180503
Bond,,506827
Boone,,1685685
Brown,,463876
Bureau,,1328246
Calhoun,,100333
Carroll,,619998
Cass,,628081
Champaign,,10222595
Christian,,1484482
Clark,,570541
Clay,,556479
Clinton,,1025829
Coles,,2334593
Cook,,366932993
Crawford,,2062806
Cumberland,,1338737
DeKalb,,3779934
De,,1138688
Douglas,,1079873
DuPage,,83828491
Edgar,,790466
Edwards,,293642
Effingham,,2031677
Fayette,,569001
Ford,,640573
Franklin,,1081495
Fulton,,963407
Gallatin,,218919
Greene,,327960
Grundy,,3710386
Hamilton,,360548
Hancock,,571667
Hardin,,82211
Henderson,,189829
Henry,,1476114
Iroquois,,1149692
Jackson,,2434312
Jasper,,486269
Jefferson,,1880802
Jersey,,516848
Jo,,783014
Johnson,,223155
Kane,,23469101
Kankakee,,5608505
Kendall,,3008434
Knox,,1736634
Lake,,53778183
LaSalle,,5410182
Lawrence,,566681
Lee,,1599521
Livingston,,1862479
Logan,,1025379
McDonough,,1116077
McHenry,,10296845
McLean,,13778419
Macon,,6399861
Macoupin,,1222824
Madison,,12150589
Marion,,1310886
Marshall,,377563
Mason,,500812
Massac,,580312
Menard,,239807
Mercer,,433107
Monroe,,884223
Montgomery,,1106194
Morgan,,1505562
Moultrie,,788685
Ogle,,2580522
Peoria,,12322562
Perry,,595610
Piatt,,510080
Pike,,552775
Pope,,63504
Pulaski,,199669
Putnam,,361799
Randolph,,1434433
Richland,,617567
Rock,,9689097
St.Clair,,11136578
Saline,,858027
Sangamon,,10702860
Schuyler,,263666
Scott,,164274
Shelby,,809421
Stark,,207505
Stephenson,,1755957
Tazewell,,5549702
Union,,413050
Vermilion,,3202651
Wabash,,362876
Warren,,819600
Washington,,888830
Wayne,,480779
White,,591775
Whiteside,,2120737
Will,,30143384
Williamson,,2776828
Winnebago,,13156636
Woodford,,1099003
,,
Indiana,,337636057
Adams,,1685187
Allen,,20063027
Bartholomew,,6045053
Benton,,461815
Blackford,,301776
Boone,,3061062
Brown,,254107
Carroll,,657963
Cass,,1300004
Clark,,4861806
Clay,,735260
Clinton,,1466509
Crawford,,171390
Daviess,,1241003
Dearborn,,1692682
Decatur,,1527252
DeKalb,,2444566
Delaware,,3759995
Dubois,,2527822
Elkhart,,14500980
Fayette,,560184
Floyd,,2711632
Fountain,,474171
Franklin,,547209
Fulton,,659158
Gibson,,3343492
Grant,,2248065
Greene,,643020
Hamilton,,17132223
Hancock,,2753013
Harrison,,1000154
Hendricks,,5979898
Henry,,1251201
Howard,,3954647
Huntington,,1378556
Jackson,,2262448
Jasper,,1459915
Jay,,952596
Jefferson,,1400089
Jennings,,706193
Johnson,,4866188
Knox,,1833730
Kosciusko,,4686316
Lagrange,,1824967
Lake,,24435380
LaPorte,,3893649
Lawrence,,1323599
Madison,,3508789
Marion,,84088746
Marshall,,1550355
Martin,,1019304
Miami,,940226
Monroe,,6157213
Montgomery,,1594289
Morgan,,1617605
Newton,,341366
Noble,,1747811
Ohio,,108080
Orange,,601921
Owen,,487096
