,State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Total Votes 2020,Votes 2020 Donald Trump,Votes 2020  Joe Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,Mean Commute (minutes),Batteries,CoalIntegratedGasificationCombinedCycle,ConventionalHydroelectric,ConventionalSteamCoal,Flywheels,Geothermal,HydroelectricPumpedStorage,LandfillGas,MunicipalSolidWaste,NaturalGasFiredCombinedCycle,NaturalGasFiredCombustionTurbine,NaturalGasInternalCombustionEngine,NaturalGasSteamTurbine,NaturalGaswithCompressedAirStorage,Nuclear,OffshoreWindTurbine,OnshoreWindTurbine,OtherGases,OtherNaturalGas,OtherWasteBiomass,PetroleumCoke,PetroleumLiquids,SolarPhotovoltaic,SolarThermalwithEnergyStorage,SolarThermalwithoutEnergyStorage,Wood/WoodWasteBiomass
14,Arizona,Pima,ArizonaPima,277,77,53,22.2,32.4,457683,38308,501879,517843,38.3,1019722,511127.0,202928.0,300743.0,48676,534,36.4,21.5,24.9,8.7,8.5,4.8,24.5,2,0,0,0,0,0,0,0,0,2,7,10,2,0,0,0,0,0,0,0,0,0,25,0,0,0
15,Arizona,Pinal,ArizonaPinal,1124,119,72,29.3,19.5,176674,14400,219048,200673,38.9,419721,185398.0,106966.0,75093.0,52628,891,29.4,22.8,25.5,10.5,11.8,5.5,31.0,1,0,0,0,0,0,0,0,0,3,25,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0
16,Arizona,Yavapai,ArizonaYavapai,119,61,45,25.8,25.9,98978,8007,109795,114850,52.9,224645,143221.0,91527.0,49602.0,48259,1287,31.9,22.7,24.5,11.1,9.8,7.3,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
17,Arizona,Yuma,ArizonaYuma,321,69,44,25.7,15.0,81310,16810,106973,100856,34.3,207829,68427.0,35766.0,31562.0,43253,1376,24.9,23.0,22.8,17.4,12.0,3.0,19.6,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,2,13,0,0,0
18,Arkansas,Arkansas,ArkansasArkansas,82,50,27,34.0,23.0,1272344,81952,8733,9391,41.4,18124,6284.0,4301.0,1813.0,38532,2759,27.7,15.5,23.6,8.5,24.7,3.1,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
19,Arkansas,Arkansas,ArkansasArkansas,82,50,27,34.0,23.0,9044,378,8733,9391,41.4,18124,6284.0,4301.0,1813.0,38532,2759,27.7,15.5,23.6,8.5,24.7,3.1,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20,Arkansas,Ashley,ArkansasAshley,89,49,28,43.7,12.3,6518,668,10013,10524,41.7,20537,7926.0,5548.0,2125.0,36407,2317,27.5,16.8,18.9,13.7,23.0,1.6,20.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Arkansas,Clark,ArkansasClark,67,40,29,30.2,26.6,8765,549,10628,11757,34.1,22385,8358.0,4605.0,3413.0,37144,2739,33.6,20.6,23.7,7.8,14.3,3.8,21.3,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0
22,Illinois,Clark,IllinoisClark,97,45,31,40.0,19.9,6752,579,7824,8012,43.0,15836,8340.0,6215.0,1990.0,52068,3824,25.5,17.3,21.1,11.8,24.2,4.9,22.4,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0
23,Indiana,Clark,IndianaClark,91,58,42,34.6,21.2,56726,4412,56359,59343,38.9,115702,58040.0,33656.0,23088.0,52834,1041,31.1,16.9,25.5,7.6,18.8,3.3,24.0,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0
24,Nevada,Clark,NevadaClark,174,93,61,28.5,24.5,958069,165513,1069779,1071795,37.1,2141574,914373.0,402271.0,493740.0,54882,434,27.2,29.2,26.1,7.9,9.6,3.6,24.5,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0
25,Ohio,Clark,OhioClark,108,57,40,37.9,18.7,57829,5116,65405,69793,41.1,135198,62870.0,38217.0,23625.0,46275,1248,29.1,18.5,23.2,8.4,20.7,3.5,22.0,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0
26,Washington,Clark,WashingtonClark,509,58,27,24.2,30.6,221896,20682,230092,235292,38.2,465384,272477.0,125833.0,139863.0,67832,868,36.3,17.0,23.7,9.6,13.5,6.6,26.4,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0
27,Arkansas,Garland,ArkansasGarland,83,53,29,31.4,21.6,38052,3295,47182,51114,44.9,98296,44193.0,29065.0,14043.0,41672,1593,31.8,20.4,25.6,11.2,11.0,4.8,21.9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Arkansas,Jackson,ArkansasJackson,77,51,26,42.5,10.1,5444,419,8512,8713,39.9,17225,5076.0,3583.0,1360.0,32783,2974,22.3,18.3,20.7,15.4,23.3,4.1,19.1,1,0,16,4,0,0,0,8,0,21,23,9,4,0,0,0,12,0,0,0,0,37,9,0,0,8
29,Colorado,Jackson,ColoradoJackson,84,46,8,28.1,20.0,900,40,631,665,50.9,1296,873.0,680.0,173.0,45994,4071,30.6,15.3,16.8,28.4,8.9,16.5,28.9,1,0,16,4,0,0,0,8,0,21,23,9,4,0,0,0,12,0,0,0,0,37,9,0,0,8
30,Mississippi,Jackson,MississippiJackson,84,55,39,31.2,21.1,52868,5567,70065,71949,38.8,142014,45486.0,32563.0,12061.0,50274,1619,31.9,20.2,20.9,12.4,14.7,1.7,24.5,1,0,16,4,0,0,0,8,0,21,23,9,4,0,0,0,12,0,0,0,0,37,9,0,0,8
31,Missouri,Jackson,MissouriJackson,157,60,40,28.3,31.6,334471,25742,334604,357399,36.7,692003,330425.0,125897.0,198031.0,50652,526,36.5,17.6,25.6,7.6,12.7,4.5,23.4,1,0,16,4,0,0,0,8,0,21,23,9,4,0,0,0,12,0,0,0,0,37,9,0,0,8
32,North Carolina,Jackson,North CarolinaJackson,68,40,24,26.8,30.4,18286,1499,20838,21418,37.5,42256,21191.0,11263.0,9522.0,45078,4356,33.1,27.9,21.2,9.4,8.4,4.1,20.4,1,0,16,4,0,0,0,8,0,21,23,9,4,0,0,0,12,0,0,0,0,37,9,0,0,8
33,South Dakota,Jackson,South DakotaJackson,90,51,39,33.5,17.8,1155,52,1611,1676,30.6,3287,1115.0,738.0,359.0,38041,4780,45.3,16.0,18.6,13.7,6.4,20.4,12.6,1,0,16,4,0,0,0,8,0,21,23,9,4,0,0,0,12,0,0,0,0,37,9,0,0,8
34,Arkansas,Newton,ArkansasNewton,84,45,35,35.4,20.5,3084,162,3932,3916,49.1,7848,3998.0,3192.0,709.0,38134,4984,27.8,21.1,18.6,16.1,16.5,5.1,30.5,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Arkansas,Polk,ArkansasPolk,84,47,36,36.5,14.1,7482,531,9828,10335,43.7,20163,8468.0,7018.0,1242.0,33870,2290,28.4,15.7,22.4,15.4,18.1,2.5,23.0,1,1,23,6,0,0,0,11,0,34,25,0,0,0,0,0,1,0,0,4,1,32,15,0,0,0
36,Florida,Polk,FloridaPolk,87,54,37,34.7,20.2,287979,28647,327706,340965,40.3,668671,343979.0,194571.0,145022.0,45988,753,29.9,20.7,25.6,10.6,13.3,4.2,26.0,1,1,23,6,0,0,0,11,0,34,25,0,0,0,0,0,1,0,0,4,1,32,15,0,0,0
37,Iowa,Polk,IowaPolk,186,54,36,24.5,36.7,248931,15876,233599,240675,35.3,474274,257991.0,106800.0,146250.0,63530,972,39.1,16.6,25.7,7.8,10.9,3.7,19.4,1,1,23,6,0,0,0,11,0,34,25,0,0,0,0,0,1,0,0,4,1,32,15,0,0,0
38,Texas,Polk,TexasPolk,71,43,31,39.5,13.1,16755,1602,25878,21959,43.6,47837,24072.0,18496.0,5353.0,43267,2722,22.8,22.8,23.7,17.9,12.8,4.0,29.1,1,1,23,6,0,0,0,11,0,34,25,0,0,0,0,0,1,0,0,4,1,32,15,0,0,0
39,Arkansas,Pulaski,ArkansasPulaski,132,59,42,26.0,34.3,174884,14044,188496,204967,36.9,393463,165468.0,62389.0,98855.0,48850,1099,41.2,16.7,25.4,6.8,10.0,3.4,20.3,0,0,7,2,0,0,0,24,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40,Kentucky,Pulaski,KentuckyPulaski,77,48,36,35.7,16.5,23907,1888,31517,32628,41.9,64145,31537.0,25441.0,5664.0,35022,2420,29.3,18.9,23.9,10.2,17.8,1.6,21.0,0,0,7,2,0,0,0,24,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
41,Arkansas,Union,ArkansasUnion,89,52,34,35.5,21.1,14325,1297,19332,20400,40.1,39732,16548.0,10446.0,5559.0,41106,2148,33.4,13.4,25.0,11.4,16.8,1.7,19.0,0,0,11,0,0,0,0,2,1,36,6,2,3,0,0,0,1,0,0,0,0,8,17,0,0,0
42,New Jersey,Union,New JerseyUnion,111,56,38,28.6,36.0,248871,27340,269450,283616,38.5,553066,200561.0,61281.0,136519.0,73376,1330,37.1,17.2,23.9,7.4,14.4,3.7,31.1,0,0,11,0,0,0,0,2,1,36,6,2,3,0,0,0,1,0,0,0,0,8,17,0,0,0
43,North Carolina,Union,North CarolinaUnion,50,44,31,24.6,35.4,113926,7247,111658,115036,38.0,226694,129475.0,79778.0,48199.0,70858,1509,39.3,15.1,24.1,9.1,12.5,7.2,29.5,0,0,11,0,0,0,0,2,1,36,6,2,3,0,0,0,1,0,0,0,0,8,17,0,0,0
44,South Dakota,Union,South DakotaUnion,141,53,36,29.5,30.6,8088,434,7693,7484,40.6,15177,8855.0,5944.0,2725.0,65434,3315,38.9,14.1,22.3,10.1,14.6,4.8,19.6,0,0,11,0,0,0,0,2,1,36,6,2,3,0,0,0,1,0,0,0,0,8,17,0,0,0
45,Arkansas,Washington,ArkansasWashington,150,52,39,25.7,33.3,120346,5795,114181,114348,31.8,228529,93467.0,47229.0,43327.0,47452,1026,37.5,16.1,22.8,9.5,14.2,3.5,21.5,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6
46,Georgia,Washington,GeorgiaWashington,112,54,32,44.7,12.3,6486,445,10361,10100,40.6,20461,9459.0,4663.0,4730.0,38097,3810,28.2,19.7,23.7,10.0,18.5,1.8,21.5,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6
47,Kentucky,Washington,KentuckyWashington,77,46,34,42.4,18.8,5718,381,5865,6154,40.7,12019,6223.0,4482.0,1644.0,47843,3368,26.8,15.7,18.5,12.2,26.9,4.0,26.5,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6
48,Maine,Washington,MaineWashington,61,44,33,38.0,22.0,12575,833,15614,16080,48.0,31694,988.0,540.0,415.0,40328,1454,28.9,19.8,18.1,18.7,14.5,6.3,20.9,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6
49,Maryland,Washington,MarylandWashington,81,51,37,36.5,21.9,67799,4904,76098,73713,40.5,149811,65209.0,39148.0,24869.0,58260,1909,33.2,19.3,23.6,10.2,13.7,4.8,29.3,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6
50,Minnesota,Washington,MinnesotaWashington,77,42,24,21.0,44.3,135509,8074,125332,127985,39.3,253317,166267.0,73764.0,89164.0,89598,1707,46.0,14.7,23.1,6.5,9.8,5.1,25.8,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6
51,Nebraska,Washington,NebraskaWashington,72,42,23,31.6,29.9,10729,407,9911,10308,41.4,20219,12413.0,8583.0,3554.0,66485,4187,37.1,14.5,24.8,11.7,11.9,5.2,20.8,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6
52,Ohio,Washington,OhioWashington,108,48,38,40.3,18.8,24633,2311,29953,30718,44.1,60671,31382.0,21798.0,9114.0,46021,1778,30.2,18.4,23.2,11.2,16.9,3.1,22.1,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6
53,Oklahoma,Washington,OklahomaWashington,101,56,40,34.0,28.5,21049,1311,25253,26748,40.2,52001,23501.0,17076.0,5790.0,50388,1871,35.6,18.4,24.2,10.1,11.6,3.7,17.7,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6
54,Pennsylvania,Washington,PennsylvaniaWashington,100,58,41,37.3,30.0,95218,9871,101709,105838,44.5,207547,117443.0,71397.0,44746.0,59309,1109,35.8,16.8,23.7,11.2,12.6,4.4,26.9,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6
55,Rhode Island,Washington,Rhode IslandWashington,154,49,32,22.8,46.1,60597,5139,61110,65132,44.5,126242,,,,77862,2350,44.8,18.4,21.4,7.7,7.8,4.9,25.9,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6
56,Utah,Washington,UtahWashington,112,61,44,23.4,28.1,75007,4201,79500,81037,36.4,160537,88209.0,65601.0,20065.0,55175,1757,30.9,20.2,27.6,9.8,11.4,6.1,18.1,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6
57,California,Alameda,CaliforniaAlameda,218,79,43,17.6,47.4,742411,71396,807171,836529,37.4,1643700,750128.0,131985.0,602851.0,85743,940,48.0,16.0,20.4,6.4,9.2,6.0,32.5,1,0,0,0,0,0,0,4,0,5,6,0,0,0,0,0,3,0,7,5,0,2,6,0,0,0
58,California,Amador,CaliforniaAmador,156,50,37,27.5,19.3,13107,1317,20302,17527,50.5,37829,22282.0,13571.0,8147.0,60636,2765,32.7,23.2,24.1,9.9,10.1,6.4,32.0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,California,Butte,CaliforniaButte,379,110,51,22.5,27.2,84095,8509,112513,114562,37.1,227075,99780.0,47568.0,49402.0,46516,1130,35.9,22.2,22.7,9.2,10.1,5.7,20.1,1,0,22,0,0,0,6,1,0,0,1,7,0,0,0,0,1,0,0,0,0,0,5,0,0,0
60,Idaho,Butte,IdahoButte,152,50,40,36.0,16.2,1343,50,1342,1260,48.1,2602,1415.0,1202.0,188.0,43207,7907,32.5,16.1,18.3,16.3,16.8,4.4,22.6,1,0,22,0,0,0,6,1,0,0,1,7,0,0,0,0,1,0,0,0,0,0,5,0,0,0
61,California,Calaveras,CaliforniaCalaveras,192,77,44,28.0,18.3,19588,1619,22434,22801,52.1,45235,26717.0,16287.0,9845.0,54800,3529,35.6,18.4,22.9,11.6,11.5,8.3,35.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,California,Colusa,CaliforniaColusa,198,86,38,26.2,15.0,8824,1675,11124,10340,35.1,21464,7672.0,4399.0,3114.0,56481,4858,24.2,19.2,16.6,26.2,13.8,4.5,24.7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,California,Fresno,CaliforniaFresno,298,153,74,22.7,21.2,395258,50260,487936,490194,32.0,978130,356004.0,160689.0,188224.0,48730,655,29.1,19.6,23.0,14.8,13.5,4.3,22.4,3,0,34,0,0,0,4,0,0,6,22,0,0,0,0,0,0,0,0,0,0,3,56,0,0,2
64,California,Glenn,CaliforniaGlenn,197,82,43,27.2,14.2,11455,1113,14171,13726,36.6,27897,10890.0,6854.0,3815.0,46260,3402,22.6,19.7,17.8,23.9,16.0,5.7,24.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,California,Humboldt,CaliforniaHumboldt,109,44,29,22.2,30.4,54446,4965,67666,68102,38.0,135768,45961.0,13756.0,31010.0,43718,1579,33.9,23.1,23.6,10.3,9.1,7.4,18.2,0,0,2,2,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5
66,California,Imperial,CaliforniaImperial,166,97,58,24.3,15.2,53949,15653,92250,87966,32.4,180216,38727.0,13401.0,24551.0,44779,1850,24.4,24.3,24.7,13.4,13.1,4.4,20.8,1,0,16,0,0,47,0,0,0,5,3,0,2,0,0,0,1,0,0,0,0,1,41,0,0,2
67,California,Inyo,CaliforniaInyo,684,130,52,28.6,27.2,7658,647,9084,9001,45.7,18085,9147.0,4436.0,4495.0,51500,4578,31.5,23.0,22.4,14.5,8.7,4.5,16.9,0,0,21,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
68,California,Kern,CaliforniaKern,267,140,81,27.8,16.4,335707,48062,452646,430407,31.5,883053,183717.0,94844.0,84946.0,50826,771,26.4,18.4,20.6,21.2,13.4,3.2,23.4,3,0,11,0,0,0,0,0,0,15,65,2,0,0,0,0,53,0,3,5,0,2,96,0,0,3
69,California,Kings,CaliforniaKings,543,124,67,25.3,14.7,49883,6533,82674,67401,31.7,150075,41933.0,23169.0,17729.0,49742,1744,24.4,21.4,20.8,19.5,13.8,5.0,22.4,0,0,0,0,0,0,0,0,0,4,39,6,0,0,0,0,0,0,3,4,0,60,26,0,0,0
70,New York,Kings,New YorkKings,77,47,23,25.7,37.5,1006852,144278,1231912,1368835,35.1,2600747,693937.0,174731.0,514133.0,52782,467,40.8,23.1,21.5,6.2,8.5,4.3,42.4,0,0,0,0,0,0,0,0,0,4,39,6,0,0,0,0,0,0,3,4,0,60,26,0,0,0
71,California,Lake,CaliforniaLake,180,43,32,30.5,15.5,25567,2700,31879,32269,45.6,64148,11038.0,3955.0,6874.0,40446,2857,25.8,26.5,21.4,16.1,10.1,12.5,28.9,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
72,Florida,Lake,FloridaLake,87,45,32,32.1,24.0,140383,13645,162402,172960,46.8,335362,211702.0,125853.0,83491.0,49734,1173,32.0,21.4,27.8,9.5,9.4,6.1,28.8,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
73,Illinois,Lake,IllinoisLake,185,74,39,20.8,45.3,335133,29411,351343,352276,38.2,703619,323706.0,120938.0,196479.0,82613,942,42.3,15.3,24.8,5.9,11.6,6.5,30.0,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
74,Indiana,Lake,IndianaLake,136,65,44,35.1,22.6,201989,23196,235515,251334,38.7,486849,220233.0,91733.0,124801.0,52559,814,30.0,19.1,23.5,9.5,17.8,2.6,28.3,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
75,Minnesota,Lake,MinnesotaLake,71,42,30,30.9,28.8,4889,384,5428,5141,50.4,10569,7200.0,3392.0,3646.0,56078,4936,42.0,18.2,15.7,9.4,14.7,6.1,21.0,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
76,Minnesota,Lake,MinnesotaLake,71,42,30,30.9,28.8,4889,384,5428,5141,50.4,10569,2405.0,1704.0,671.0,46943,6962,22.0,15.7,19.8,11.4,31.0,10.9,21.0,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
77,Minnesota,Lake,MinnesotaLake,71,42,30,30.9,28.8,4889,384,2037,1772,51.3,3809,7200.0,3392.0,3646.0,56078,4936,42.0,18.2,15.7,9.4,14.7,6.1,21.0,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
78,Minnesota,Lake,MinnesotaLake,71,42,30,30.9,28.8,4889,384,2037,1772,51.3,3809,2405.0,1704.0,671.0,46943,6962,22.0,15.7,19.8,11.4,31.0,10.9,21.0,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
79,Minnesota,Lake,MinnesotaLake,71,42,30,30.9,28.8,2292,150,5428,5141,50.4,10569,7200.0,3392.0,3646.0,56078,4936,42.0,18.2,15.7,9.4,14.7,6.1,21.0,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
80,Minnesota,Lake,MinnesotaLake,71,42,30,30.9,28.8,2292,150,5428,5141,50.4,10569,2405.0,1704.0,671.0,46943,6962,22.0,15.7,19.8,11.4,31.0,10.9,21.0,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
81,Minnesota,Lake,MinnesotaLake,71,42,30,30.9,28.8,2292,150,2037,1772,51.3,3809,7200.0,3392.0,3646.0,56078,4936,42.0,18.2,15.7,9.4,14.7,6.1,21.0,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
82,Minnesota,Lake,MinnesotaLake,71,42,30,30.9,28.8,2292,150,2037,1772,51.3,3809,2405.0,1704.0,671.0,46943,6962,22.0,15.7,19.8,11.4,31.0,10.9,21.0,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
83,Montana,Lake,MontanaLake,174,27,6,28.5,29.6,12815,844,14744,15030,42.3,29774,16617.0,9319.0,6911.0,42582,2370,34.8,19.9,20.3,14.1,10.9,9.7,19.7,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
