County,State,Abbreviation,Male,Female,Median Age,Population (2014-2020)
Decatur,Georgia,GeorgiaDecatur,12907,13926,38.1,26833
DeKalb,Georgia,GeorgiaDeKalb,351871,391316,35.6,743187
Dodge,Georgia,GeorgiaDodge,10972,9947,41.6,20919
Dooly,Georgia,GeorgiaDooly,7529,6376,43.7,13905
Dougherty,Georgia,GeorgiaDougherty,42144,48905,35.1,91049
Douglas,Georgia,GeorgiaDouglas,67726,74114,36.4,141840
Early,Georgia,GeorgiaEarly,4791,5557,40.7,10348
Echols,Georgia,GeorgiaEchols,1973,2021,40.9,3994
Effingham,Georgia,GeorgiaEffingham,29215,29474,36.1,58689
Elbert,Georgia,GeorgiaElbert,9188,10024,42.6,19212
Emanuel,Georgia,GeorgiaEmanuel,11105,11394,36.8,22499
Evans,Georgia,GeorgiaEvans,5303,5424,37.7,10727
Fannin,Georgia,GeorgiaFannin,12086,12839,51.4,24925
Fayette,Georgia,GeorgiaFayette,54055,57314,43.5,111369
Floyd,Georgia,GeorgiaFloyd,46810,50014,38.5,96824
Forsyth,Georgia,GeorgiaForsyth,109258,110622,38.3,219880
Franklin,Georgia,GeorgiaFranklin,10853,11661,41,22514
Fulton,Georgia,GeorgiaFulton,495087,526815,35.4,1021902
Gilmer,Georgia,GeorgiaGilmer,15079,14843,46.9,29922
Glascock,Georgia,GeorgiaGlascock,1438,1571,43.2,3009
Glynn,Georgia,GeorgiaGlynn,39419,44555,41,83974
Gordon,Georgia,GeorgiaGordon,28001,28789,37.8,56790
Grady,Georgia,GeorgiaGrady,12176,12750,39.7,24926
Greene,Georgia,GeorgiaGreene,8299,8677,49.4,16976
Gwinnett,Georgia,GeorgiaGwinnett,441051,461247,35.1,902298
Habersham,Georgia,GeorgiaHabersham,20962,23327,39.5,44289
Hall,Georgia,GeorgiaHall,97518,98443,36.3,195961
Hancock,Georgia,GeorgiaHancock,5193,3342,46.5,8535
Haralson,Georgia,GeorgiaHaralson,14041,14915,40.8,28956
Harris,Georgia,GeorgiaHarris,16832,16758,43.1,33590
Hart,Georgia,GeorgiaHart,12558,13073,43.8,25631
Heard,Georgia,GeorgiaHeard,5747,5930,41.5,11677
Henry,Georgia,GeorgiaHenry,105759,115548,36.9,221307
Houston,Georgia,GeorgiaHouston,73756,77926,35.3,151682
Irwin,Georgia,GeorgiaIrwin,4758,4510,39.9,9268
Jackson,Georgia,GeorgiaJackson,32445,33310,38.5,65755
Jasper,Georgia,GeorgiaJasper,6682,7102,42.4,13784
Jeff,Georgia,GeorgiaJeff,7408,7583,36.7,14991
Jefferson,Georgia,GeorgiaJefferson,7605,8167,39.3,15772
Jenkins,Georgia,GeorgiaJenkins,4055,4772,43.7,8827
Johnson,Georgia,GeorgiaJohnson,5318,4412,41,9730
Jones,Georgia,GeorgiaJones,13874,14674,40.1,28548
Lamar,Georgia,GeorgiaLamar,8959,9554,37.5,18513
Lanier,Georgia,GeorgiaLanier,5183,5183,35.4,10366
Laurens,Georgia,GeorgiaLaurens,22497,24921,38.3,47418
Lee,Georgia,GeorgiaLee,14674,14674,37.2,29348
Liberty,Georgia,GeorgiaLiberty,31550,30558,28.1,62108
Lincoln,Georgia,GeorgiaLincoln,3683,4116,47.3,7799
Long,Georgia,GeorgiaLong,8872,9284,32.7,18156
Lowndes,Georgia,GeorgiaLowndes,55959,58623,30.2,114582
Lumpkin,Georgia,GeorgiaLumpkin,15551,16400,37.2,31951
McDuffie,Georgia,GeorgiaMcDuffie,9999,11499,37.6,21498
McIntosh,Georgia,GeorgiaMcIntosh,7036,7084,49.7,14120
Macon,Georgia,GeorgiaMacon,7342,6138,40.2,13480
Madison,Georgia,GeorgiaMadison,14508,14392,41.2,28900
Marion,Georgia,GeorgiaMarion,4203,4281,45.2,8484
Meriwether,Georgia,GeorgiaMeriwether,10221,10892,41.6,21113
Miller,Georgia,GeorgiaMiller,2832,3004,43.8,5836
Mitchell,Georgia,GeorgiaMitchell,11683,10749,38.9,22432
Monroe,Georgia,GeorgiaMonroe,13600,13410,43.1,27010
Montgomery,Georgia,GeorgiaMontgomery,4633,4403,40,9036
Morgan,Georgia,GeorgiaMorgan,8783,9452,44.5,18235
Murray,Georgia,GeorgiaMurray,19522,20035,38.2,39557
Muscogee,Georgia,GeorgiaMuscogee,96279,100391,33.9,196670
Newton,Georgia,GeorgiaNewton,50598,55899,36.2,106497
Oconee,Georgia,GeorgiaOconee,18164,18853,40.4,37017
Oglethorpe,Georgia,GeorgiaOglethorpe,7396,7388,42.1,14784
Paulding,Georgia,GeorgiaPaulding,76195,79645,35.8,155840
Peach,Georgia,GeorgiaPeach,12952,14014,36.9,26966
Pickens,Georgia,GeorgiaPickens,15233,15599,45.1,30832
Pierce,Georgia,GeorgiaPierce,9639,9525,39.4,19164
Pike,Georgia,GeorgiaPike,8876,9206,40.7,18082
Polk,Georgia,GeorgiaPolk,20415,21206,37.1,41621
Pulaski,Georgia,GeorgiaPulaski,5075,6220,43,11295
Putnam,Georgia,GeorgiaPutnam,10402,11101,46,21503
Quitman,Georgia,GeorgiaQuitman,1081,1195,48.4,2276
Rabun,Georgia,GeorgiaRabun,8107,8350,48.8,16457
Randolph,Georgia,GeorgiaRandolph,3493,3594,40,7087
Richmond,Georgia,GeorgiaRichmond,97272,104191,33.9,201463
Rockdale,Georgia,GeorgiaRockdale,41944,47067,37.7,89011
Schley,Georgia,GeorgiaSchley,2546,2665,37.8,5211
Screven,Georgia,GeorgiaScreven,6804,7186,41.5,13990
Seminole,Georgia,GeorgiaSeminole,4027,4410,44,8437
Spalding,Georgia,GeorgiaSpalding,31395,33324,39.1,64719
Stephens,Georgia,GeorgiaStephens,11765,13911,41.5,25676
Stewart,Georgia,GeorgiaStewart,3894,2148,36.4,6042
Sumter,Georgia,GeorgiaSumter,14359,15993,35.5,30352
Talbot,Georgia,GeorgiaTalbot,3032,3346,49.2,6378
Taliaferro,Georgia,GeorgiaTaliaferro,847,818,46.3,1665
Tattnall,Georgia,GeorgiaTattnall,14888,10465,37.4,25353
Taylor,Georgia,GeorgiaTaylor,3946,4247,44.4,8193
Telfair,Georgia,GeorgiaTelfair,9346,6769,41,16115
Terrell,Georgia,GeorgiaTerrell,4228,4631,40.9,8859
Thomas,Georgia,GeorgiaThomas,21219,23511,40.3,44730
Tift,Georgia,GeorgiaTift,19509,21001,35.5,40510
Toombs,Georgia,GeorgiaToombs,12491,14557,36.4,27048
Towns,Georgia,GeorgiaTowns,5334,6083,53.7,11417
Treutlen,Georgia,GeorgiaTreutlen,3573,3204,39.7,6777
Troup,Georgia,GeorgiaTroup,33387,36387,36.3,69774
Turner,Georgia,GeorgiaTurner,3843,4119,38.8,7962
Twiggs,Georgia,GeorgiaTwiggs,4068,4216,46.2,8284
Union,Georgia,GeorgiaUnion,11048,11727,53.9,22775
Upson,Georgia,GeorgiaUpson,12503,13713,41.7,26216
Walker,Georgia,GeorgiaWalker,34082,34742,41.4,68824
Walton,Georgia,GeorgiaWalton,43775,46357,38.7,90132
Ware,Georgia,GeorgiaWare,17753,17846,38.4,35599
Warren,Georgia,GeorgiaWarren,2475,2871,45.2,5346
Washington,Georgia,GeorgiaWashington,10361,10100,40.6,20461
Wayne,Georgia,GeorgiaWayne,15051,14716,38.2,29767
Webster,Georgia,GeorgiaWebster,1254,1359,45,2613
Wheeler,Georgia,GeorgiaWheeler,5007,2932,38.2,7939
White,Georgia,GeorgiaWhite,14128,14800,46.1,28928
Whitfield,Georgia,GeorgiaWhitfield,51525,52324,36,103849
Wilcox,Georgia,GeorgiaWilcox,5242,3604,39.5,8846
Wilkes,Georgia,GeorgiaWilkes,4770,5114,46.1,9884
Wilkinson,Georgia,GeorgiaWilkinson,4349,4729,41.8,9078
Worth,Georgia,GeorgiaWorth,10040,10616,41.1,20656
Hawaii,Hawaii,HawaiiHawaii,98276,99382,42.3,197658
Honolulu,Hawaii,HawaiiHonolulu,497646,489992,37.6,987638
Kalawao,Hawaii,HawaiiKalawao,38,37,57.1,75
Kauai,Hawaii,HawaiiKauai,35375,36002,42.4,71377
Maui,Hawaii,HawaiiMaui,82437,82844,41.1,165281
Ada,Idaho,IdahoAda,223367,222685,36.7,446052
Adams,Idaho,IdahoAdams,2093,1926,54.2,4019
Bannock,Idaho,IdahoBannock,42300,42765,33.3,85065
Bear,Idaho,IdahoBear,2898,3064,39.3,5962
Benewah,Idaho,IdahoBenewah,4607,4479,46.1,9086
Bingham,Idaho,IdahoBingham,22746,22805,33.5,45551
Blaine,Idaho,IdahoBlaine,11251,10743,43.2,21994
Boise,Idaho,IdahoBoise,3780,3383,53,7163
Bonner,Idaho,IdahoBonner,21366,21345,47.8,42711
Bonneville,Idaho,IdahoBonneville,56237,56160,32.7,112397
Boundary,Idaho,IdahoBoundary,5735,5814,43.5,11549
Butte,Idaho,IdahoButte,1342,1260,48.1,2602
Camas,Idaho,IdahoCamas,433,453,46.3,886
Canyon,Idaho,IdahoCanyon,104902,107328,33.4,212230
Caribou,Idaho,IdahoCaribou,3543,3375,36.9,6918
Cassia,Idaho,IdahoCassia,12039,11576,32.2,23615
Clark,Idaho,IdahoClark,570,507,29.6,1077
Clearwater,Idaho,IdahoClearwater,4790,3850,50.2,8640
Custer,Idaho,IdahoCuster,2165,1976,53.3,4141
Elmore,Idaho,IdahoElmore,13858,12575,31.9,26433
Franklin,Idaho,IdahoFranklin,6787,6492,33.4,13279
Fremont,Idaho,IdahoFremont,6766,6199,36.8,12965
Gem,Idaho,IdahoGem,8354,8698,45.1,17052
Gooding,Idaho,IdahoGooding,7911,7258,37.8,15169
Idaho,Idaho,IdahoIdaho,8537,7800,50,16337
Jefferson,Idaho,IdahoJefferson,14295,13674,31.2,27969
Jerome,Idaho,IdahoJerome,11801,11630,32.7,23431
Kootenai,Idaho,IdahoKootenai,75890,77715,40.2,153605
Latah,Idaho,IdahoLatah,19894,19345,28.3,39239
Lemhi,Idaho,IdahoLemhi,3948,3850,52.3,7798
Lewis,Idaho,IdahoLewis,1911,1934,48.3,3845
Lincoln,Idaho,IdahoLincoln,2766,2555,35,5321
Madison,Idaho,IdahoMadison,19529,19176,23.4,38705
Minidoka,Idaho,IdahoMinidoka,10377,10238,35.2,20615
Nez,Idaho,IdahoNez,19758,20397,40.9,40155
Oneida,Idaho,IdahoOneida,2083,2243,37.9,4326
Owyhee,Idaho,IdahoOwyhee,5874,5581,38.4,11455
Payette,Idaho,IdahoPayette,11470,11571,39.9,23041
Power,Idaho,IdahoPower,3781,3932,37.7,7713
Shoshone,Idaho,IdahoShoshone,6267,6259,47.4,12526
Teton,Idaho,IdahoTeton,5887,5193,36.6,11080
Twin,Idaho,IdahoTwin,41204,42462,34.7,83666
Valley,Idaho,IdahoValley,5486,4915,48.7,10401
Washington,Idaho,IdahoWashington,4966,5059,45.4,10025
Adams,Illinois,IllinoisAdams,32481,33946,41.3,66427
Alexander,Illinois,IllinoisAlexander,3104,3428,42.8,6532
Bond,Illinois,IllinoisBond,8587,8125,41.3,16712
Boone,Illinois,IllinoisBoone,26830,26776,38.4,53606
Brown,Illinois,IllinoisBrown,4238,2437,39,6675
Bureau,Illinois,IllinoisBureau,16437,16944,44,33381
Calhoun,Illinois,IllinoisCalhoun,2435,2423,46.7,4858
Carroll,Illinois,IllinoisCarroll,7229,7333,47.9,14562
Cass,Illinois,IllinoisCass,6353,6312,39.7,12665
Champaign,Illinois,IllinoisChampaign,104513,104935,29.9,209448
Christian,Illinois,IllinoisChristian,16818,16413,43.2,33231
Clark,Illinois,IllinoisClark,7824,8012,43,15836
Clay,Illinois,IllinoisClay,6586,6752,42.7,13338
Clinton,Illinois,IllinoisClinton,19551,18077,40.2,37628
Coles,Illinois,IllinoisColes,24999,26737,35.2,51736
Cook,Illinois,IllinoisCook,2534640,2689079,36.6,5223719
Crawford,Illinois,IllinoisCrawford,9910,9178,42,19088
Cumberland,Illinois,IllinoisCumberland,5455,5410,42.6,10865
DeKalb,Illinois,IllinoisDeKalb,51580,52620,31,104200
De,Illinois,IllinoisDe,8015,8027,43.1,16042
Douglas,Illinois,IllinoisDouglas,9748,9966,37.9,19714
DuPage,Illinois,IllinoisDuPage,457178,474565,39.1,931743
Edgar,Illinois,IllinoisEdgar,8617,8922,44.6,17539
Edwards,Illinois,IllinoisEdwards,3231,3276,43.3,6507
Effingham,Illinois,IllinoisEffingham,16971,17203,39.1,34174
Fayette,Illinois,IllinoisFayette,11580,10144,41.5,21724
Ford,Illinois,IllinoisFord,6616,6782,43,13398
Franklin,Illinois,IllinoisFranklin,19285,19842,42.3,39127
Fulton,Illinois,IllinoisFulton,18496,16922,43,35418
Gallatin,Illinois,IllinoisGallatin,2472,2685,45.3,5157
Greene,Illinois,IllinoisGreene,6668,6550,42.9,13218
Grundy,Illinois,IllinoisGrundy,25241,25268,37.6,50509
Hamilton,Illinois,IllinoisHamilton,4018,4203,44.1,8221
Hancock,Illinois,IllinoisHancock,9008,9104,46,18112
Hardin,Illinois,IllinoisHardin,1976,2033,46.2,4009
Henderson,Illinois,IllinoisHenderson,3369,3515,49.7,6884
Henry,Illinois,IllinoisHenry,24536,24928,43.1,49464
Iroquois,Illinois,IllinoisIroquois,13751,14418,44.5,28169
Jackson,Illinois,IllinoisJackson,28989,29562,31.6,58551
Jasper,Illinois,IllinoisJasper,4809,4789,42.8,9598
Jefferson,Illinois,IllinoisJefferson,19567,18602,41,38169
Jersey,Illinois,IllinoisJersey,10841,11228,42.7,22069
Jo,Illinois,IllinoisJo,10956,10878,49.7,21834
Johnson,Illinois,IllinoisJohnson,7015,5587,43.2,12602
Kane,Illinois,IllinoisKane,264211,266628,37,530839
Kankakee,Illinois,IllinoisKankakee,54615,56446,37.6,111061
Kendall,Illinois,IllinoisKendall,61761,62865,34.9,124626
Knox,Illinois,IllinoisKnox,25743,25256,42.1,50999
Lake,Illinois,IllinoisLake,351343,352276,38.2,703619
LaSalle,Illinois,IllinoisLaSalle,55400,55001,41.8,110401
Lawrence,Illinois,IllinoisLawrence,8919,7270,41,16189
Lee,Illinois,IllinoisLee,18326,16201,43.4,34527
Livingston,Illinois,IllinoisLivingston,18614,17710,42,36324
Logan,Illinois,IllinoisLogan,14183,15024,40.4,29207
McDonough,Illinois,IllinoisMcDonough,15009,15866,32.1,30875
McHenry,Illinois,IllinoisMcHenry,153382,154407,40.2,307789
McLean,Illinois,IllinoisMcLean,84245,88974,32.9,173219
Macon,Illinois,IllinoisMacon,51062,55450,41.3,106512
Macoupin,Illinois,IllinoisMacoupin,22602,23117,43.6,45719
Madison,Illinois,IllinoisMadison,129718,135952,40.1,265670
Marion,Illinois,IllinoisMarion,18726,19358,42.1,38084
Marshall,Illinois,IllinoisMarshall,5874,5920,46.3,11794
Mason,Illinois,IllinoisMason,6838,6940,45.3,13778
Massac,Illinois,IllinoisMassac,6794,7636,43.8,14430
Menard,Illinois,IllinoisMenard,6043,6324,42.9,12367
Mercer,Illinois,IllinoisMercer,7798,7895,44.8,15693
Monroe,Illinois,IllinoisMonroe,16691,17245,42.6,33936
Montgomery,Illinois,IllinoisMontgomery,15145,13864,43.1,29009
Morgan,Illinois,IllinoisMorgan,17298,17128,41.5,34426
Moultrie,Illinois,IllinoisMoultrie,7172,7531,40.3,14703
Ogle,Illinois,IllinoisOgle,25614,25714,42.4,51328
Peoria,Illinois,IllinoisPeoria,89387,95076,37.2,184463
Perry,Illinois,IllinoisPerry,11767,9617,41.7,21384
Piatt,Illinois,IllinoisPiatt,8080,8347,43,16427
Pike,Illinois,IllinoisPike,7815,7939,42.3,15754
Pope,Illinois,IllinoisPope,2349,1900,53.7,4249
Pulaski,Illinois,IllinoisPulaski,2747,2864,44.1,5611
Putnam,Illinois,IllinoisPutnam,2959,2787,47.9,5746
Randolph,Illinois,IllinoisRandolph,18019,14527,42,32546
Richland,Illinois,IllinoisRichland,7809,8072,41.9,15881
Rock,Illinois,IllinoisRock,71596,73679,40.1,145275
St.Clair,Illinois,IllinoisSt.Clair,127237,136226,38.3,263463
Saline,Illinois,IllinoisSaline,11962,12269,42,24231
Sangamon,Illinois,IllinoisSangamon,94876,102785,40,197661
Schuyler,Illinois,IllinoisSchuyler,3701,3363,45.8,7064
Scott,Illinois,IllinoisScott,2460,2587,44.1,5047
Shelby,Illinois,IllinoisShelby,10791,11041,44.8,21832
Stark,Illinois,IllinoisStark,2716,2784,45.1,5500
Stephenson,Illinois,IllinoisStephenson,21986,23447,45.1,45433
Tazewell,Illinois,IllinoisTazewell,65987,67865,40.9,133852
Union,Illinois,IllinoisUnion,8592,8535,43.7,17127
Vermilion,Illinois,IllinoisVermilion,38967,39440,40.3,78407
Wabash,Illinois,IllinoisWabash,5666,5907,43.6,11573
Warren,Illinois,IllinoisWarren,8353,8985,39.3,17338
Washington,Illinois,IllinoisWashington,7108,7047,43.4,14155
Wayne,Illinois,IllinoisWayne,8141,8346,43.3,16487
White,Illinois,IllinoisWhite,6882,7143,44.1,14025
Whiteside,Illinois,IllinoisWhiteside,27799,28597,43.2,56396
Will,Illinois,IllinoisWill,341816,346881,37.6,688697
Williamson,Illinois,IllinoisWilliamson,33607,33692,40.9,67299
Winnebago,Illinois,IllinoisWinnebago,139748,146426,39.6,286174
Woodford,Illinois,IllinoisWoodford,19343,19474,40,38817
Adams,Indiana,IndianaAdams,17561,17634,33.4,35195
Allen,Indiana,IndianaAllen,180669,189347,35.8,370016
Bartholomew,Indiana,IndianaBartholomew,41150,40743,37.7,81893
Benton,Indiana,IndianaBenton,4326,4341,40.5,8667
Blackford,Indiana,IndianaBlackford,6037,6092,44.3,12129
Boone,Indiana,IndianaBoone,31750,32571,38,64321
Brown,Indiana,IndianaBrown,7441,7593,49.2,15034
Carroll,Indiana,IndianaCarroll,10034,9960,42.8,19994
Cass,Indiana,IndianaCass,19082,19002,40.8,38084
Clark,Indiana,IndianaClark,56359,59343,38.9,115702
Clay,Indiana,IndianaClay,12935,13333,40.9,26268
Clinton,Indiana,IndianaClinton,15986,16315,38.2,32301
Crawford,Indiana,IndianaCrawford,5367,5214,43.6,10581
Daviess,Indiana,IndianaDaviess,16634,16303,34.7,32937
Dearborn,Indiana,IndianaDearborn,24764,24737,42.7,49501
Decatur,Indiana,IndianaDecatur,13202,13350,38.9,26552
DeKalb,Indiana,IndianaDeKalb,21307,21397,39.1,42704
Delaware,Indiana,IndianaDelaware,55743,59873,35.4,115616
Dubois,Indiana,IndianaDubois,21048,21370,40.4,42418
Elkhart,Indiana,IndianaElkhart,100713,102891,35.5,203604
Fayette,Indiana,IndianaFayette,11474,11785,42.6,23259
Floyd,Indiana,IndianaFloyd,37135,39674,39.9,76809
Fountain,Indiana,IndianaFountain,8251,8235,43.1,16486
Franklin,Indiana,IndianaFranklin,11426,11416,42,22842
Fulton,Indiana,IndianaFulton,9962,10250,41.3,20212
Gibson,Indiana,IndianaGibson,16848,16748,40.3,33596
Grant,Indiana,IndianaGrant,31935,35009,40.3,66944
Greene,Indiana,IndianaGreene,16033,16262,42.9,32295
Hamilton,Indiana,IndianaHamilton,154532,161563,36.9,316095
Hancock,Indiana,IndianaHancock,36255,37575,39.9,73830
Harrison,Indiana,IndianaHarrison,19875,19837,42.5,39712
Hendricks,Indiana,IndianaHendricks,80391,80549,37.7,160940
Henry,Indiana,IndianaHenry,25391,23092,42.2,48483
Howard,Indiana,IndianaHoward,39852,42535,41.7,82387
Huntington,Indiana,IndianaHuntington,17875,18503,40.7,36378
Jackson,Indiana,IndianaJackson,21822,22116,38.7,43938
Jasper,Indiana,IndianaJasper,16699,16750,39.9,33449
Jay,Indiana,IndianaJay,10398,10595,40,20993
Jefferson,Indiana,IndianaJefferson,15333,16904,40.5,32237
Jennings,Indiana,IndianaJennings,13925,13802,39.7,27727
Johnson,Indiana,IndianaJohnson,74349,77215,37.4,151564
Knox,Indiana,IndianaKnox,18949,18460,38,37409
Kosciusko,Indiana,IndianaKosciusko,39264,39542,38,78806
LaGrange,Indiana,IndianaLaGrange,19752,19190,31.4,38942
Lake,Indiana,IndianaLake,235515,251334,38.7,486849
LaPorte,Indiana,IndianaLaPorte,57068,53484,40.4,110552
Lawrence,Indiana,IndianaLawrence,22558,23061,42.8,45619
Madison,Indiana,IndianaMadison,64707,64798,40.3,129505
Marion,Indiana,IndianaMarion,455007,489516,34.4,944523
Marshall,Indiana,IndianaMarshall,23174,23421,40.1,46595
Martin,Indiana,IndianaMartin,5155,5055,42.7,10210
Miami,Indiana,IndianaMiami,19084,16817,40,35901
Monroe,Indiana,IndianaMonroe,72416,72987,29.3,145403
Montgomery,Indiana,IndianaMontgomery,19442,18834,40.5,38276
Morgan,Indiana,IndianaMorgan,34447,35280,41.4,69727
Newton,Indiana,IndianaNewton,7004,7014,42.9,14018
Noble,Indiana,IndianaNoble,23844,23607,38.7,47451
Ohio,Indiana,IndianaOhio,2918,2969,47.5,5887
Orange,Indiana,IndianaOrange,9727,9820,42.1,19547
Owen,Indiana,IndianaOwen,10628,10250,44.9,20878
Parke,Indiana,IndianaParke,8211,8785,41.8,16996
Perry,Indiana,IndianaPerry,10222,8919,42.2,19141
Pike,Indiana,IndianaPike,6256,6155,43.7,12411
Porter,Indiana,IndianaPorter,83212,84829,39.5,168041
Posey,Indiana,IndianaPosey,12787,12802,42.3,25589
Pulaski,Indiana,IndianaPulaski,6404,6256,41.2,12660
Putnam,Indiana,IndianaPutnam,19714,17845,37.9,37559
Randolph,Indiana,IndianaRandolph,12269,12807,42.4,25076
Ripley,Indiana,IndianaRipley,14077,14348,40.8,28425
Rush,Indiana,IndianaRush,8185,8519,41.6,16704
St.Joseph,Indiana,IndianaSt.Joseph,130832,138408,36.5,269240
Scott,Indiana,IndianaScott,11670,12073,40.7,23743
Shelby,Indiana,IndianaShelby,21941,22458,41,44399
Spencer,Indiana,IndianaSpencer,10363,10163,43.6,20526
Starke,Indiana,IndianaStarke,11302,11639,41.6,22941
Steuben,Indiana,IndianaSteuben,17542,16932,43.2,34474
Sullivan,Indiana,IndianaSullivan,11174,9618,41,20792
Switzerland,Indiana,IndianaSwitzerland,5504,5124,40.1,10628
Tippecanoe,Indiana,IndianaTippecanoe,96866,92428,28,189294
Tipton,Indiana,IndianaTipton,7609,7609,44.9,15218
Union,Indiana,IndianaUnion,3514,3639,43.8,7153
Vanderburgh,Indiana,IndianaVanderburgh,87676,93637,38.1,181313
Vermillion,Indiana,IndianaVermillion,7809,7751,43.1,15560
Vigo,Indiana,IndianaVigo,54705,52988,36.2,107693
Wabash,Indiana,IndianaWabash,15365,16266,42.2,31631
Warren,Indiana,IndianaWarren,4124,4123,44.5,8247
Warrick,Indiana,IndianaWarrick,30409,31519,40.9,61928
Washington,Indiana,IndianaWashington,13892,13935,41.5,27827
Wayne,Indiana,IndianaWayne,32288,34325,40.9,66613
Wells,Indiana,IndianaWells,13773,14174,39.8,27947
White,Indiana,IndianaWhite,12143,12074,41.9,24217
Whitley,Indiana,IndianaWhitley,16702,16947,40.8,33649
Adair,Iowa,IowaAdair,3516,3608,45.4,7124
Adams,Iowa,IowaAdams,1854,1872,47.3,3726
Allamakee,Iowa,IowaAllamakee,7045,6835,44.8,13880
Appanoose,Iowa,IowaAppanoose,6154,6356,45.4,12510
Audubon,Iowa,IowaAudubon,2758,2879,49,5637
Benton,Iowa,IowaBenton,12783,12843,42.6,25626
Black,Iowa,IowaBlack,65309,67700,34.9,133009
Boone,Iowa,IowaBoone,13310,13089,41.8,26399
Bremer,Iowa,IowaBremer,12274,12508,39.7,24782
Buchanan,Iowa,IowaBuchanan,10451,10674,38.7,21125
Buena,Iowa,IowaBuena,10238,10022,35.2,20260
Butler,Iowa,IowaButler,7381,7354,44.1,14735
Calhoun,Iowa,IowaCalhoun,5044,4736,45.1,9780
Carroll,Iowa,IowaCarroll,9988,10356,41.7,20344
Cass,Iowa,IowaCass,6547,6644,44.9,13191
Cedar,Iowa,IowaCedar,9161,9284,42,18445
Cerro,Iowa,IowaCerro,20850,22134,44.5,42984
Cherokee,Iowa,IowaCherokee,5796,5672,46.8,11468
Chickasaw,Iowa,IowaChickasaw,6058,6041,44.3,12099
Clarke,Iowa,IowaClarke,4689,4593,39.5,9282
Clay,Iowa,IowaClay,8051,8262,42.7,16313
Clayton,Iowa,IowaClayton,8900,8772,47.1,17672
Clinton,Iowa,IowaClinton,23126,24092,42.2,47218
Crawford,Iowa,IowaCrawford,8547,8585,37.8,17132
Dallas,Iowa,IowaDallas,41367,42635,35.3,84002
Davis,Iowa,IowaDavis,4398,4487,37,8885
Decatur,Iowa,IowaDecatur,4017,4027,36.4,8044
Delaware,Iowa,IowaDelaware,8689,8569,43.6,17258
Des,Iowa,IowaDes,19313,20287,42.6,39600
Dickinson,Iowa,IowaDickinson,8515,8541,48.4,17056
Dubuque,Iowa,IowaDubuque,47744,49058,38.5,96802
Emmet,Iowa,IowaEmmet,4770,4781,42.4,9551
Fayette,Iowa,IowaFayette,9998,9931,43.6,19929
Floyd,Iowa,IowaFloyd,7766,8092,43.9,15858
Franklin,Iowa,IowaFranklin,5117,5128,42.4,10245
Fremont,Iowa,IowaFremont,3470,3498,45.8,6968
Greene,Iowa,IowaGreene,4380,4623,44.5,9003
Grundy,Iowa,IowaGrundy,6108,6233,42.5,12341
Guthrie,Iowa,IowaGuthrie,5335,5339,45.6,10674
Hamilton,Iowa,IowaHamilton,7377,7733,42.4,15110
Hancock,Iowa,IowaHancock,5494,5394,44.5,10888
Hardin,Iowa,IowaHardin,8565,8562,44.7,17127
Harrison,Iowa,IowaHarrison,6989,7154,44.1,14143
Henry,Iowa,IowaHenry,10125,9801,40,19926
Howard,Iowa,IowaHoward,4580,4684,42.2,9264
Humboldt,Iowa,IowaHumboldt,4651,4915,43,9566
Ida,Iowa,IowaIda,3457,3459,44.5,6916
Iowa,Iowa,IowaIowa,8052,8155,42.1,16207
Jackson,Iowa,IowaJackson,9712,9683,44.7,19395
Jasper,Iowa,IowaJasper,18669,18222,42.3,36891
Jefferson,Iowa,IowaJefferson,9112,8965,43,18077
Johnson,Iowa,IowaJohnson,72765,74236,30,147001
Jones,Iowa,IowaJones,10585,9983,43.4,20568
Keokuk,Iowa,IowaKeokuk,5202,4998,43.9,10200
Kossuth,Iowa,IowaKossuth,7547,7528,45.5,15075
Lee,Iowa,IowaLee,17371,17170,43.2,34541
Linn,Iowa,IowaLinn,109540,112581,37.5,222121
Louisa,Iowa,IowaLouisa,5724,5499,41.2,11223
Lucas,Iowa,IowaLucas,4318,4279,44.6,8597
Lyon,Iowa,IowaLyon,6013,5756,38.1,11769
Madison,Iowa,IowaMadison,8028,7862,40.1,15890
Mahaska,Iowa,IowaMahaska,11252,10956,39.7,22208
Marion,Iowa,IowaMarion,16374,16833,39.2,33207
Marshall,Iowa,IowaMarshall,20400,19871,39.1,40271
Mills,Iowa,IowaMills,7516,7441,42.1,14957
Mitchell,Iowa,IowaMitchell,5282,5349,43.8,10631
Monona,Iowa,IowaMonona,4283,4513,46.5,8796
Monroe,Iowa,IowaMonroe,4064,3799,41.8,7863
Montgomery,Iowa,IowaMontgomery,4869,5286,44,10155
Muscatine,Iowa,IowaMuscatine,21476,21474,38.1,42950
O'Brien,Iowa,IowaO'Brien,6962,6949,42.4,13911
Osceola,Iowa,IowaOsceola,3091,3024,43.8,6115
Page,Iowa,IowaPage,7922,7441,44,15363
Palo,Iowa,IowaPalo,4512,4543,41.8,9055
Plymouth,Iowa,IowaPlymouth,12288,12751,39.9,25039
Pocahontas,Iowa,IowaPocahontas,3384,3514,47.9,6898
Polk,Iowa,IowaPolk,233599,240675,35.3,474274
Pottawattamie,Iowa,IowaPottawattamie,45923,47580,39.5,93503
Poweshiek,Iowa,IowaPoweshiek,8990,9615,40.7,18605
Ringgold,Iowa,IowaRinggold,2432,2552,44.9,4984
