County,State,Abbreviation,Male,Female,Median Age,Population (2014-2020)
Nome,Alaska,AlaskaNome,5240,4685,28.1,9925
North,Alaska,AlaskaNorth,6116,3681,34.8,9797
Northwest,Alaska,AlaskaNorthwest,4156,3578,27.2,7734
Petersburg,Alaska,AlaskaPetersburg,1649,1606,41,3255
Prince,Alaska,AlaskaPrince,3514,2960,41,6474
Sitka,Alaska,AlaskaSitka,4471,4267,38.8,8738
Skagway,Alaska,AlaskaSkagway,555,506,38.5,1061
Southeast,Alaska,AlaskaSoutheast,3779,3097,36.3,6876
Valdez-Cordova,Alaska,AlaskaValdez-Cordova,4898,4403,39,9301
Wrangell,Alaska,AlaskaWrangell,1302,1182,49.5,2484
Yakutat,Alaska,AlaskaYakutat,369,320,36.4,689
Yukon-Koyukuk,Alaska,AlaskaYukon-Koyukuk,2910,2505,35.3,5415
Apache,Arizona,ArizonaApache,35240,36282,34.7,71522
Cochise,Arizona,ArizonaCochise,64135,62144,40.6,126279
Coconino,Arizona,ArizonaCoconino,68918,71299,30.6,140217
Gila,Arizona,ArizonaGila,26370,27030,49.7,53400
Graham,Arizona,ArizonaGraham,20330,17549,33.3,37879
Greenlee,Arizona,ArizonaGreenlee,5064,4440,34.2,9504
La,Arizona,ArizonaLa,10677,10024,56,20701
Maricopa,Arizona,ArizonaMaricopa,2104145,2149768,36.1,4253913
Mohave,Arizona,ArizonaMohave,104047,102017,50.9,206064
Navajo,Arizona,ArizonaNavajo,54533,54172,36.4,108705
Pima,Arizona,ArizonaPima,501879,517843,38.3,1019722
Pinal,Arizona,ArizonaPinal,219048,200673,38.9,419721
Santa,Arizona,ArizonaSanta,22285,24299,36.6,46584
Yavapai,Arizona,ArizonaYavapai,109795,114850,52.9,224645
Yuma,Arizona,ArizonaYuma,106973,100856,34.3,207829
Arkansas,Arkansas,ArkansasArkansas,8733,9391,41.4,18124
Ashley,Arkansas,ArkansasAshley,10013,10524,41.7,20537
Baxter,Arkansas,ArkansasBaxter,19992,21227,52.1,41219
Benton,Arkansas,ArkansasBenton,128399,130581,35.3,258980
Boone,Arkansas,ArkansasBoone,18350,18938,42.4,37288
Bradley,Arkansas,ArkansasBradley,5214,5734,40.2,10948
Calhoun,Arkansas,ArkansasCalhoun,2607,2595,45.5,5202
Carroll,Arkansas,ArkansasCarroll,13897,13990,44.8,27887
Chicot,Arkansas,ArkansasChicot,5266,5560,42.7,10826
Clark,Arkansas,ArkansasClark,10628,11757,34.1,22385
Clay,Arkansas,ArkansasClay,7414,7647,43,15061
Cleburne,Arkansas,ArkansasCleburne,12472,12758,49.4,25230
Cleveland,Arkansas,ArkansasCleveland,4138,4088,42.7,8226
Columbia,Arkansas,ArkansasColumbia,11444,12448,36,23892
Conway,Arkansas,ArkansasConway,10182,10724,41.7,20906
Craighead,Arkansas,ArkansasCraighead,51528,54173,34.1,105701
Crawford,Arkansas,ArkansasCrawford,30761,31711,38.7,62472
Crittenden,Arkansas,ArkansasCrittenden,23271,25742,35.1,49013
